"Justin Bieber performing ""Love Yourself"" &amp; ""Company"" at iHeartRadio Music Awards - April 3, 2016",Justin Bieber Videos 8.0,8 months ago,"1,884,677 views",,5:18
"Fifth Harmony performing ""Worth It"" on DWTS Season Finale [5/19/15] (HD)",etroi16,1 year ago,"4,706,283 views",,3:05
Jackie Evancho performing the National Anthem at the 2017 Presidential Inauguration,Jackie Evancho,1 day ago,"8,312 views",New,2:04
Becky G performing Sola/Mangú at La Banda,Becky G México,2 months ago,"539,209 views",,4:53
Chrisette Michele Performing at Donald Trump's Inauguration,Wendy Williams,3 days ago,"428,466 views",New,21:51
DRAKE LIVE PERFORMING VIEWS FOR THE FIRST TIME IN TORONTO.,Brandon Reitsma,8 months ago,"572,144 views",,7:40
Top 10 Famous People Who Tragically Died While Performing,WatchMojo.com ,6 months ago,"1,826,449 views",,12:01
Michael Jackson performing at the Oscars,Oscars ,7 years ago,"10,896,265 views",,3:10
Metallica performing Moth Into Flame,Straits Times ,17 hours ago,176 views,New,0:34
Must Watch: Alden performing sa US CALI!| Eat Bulaga jan 23 2017,Aldub Update,13 hours ago,"2,640 views",New,2:40
"Gotye performing ""Somebody That I Used To Know"" on KCRW",KCRW,5 years ago,"22,099,085 views",,4:08
Watch Katy Perry perform 'Rise and 'Roar' at the 2016 Democratic National Convention,PBS NewsHour ,5 months ago,"2,582,088 views",,7:04
Vaiko request to remove Bull from performing animals list | Thanthi TV,Thanthi TV ,1 day ago,"4,931 views",New,0:46
CHRISETTE MICHELE FIRES BACK AT BLACK CRITICS; DEFENDS PERFORMING AT TRUMP'S INAUGURATION!,TicketTV,4 days ago,"26,590 views",New,2:36
"Fifth Harmony performing ""Work from Home"" (Live at the 2017 PCAs)",Anggie G.,4 days ago,"26,328 views",New,3:04
Rihanna and Drake performing 'Work' Live at Manchester Stadium ANTI World Tour 29/06/16,patsy travers,6 months ago,"391,050 views",,4:00
Rihanna - Work - Live at The BRIT Awards 2016 ft. Drake,RihannaVEVO,10 months ago,"65,829,663 views",,4:48
President-elect Donald Trump's Inauguration: Find Out Who's Performing,Entertainment Tonight ,1 week ago,"21,947 views",,1:43
Toby Keith On Trump: I Won't 'Apologize' For Performing For Our Country Or Military,Tea Partiest,1 week ago,"58,798 views",,1:02
"The Weeknd ""Gets Emotional While Performing At Yamsday""",Auc Hot Spot ,2 days ago,"6,294 views",New,1:06
