Magic Art,(1932) (Short),,,,
The Art of Magic,(1998) (TV Special),,,,
Magicarena,-2015,,,,
Magic Artist,(1999) (Video Game),,,,
The Art and Soul of Magic,(2004) (TV Movie),,,,
The Magic Arrow,(TV Episode),Season 1 | Episode 11,Robin Hood: Mischief in Sherwood,(2014) (TV Series),
The Magic Arp,(TV Episode),Season 1 | Episode 48,Sandra: The Fairytale Detective,(2009) (TV Series),
Documagicary,(1999) (TV Episode),Season 1 | Episode 19,"Sabrina, the Animated Series",(1999) (TV Series),
Care of Magical Creatures,(2004) (Video),,,,
Aerial and Magical Arts,(2013) (TV Episode),Season 2 | Episode 17,Elizabeth Stanton's Great Big World,(2011) (TV Series),
Arts Magic,,,,,"(Director, Acoustic Fingerstyle Contemporary with Max Milligan (2005))"
Magic Aroso,,,,,"(Actor, Raruto: La serie (2008))"
Magica Roberts,,,,,"(Visual Effects, Minority Report (2015))"
magical-carpet,(22 titles),,,,
Magic Arts Publishing,[us] (Production),,,,
Magic Arts Studios,[mx] (Special Effects),,,,
Magic Arts Production,[it] (Production),,,,
Artsmagic,[gb] (Distributor),,,,
Art and Magic,[us] (Special Effects),,,,
