Metal,by detective-sweetheart, reviews,It’s just metal. That’s all it is.,"Law and Order - Rated: K+ - English - Chapters: 1 - Words: 276 - Reviews: 3 - Published: Mar 20, 2006 - Complete"
Metal Kisses,by thearchetypes, reviews,He doesn't taste metallic.,"Outsiders - Rated: T - English - Romance - Chapters: 1 - Words: 741 - Reviews: 4 - Favs: 13 - Follows: 2 - Published: Feb 8, 2012 - Sodapop C., Steve R. - Complete"
Time and Metal,by NotMarge, reviews,A brief glimpse into the mind of a man of metal.,"X-Men: The Movie - Rated: K - English - Angst/Hurt/Comfort - Chapters: 1 - Words: 1,360 - Reviews: 7 - Favs: 12 - Follows: 4 - Published: Jun 10, 2014 - Erik L./Magneto - Complete"
Busted,by Queen of the Damned xx, reviews,“Flame and Metal…BUSTED!”,"Fullmetal Alchemist - Rated: K+ - English - Humor - Chapters: 1 - Words: 463 - Reviews: 7 - Favs: 2 - Follows: 2 - Published: Nov 27, 2005 - Edward E., Roy M. - Complete"
Their Waltz, by astroprojection, reviews,"The sound of metal against metal, metal against skin, and metal against ground was their music.;; NEJITENTEN;;","Naruto - Rated: K - English - Chapters: 1 - Words: 253 - Reviews: 2 - Favs: 2 - Published: Apr 7, 2007 - Neji H., Tenten - Complete"
Hagane,by nojohi, reviews,Metal-bound,"Fullmetal Alchemist - Rated: K - English - Romance/Friendship - Chapters: 1 - Words: 285 - Reviews: 1 - Favs: 1 - Published: Aug 4, 2014 - Edward E., Winry R."
The Rose of Metal,by King of the Fallen, reviews,Adopted by BayHawk.,"Fullmetal Alchemist - Rated: M - English - Romance/Supernatural - Chapters: 5 - Words: 10,662 - Reviews: 43 - Favs: 72 - Follows: 61 - Updated: Nov 26, 2012 - Published: Apr 7, 2009 - Edward E., Rose"
Full Metal Heart,by AnimeWolf56, reviews,EdXRoy,"Fullmetal Alchemist - Rated: T - English - Chapters: 1 - Words: 2,575 - Reviews: 13 - Favs: 17 - Follows: 6 - Published: Jul 27, 2012 - Edward E., Roy M. - Complete"
Thunderhorses,by Red Lioness, reviews,Animal husbandry is metal.,"Metalocalypse - Rated: M - English - Humor - Chapters: 4 - Words: 11,444 - Reviews: 9 - Favs: 23 - Follows: 5 - Published: Sep 21, 2010 - Nathan E., C. F. Ofdensen"
Pedal to the Metal ,by K Hanna Korossy, reviews,Sam's...tired.,"Supernatural - Rated: T - English - Friendship/Suspense - Chapters: 1 - Words: 14,676 - Reviews: 68 - Favs: 163 - Follows: 10 - Published: Apr 4, 2008 - Complete"
Falkon,by Duck King, reviews,"A fanfic for the twisted metal game for PS2, Twisted metal black","Twisted Metal - Rated: K+ - English - Humor/Supernatural - Chapters: 1 - Words: 1,333 - Reviews: 7 - Favs: 2 - Published: Jun 1, 2002"
Metal,by LSMunch, reviews,Response to a challenge. So I guess it really is just a piece of metal.,"Law and Order: SVU - Rated: K - English - Chapters: 1 - Words: 118 - Reviews: 2 - Favs: 1 - Published: Mar 20, 2006 - Complete"
Metal Gear Solid 3: The Patriots,by Solid-Snail, reviews,The sequel to Metal Gear Solid Two…,"Metal Gear - Rated: T - English - Adventure - Chapters: 1 - Words: 389 - Reviews: 3 - Published: Dec 30, 2002"
Metal for Metal,by Mr Emerid,,"Yes, I scrapped the Optimus Minor Character later on....","Transformers/Beast Wars - Rated: T - English - Adventure - Chapters: 1 - Words: 3,463 - Published: Oct 1, 2000"
