Revenge,by bast2, reviews,Amos at the Chicago Theatre,"Chicago! - Rated: K+ - English - Chapters: 1 - Words: 115 - Reviews: 11 - Favs: 4 - Follows: 1 - Published: Jun 19, 2004"
Sowing the SeeDs Omake Theatre!,by Greenbeans, reviews,Omake Theatre for Sowing the SeeDs,"Final Fantasy VIII - Rated: T - English - Humor/Parody - Chapters: 12 - Words: 28,629 - Reviews: 7 - Favs: 2 - Updated: Jul 12, 2003 - Published: Apr 15, 2001"
Pokemon Science Theatre - Introduction,by Fionacat, reviews,The introduction to Pokemon Science Theatre,"Pokémon - Rated: K - English - Chapters: 1 - Words: 1,144 - Reviews: 3 - Favs: 1 - Published: May 14, 2001"
When Ichiruki go to the Theatre ,by DarkRaven30624, reviews,Rukia wins tickets to the Theatre!,"Bleach - Rated: T - English - Humor/Romance - Chapters: 1 - Words: 505 - Reviews: 4 - Favs: 4 - Published: May 11, 2015 - [Rukia K., Ichigo K.] Kon - Complete"
Theatre of the Absurd,by ello luv, reviews,A conversation between Jack and Ianto written in the style of Theatre of the Absurd.,"Torchwood - Rated: K+ - English - Humor/Romance - Chapters: 1 - Words: 872 - Reviews: 1 - Favs: 7 - Published: Dec 18, 2009 - Jack H., Ianto J. - Complete"
The Play's the Thing,by Lovely Zelda, reviews,A delightful afternoon at The Theatre.,"Good Omens - Rated: K+ - English - Humor - Chapters: 1 - Words: 924 - Reviews: 18 - Favs: 24 - Published: Jul 28, 2003"
Lila,by Guendolen Bailey,,Short poem on the theatre of the universe,"Fanfiction Poetry - Rated: K+ - English - Spiritual/Sci-Fi - Chapters: 1 - Words: 231 - Published: Mar 4, 2003"
Apology,by bast2, reviews,A year after the Chicago Theatre,"Chicago! - Rated: K+ - English - Chapters: 1 - Words: 120 - Reviews: 6 - Published: Apr 14, 2004"
Theatre Fluff,by Danubio, reviews,First Liley Story.,"Hannah Montana - Rated: K+ - English - Romance - Chapters: 1 - Words: 1,534 - Reviews: 13 - Favs: 14 - Follows: 4 - Published: Jan 7, 2008 - Complete"
Stage Falling,by chloeann549,,This is a memoir of an experience from theatre,"Misc. Books - Rated: K - English - Chapters: 1 - Words: 473 - Published: Aug 2, 2010 - Complete"
Burn it to the Ground,by Cortamone, reviews,Donnie's thoughts of the scene in the theatre. ONESHOT,"Donnie Darko - Rated: K - English - Mystery - Chapters: 1 - Words: 290 - Reviews: 2 - Favs: 1 - Published: Mar 3, 2006 - Complete"
Theatre de l'air,by RoxyandScrat,,Poem number two!,"Misc. Books - Rated: K+ - English - Adventure - Chapters: 1 - Words: 191 - Published: Jan 21, 2008 - Complete"
In the Theatre,by annmarieri, reviews,They only do it to blend in. River/Doctor.,"Doctor Who - Rated: T - English - Humor/Romance - Chapters: 1 - Words: 645 - Reviews: 7 - Favs: 30 - Follows: 3 - Published: Sep 22, 2010 - River Song/Melody P. III, 11th Doctor - Complete"
The Puppet Theatre,by Scarlett Montreal, reviews,"Odd, eccentric, practically absurd!","Lost World - Rated: K+ - English - Sci-Fi - Chapters: 1 - Words: 1,861 - Reviews: 2 - Favs: 1 - Follows: 1 - Published: Jul 26, 2006"
The Phantom of the Theater,by phantom music, reviews,He's not your typical theatre ghost…,"Naruto - Rated: K+ - English - Romance/Drama - Chapters: 1 - Words: 519 - Reviews: 7 - Favs: 7 - Follows: 11 - Published: Nov 30, 2007 - Sasuke U., Sakura H."
Clannad-The Theatre Club,by Amber.Anime.Freak, reviews,Second Chapter in my Fanfic,"Clannad - Rated: K+ - English - Chapters: 1 - Words: 659 - Reviews: 2 - Published: Nov 7, 2012"
Theatre Arts ,by basket-of-posies, reviews,DannyFlack. BC Prompt: Comedy.,"CSI: New York - Rated: K - English - Humor/Romance - Chapters: 1 - Words: 353 - Reviews: 3 - Favs: 10 - Follows: 2 - Published: Mar 28, 2007 - Danny M., Don F. - Complete"
A look inside The Dressing Room,by AracnusTyron, reviews,Professional Theatre Review,"1776 - Rated: T - English - Humor - Chapters: 1 - Words: 717 - Published: Jun 17, 2016 - Complete"
Joanna,by art.nerd, reviews,The crew of The Enterprise goes out for a night at the theatre.,"Star Trek: 2009 - Rated: T - English - Humor - Chapters: 2 - Words: 2,328 - Reviews: 7 - Favs: 7 - Follows: 18 - Updated: Aug 27, 2009 - Published: Aug 23, 2009 - L. McCoy/Bones, J. Kirk"
tiny alchemist,by hidekey, reviews,Inspired by watching the 4koma theatre eposides.,"Fullmetal Alchemist - Rated: K+ - English - Humor - Chapters: 1 - Words: 1,348 - Reviews: 4 - Favs: 5 - Follows: 4 - Published: Jun 19, 2013 - Kimbley, Riza H. - Complete"
Theatre Sucks,by Grand Master Shoma, reviews,"How the Rival Schools character react to a little taste of theatre! HAHAHA! R & R, please!","Rival Schools - Rated: K+ - English - Humor - Chapters: 1 - Words: 3,077 - Reviews: 16 - Favs: 2 - Published: Oct 3, 2001"
The Theatre,by deltadeann, reviews,Empty theatres and popcorn kernals. It's Embry Call's favorite time of the month. No warnings.,"Twilight - Rated: K - English - Chapters: 1 - Words: 284 - Reviews: 4 - Favs: 4 - Published: Jun 22, 2010 - Embry - Complete"
one night at the theatre,by valtamerentakainen , reviews,"there is no plot, really. only an evening at the theatre. Artemis not yet comfortable with the idea of being a criminal, I think…","Artemis Fowl - Rated: K - English - Chapters: 1 - Words: 1,388 - Reviews: 3 - Favs: 2 - Published: Jan 5, 2005"
A Different Kind of Theatre,by MidnightWraith, reviews,"Out of pure boredom, Yugi decides to take Yami to the IMAX theatre. YxYY, kinda, not really.","Yu-Gi-Oh - Rated: K - English - Humor - Chapters: 1 - Words: 444 - Reviews: 1 - Favs: 3 - Follows: 1 - Published: Dec 14, 2008 - Yami Y?gi, Y?gi M. - Complete"
