"1,080", Guide to the study and use of reference books," Apr 12, 2008"," Kroeger, Alice Bertha, d. 1909; Mudge, Isadore Gilbert, 1875-1957; American Library Association",Book digitized by Google from the library of the New York Public Library and uploaded to the Internet Archive by user tpb.,Topic: Reference books Source: http://books.google.com/books?id=mikQAAAAIAAJ&oe=UTF-8
112, ti :: TMS340xx :: TMS34010 C Compiler Reference Guide 1988," Sep 10, 2013", ,"From the bitsavers.org collection, a scanned-in computer-related document. ti :: TMS340xx :: TMS34010 C Compiler Reference Guide 1988","Topics: function, compiler, char, functions, returns, file, program, syntax, int, double, function returns,…"
23, Banned In The Media - A Reference Guide to Censorship," Nov 24, 2016", Herbert N. Foerstel,"Banned In The Media - A Reference Guide to Censorship in the Press, Motion Pictures, Broadcasting, and the Internet","Topics: Media & Communications, censorship"
121, A Reference guide to the pilot RMP experiences : [update]," Mar 15, 2013"," Drais, Gene; Roush, Lynda; United States. Bureau of Land Management","""The content of the original reference guide was developed at a workshop held in Denver, Colorado in mid-June, 1982.""","Topics: Conservation of natural resources, Land use, Environmental policy"
504, C128 Programmers Reference Guide," Sep 8, 2011", ,,"Topics: commodore, character, memory, data, screen, color, sprite, address, bit map, ram, ram bank, map…"
47, DEP quick reference guide," Dec 14, 2012", Massachusetts. Dept. of Environmental Protection,Caption title,Topic: Massachusetts. Dept. of Environmental Protection
666, Guide to the study and use of reference books," Apr 9, 2008"," Kroeger, Alice Bertha, d. 1909; Mudge, Isadore Gilbert, 1875-1957; American Library Association",Book digitized by Google and uploaded to the Internet Archive by user tpb.,Topic: Reference books Source: http://books.google.com/books?id=hAAWAAAAIAAJ&oe=UTF-8
623, Guide to the study and use of reference books," Apr 9, 2008"," Kroeger, Alice Bertha, d. 1909; Mudge, Isadore Gilbert, 1875-1957; American Library Association",Book digitized by Google and uploaded to the Internet Archive by user tpb.,Topic: Reference books Source: http://books.google.com/books?id=-f8VAAAAIAAJ&oe=UTF-8
"1,055", Guide to the study and use of reference books," Oct 19, 2008"," Kroeger, Alice Bertha, d. 1909; Mudge, Isadore Gilbert, 1875-1957; American Library Association",Book digitized by Google from the library of the New York Public Library and uploaded to the Internet Archive by user tpb.,Topic: Reference books Source: http://books.google.com/books?id=RRYSAAAAIAAJ&oe=UTF-8
"1,255", Guide to the study and use of reference books," Mar 5, 2009"," Kroeger, Alice Bertha, d. 1909; Mudge, Isadore Gilbert, 1875-1957; American Library Association",Book digitized by Google from the library of the New York Public Library and uploaded to the Internet Archive by user tpb.,Topic: Reference books Source: http://books.google.com/books?id=iykQAAAAIAAJ&oe=UTF-8
482, Ready reference fence guide...," Nov 20, 2011", Pittsburgh Steel Co.,"111 p., illus., froms, diagrs, 22 cm, trade catalog","Topics: Fences - metal and wire, fences and gates, Division 32, exterior improvements"
18, Vol 1978-1981: Personnel regulations reference guide," Sep 24, 2015", San Francisco (Calif.). Civil Service Commission,,
47, 2010/2011 Physician & Healthcare Reference Guide," Oct 26, 2013", StarNews Media,"Convenient and easy-to-use year-long reference to physicians and healthcare providers in print and on-line. Delivered to over 60,000 households and over 160 doctor’s offices throughout New Hanover, Brunswick and Pender counties. (Unofficial mirror of http://www.documentcloud.org/documents/227953-103110physiciansguideads.html)","Topics: documentcloud, starnews, 2633-beth-holton"
49, ERIC ED048142: Reading Skills Reference Guide. Addendum #1.," Nov 25, 2015", ERIC,"GRADES OR AGES: Grade 1. SUBJECT MATTER: Reading. ORGANIZATION AND PHYSICAL APPEARANCE: The guide, an addendum to the main Reading Skills Reference Guide, has preliminary sections explaining the recommended use of worksheets and workbooks, methods of grouping, and testing information. Additional materials for skill development and aids for checking specific skills are presented in the form of charts. The guide is offset printed and spiral-bound with a soft cover. OBJECTIVES AND ACTIVITIES: The...","Topics: ERIC Archive, Curriculum Guides, Elementary School Curriculum, Grade 1, Reading Improvement,…"
30," ERIC ED089288: Guide to Children's Magazines, Newspapers, Reference Books."," Jun 4, 2015", ERIC,"This annotated guide to children's magazines, newspapers, and reference books was designed to acquaint parents and teachers with recommended periodical literature for children from the early years through junior high school age. Annotative information includes: publisher, address of publisher, price of subscription or item, brief description of document, and suggested reading level. Reference books are cited under the following subheadings: atlases, bibliography, biography, dictionaries,...","Topics: ERIC Archive, Annotated Bibliographies, Atlases, Books, Children, Childrens Literature,…"
10, Vol ESRG-295 c1: EDI Standards Reference Guide," Aug 20, 2015", ,USA,
42, ERIC ED311273: Carpentry. Competency Statements/Objectives and Reference Guide. Revised.," Nov 22, 2014", ERIC,"This curriculum guide provides competency statements/objectives for an 11th- to 12th-grade trade and industrial education course in carpentry. The first half of the guide consists of competency statements for the 35 units of the curriculum. Each competency statement consists of a terminal objective and specific objectives for each unit, referenced to the core and supplementary curriculum and to a sequence reference number. Topics covered by the units include the free enterprise system, the...","Topics: ERIC Archive, Behavioral Objectives, Building Plans, Building Trades, Cabinetmaking, Carpentry,…"
499, Guide to the study and use of reference books," Mar 18, 2008"," Kroeger, Alice Bertha, d. 1909; Mudge, Isadore Gilbert, 1875-1957; American Library Association",Book digitized by Google from the library of the University of Michigan and uploaded to the Internet Archive by user tpb.,Topic: Reference books Source: http://books.google.com/books?id=SY8ZAAAAMAAJ&oe=UTF-8
953, Guide to the study and use of reference books," Apr 12, 2008"," Kroeger, Alice Bertha, d. 1909; Mudge, Isadore Gilbert, 1875-1957; American Library Association",Book digitized by Google and uploaded to the Internet Archive by user tpb.,Topic: Reference books Source: http://books.google.com/books?id=puYFAAAAIAAJ&oe=UTF-8
