2, The New Elizabethan Reference Dictionary," Jan 26, 2017"," Finch, Peter"," Book Source: Digital Library of India Item 2015.149899 dc.contributor.author: Finch, Peter dc.date.accessioned: 2015-07-06T14:21:06Z dc.date.available: 2015-07-06T14:21:06Z dc.date.digitalpublicationdate: 2013-03-04 dc.date.citation: 1923 dc.identifier.barcode: 99999990342830 dc.identifier.origpath: /data15/upload/0033/660 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/149899 dc.description.scannerno: 2 dc.description.scanningcentre: North Eastern States...", , Topic: North, , , , , , ,,,,,,
926, Encyclopedic dictionary of American reference," Jun 28, 2009"," Jameson, J. Franklin (John Franklin), 1859-1937; Buel, James W. (James William), 1849-1920", Book digitized by Google from the library of Harvard University and uploaded to the Internet Archive by user tpb., , Source: http://books.google.com/books?id=nxkPAAAAYAAJ&oe=UTF-8, , , , , , ,,,,,,
18, English Dictionary," Jan 17, 2017"," Annandale, Charles, Ed."," Book Source: Digital Library of India Item 2015.228218 dc.contributor.author: Ogilvie, John dc.contributor.author: Annandale, Charles, Ed. dc.date.accessioned: 2015-07-10T15:45:34Z dc.date.available: 2015-07-10T15:45:34Z dc.date.digitalpublicationdate: 2007-02-07 dc.date.citation: 1896 dc.identifier.barcode: 4990010123573 dc.identifier.origpath: /rawdataupload/upload/0123/575 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/228218 dc.description.scanningcentre:...", , Topic: C-DAK, , , , , , ,,,,,,
279, Artefact Dictionary," Nov 7, 2004", http://www.rsdsoft.com/artefact/index.php4," This program allows you to access dictionaries on your computer. It integrates into the system and allows you to get explanation of words or expressions, regardless of which application displayed it. This package includes an explanatory Webster's Dictionary. You can also download other dictionaries.", ," Topics: Artefact Dictionary, Business, Education and reference, Dictionaries, Artefact Dictionary", , , , , , ,,,,,,
4, Slang Dictionary," Jan 21, 2017", Not Available," Book Source: Digital Library of India Item 2015.24652 dc.contributor.author: Not Available dc.date.accessioned: 2015-06-24T20:01:31Z dc.date.available: 2015-06-24T20:01:31Z dc.date.digitalpublicationdate: 2006-03-24 dc.date.citation: 1901 dc.identifier.barcode: 4990010204541 dc.identifier.origpath: /data2/upload/0058/693 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/24652 dc.description.scanningcentre: C-DAK, Kolkata dc.description.main: 1...", , Topic: C-DAK, , , , , , ,,,,,,
4, Classical Dictionary," Jan 18, 2017"," Smith, William"," Book Source: Digital Library of India Item 2015.48044 dc.contributor.author: Smith, William dc.date.accessioned: 2015-06-26T13:10:07Z dc.date.available: 2015-06-26T13:10:07Z dc.date.digitalpublicationdate: 2006-03-27 dc.date.citation: 1858 dc.identifier.barcode: 4990010222343 dc.identifier.origpath: /data3/upload/0076/574 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/48044 dc.description.scanningcentre: C-DAK, Kolkata dc.description.main: 1...", , Topic: C-DAK, , , , , , ,,,,,,
596, Encyclopedic Dictionary of American Reference," Sep 22, 2008"," John Franklin Jameson , James William Buel", Book digitized by Google from the library of Harvard University and uploaded to the Internet Archive by user tpb., , Source: http://books.google.com/books?id=FLoOAAAAYAAJ&oe=UTF-8, , , , , , ,,,,,,
272, Encyclopedic Dictionary of American Reference," Sep 22, 2008"," John Franklin Jameson , James William Buel", Book digitized by Google from the library of Harvard University and uploaded to the Internet Archive by user tpb., , Source: http://books.google.com/books?id=cBkPAAAAYAAJ&oe=UTF-8, , , , , , ,,,,,,
213, Encyclopedic Dictionary of American Reference," Oct 19, 2008"," John Franklin Jameson , James William Buel", Book digitized by Google from the library of the University of Michigan and uploaded to the Internet Archive by user tpb., , Source: http://books.google.com/books?id=bnQiAAAAMAAJ&oe=UTF-8, , , , , , ,,,,,,
459, Encyclopedic Dictionary of American Reference," Oct 19, 2008"," John Franklin Jameson , James William Buel", Book digitized by Google from the library of the University of Michigan and uploaded to the Internet Archive by user tpb., , Source: http://books.google.com/books?id=l3giAAAAMAAJ&oe=UTF-8, , , , , , ,,,,,,
55, BDicty Dictionary Reader," Oct 25, 2004", http://www.beiks.com, This is a reference dictionary program for your PDA., ," Topics: palm pilot, palm pilot software, palm pilot downloads, palm, palm os, downloads, palm downloads", , , , , , ,,,,,,
"1,103", Vol 1: Encyclopedic dictionary of American reference," Aug 20, 2006"," Jameson, J. Franklin (John Franklin), 1859-1937; Buel, James W. (James William), 1849-1920", Vol. 1, , Topic: United States -- History Dictionaries, , , , , , ,,,,,,
"2,248", Concise Oxford English Dictionary," May 30, 2014", ," Download eBook DEFINITIONS The Concise Oxford English Dictionary for free from definition1.com - best free eBooks and manuals site. Definition of concise in British and World English in Oxford dictionary. Meaning, pronunciation and example sentences. English to English reference content. Find oxford english dictionary and oxford english dictionary hardback from a vast selection of Other. Get great deals on eBay. MSDict Concise Oxford English Dictionary and Thesaurus are a comprehensive pack of...", , Topic: Concise Oxford English Dictionary, , , , , , ,,,,,,
