Master,,"See also: master, m�ster, and M�ster Massa Mastah master Master (plural Masters) Prefix to a boy's name or surname. 1995, Barbara Hambly, Children","3 KB (282 words) - 02:08, 13 September 2016"
master,,"See also: Master , máster , and Mäster Wikipedia has articles on: master Wikipedia  (Received Pronunciation) IPA(key): /ˈmɑːs.tə/ (General American)","23 KB (1,062 words) - 08:46, 31 December 2016"
mastering,,"of. The process by which an audio recording is mastered . 2007, Alan Blyth, Choral Music on Record ( page 263) In considering this whole roster of performances","1 KB (77 words) - 12:57, 11 January 2017"
dungeon master,,also: Dungeon Master Wikipedia has an article on: Dungeon Master Wikipedia  Dungeon Master dungeon master (plural dungeon masters ) (role-playing,"3 KB (333 words) - 17:45, 15 November 2016"
master class,,"masterclass      Wikipedia has an article on: master class  Wikipedia master class (plural master classes) A class, typically in a performing art","509 bytes (73 words) - 04:42, 12 September 2016"
lord and master,,"lord and master (plural lords and masters ) Used other than as an idiom: see lord,‎ master .  1843,  Nicholas Ridley & ‎Henry Christmas,  The Works of Nicholas","4 KB (592 words) - 12:02, 21 October 2016"
Master of the Universe,,Wikipedia has an article on: Masters of the Universe  Wikipedia Master of the Universe (plural Masters of the Universe) (religion) God The Mishnah (English,"4 KB (439 words) - 16:11, 16 November 2016"
Master John Goodfellow,,"Me Moir, ISBN 9780753512258, page 225: As she approached Mick, the machine-bed was wound down and Mick heaved his Master John Goodfellow out of his capacious","1 KB (116 words) - 21:03, 4 November 2016"
Father,,"and older than the boyish Master . 2002, A. J. Drew, Wicca for Couples: Making Magick Together, page 89 ...and our Lord as Master , Father, and Sage.  2003","4 KB (152 words) - 04:58, 23 November 2016"
??????????,,"admonisher idem, page 12. instructor idem, page 447. instructress idem, page 447. master idem, page 516. mistress idem, page 536. playwright idem, page 619. preceptor","1 KB (257 words) - 01:11, 15 August 2016"
???????,,"Sanskrit ग्रह ‎(graha, “planet”) + पति ‎(pati, “husband; lord, master ”) or Telugu పతి ‎(pati, “ master , lord, ruler”).  Rhymes: -తి  గ్రహపతి • (grahapati) lord","420 bytes (45 words) - 11:59, 24 February 2017"
aphenphosmphobia,(category Pages using ISBN magic links),"scared of having her throat touched.""  2011, Craig Russell, The Carnival Master ( page 107) Since the stabbing she had struggled most with aphenphosmphobia","803 bytes (85 words) - 05:37, 6 December 2014"
practice makes perfect,(category Pages using ISBN magic links),"activity enough, one will eventually master it.   if one practices an activity enough, one will eventually master it     Gregory Y. Titelman, Random House","2 KB (44 words) - 03:26, 14 January 2017"
 ??????,,"idem, page 469. leading idem, page 482. lord idem, page 500. main idem, page 508. master idem, page 516. official idem, page 571. paramount idem, page 592","3 KB (572 words) - 02:29, 29 January 2017"
Maiden,,"Magick Together, page 90 ...different stages of life as represented by our Lady as Maiden, Mother, and Crone, as well as our Lord as Master , Father, and Sage","1 KB (112 words) - 00:57, 13 September 2016"
m�istreacht,,"m�istreacht f (genitive singular m�istreachta) mastering mastery office of master, mastership Declension of m�istreacht Third declension","284 bytes (16 words) - 22:00, 25 October 2016"
mea�t�r,,Related to Inari Sami miäštár.  meaštár master,"205 bytes (7 words) - 18:32, 29 September 2015"
Tiddles,,"Hunt and David Thomas, The Pragmatic Programmer: From Journeyman to Master , page 3: If you must, tell your cat first. After all, if little Tiddles is","919 bytes (124 words) - 18:10, 27 April 2016"
censusing,,"censusing present participle of census Bobcat (subtitled: Master of Survival) by Kevin Hansen Page 129 [1] ""Conner and associates (1983) conducted one of","458 bytes (32 words) - 14:49, 24 October 2015"
-pt',,"Proto-Iranian [Term?], from Proto-Indo-European *pótis ‎(“ master ”).  -pt' • (-bed) lord, master Manichaean Middle Persian: -byd ‎(-bed) Persian: بد ‎(-bad","528 bytes (62 words) - 18:05, 20 September 2016"
