,Thermomineral Waters Complex Use and Heat Supply for the Town …,File Format:,PDF/Adobe Acrobat,"Apr 25, 2015 ... heat/power and mineral extraction. The mineral-extraction direction is basic for geothermal waters, ..... Industrial waters, Reference book.",, https://pangea.stanford.edu/ERE/db/WGC/papers/WGC/.../28020.pdf
Statistical clustering and Mineral Spectral Unmixing in Aviris ...,,File Format:,PDF/Adobe Acrobat,"a database of minerals based on simple convex optimization techniques. ..... lack of quantitative reference data for mineral abundances for this dataset, our …", cs229.stanford.edu/.../ParenteZymnis- StatisticalClusteringAndMineralUnmixing.pdf,
Evaluation of Mineral Reserves,,,,"Evaluation of Mineral Reserves: A Simulation Approach. by ... Short of an exhaustive “real” mining data set, two reference data sets have been generated from …", https://pangea.stanford.edu/projects/mineral-reserves/preface.html,
References on Sustainability,,,,"Here is Simon's home page, and here is a direct reference to his on-line ... Simon sold Ehrlich an option to buy an amount of each mineral worth $200 in 1980.", www-formal.stanford.edu/jmc/progress/references.html,
A key for identification of rock-forming minerals in thin-section in …,,,,Bibliography: Includes bibliographical references and index. Contents. 1. Introduction 1.1 Photographs and their captions 1.2 Crystal systems 1.2.1 Miller indices …,, https://searchworks.stanford.edu/view/10682709
Speciation of Phosphate in Iron Rich Mineral Deposit in a High …,,File Format:,PDF/Adobe Acrobat,"The XANES spectra compare very well with reference spectra of 2-line ferrihydrite, but not with references of iron phosphate minerals characterised by a double …",, www.slac.stanford.edu/econf/C060709/papers/063_WEPO44.PDF
,Osteoporosis Research in Men: Breaking the Gender Paradigm ...,,,Osteoporosis Research in Men: Rethinking Standards and Reference Models ... models have been developed for women using bone mineral density (BMD) …,, https://genderedinnovations.stanford.edu/case.../osteoporosis.html
Study of Interactions Between Microbes and Minerals by Scanning …,,File Format:,PDF/Adobe Acrobat,"based on energy-filtered imaging was used to examine microbe-mineral interactions and the resulting .... used for this purpose in the past, and many reference.",, www.slac.stanford.edu/cgi-wrap/getdoc/slac-pub-12231.pdf
Geology and mineral resources of Nigeria [electronic resource] in …,,,,Bibliography: Includes bibliographical references and index. Contents. GEOLOGY - IGNEOUS AND METAMORPHIC ROCKS.- The Basement Complex.,, https://searchworks.stanford.edu/view/9109850
MINERAL MAKEUP OF SEAWATER,,,,MINERAL MAKEUP OF SEAWATER. In order of most to least: ELEMENT. MOLECULAR WEIGHT. PPM IN SEAWATER. MOLAR CONCENTRATION. Chloride., https://web.stanford.edu/group/Urchin/mineral.html,
