Software | Reich Laboratory,,Please visit here to download for Reich lab softwares in GitHub. cTools cTools ( Mallick et al. 2016) provides software tools for accessing Simons Genomic ..., https://reich.hms.harvard.edu/software,
,GSEA,"Download the GSEA software and additional resources to analyze, annotate and ... To cite your use of the GSEA software, please reference Subramanian, ...",, https://www.broadinstitute.org/gsea
,PLINK: Whole genome data analysis toolset,"Nov 5, 2016 ... ... methods to study single SNP associations in their local haplotypic context; Imputation heuristic, to test untyped SNPs given a reference panel ...",,pngu.mgh.harvard.edu/~purcell/plink/
"Reference Gene Validation for RT-qPCR, a Note on Different ...",,"Title: Reference Gene Validation for RT-qPCR, a Note on Different Available Software Packages. Author: De Spiegelaere, Ward; Dern-Wieloch, Jutta; Weigel,  ...",, https://dash.harvard.edu/handle/1/15035045
PaperPile Reference Manager | HMS,,"Feb 4, 2016 ... Paperpile Reference Manager Software is now available for FREE to anyone with an HMS/HSDM email address. Additional information and ...", https://hms.harvard.edu/paperpile-reference-manager,
SExtractor: Software for source extraction.,,"SExtractor: Software for source extraction. ... We present the automated techniques we have developed for new software that optimally detects, ... Reference 0",,adsabs.harvard.edu/abs/1996A%26AS..117..393B
,Xihong Lin's Group @ Harvard School of Public Health,Xihong Lin's Group @ Harvard School of Public Health, https://www.hsph.harvard.edu/xlin/software.html,
On-Board Software Reference Architecture for Payloads,,"Title: On-Board Software Reference Architecture for Payloads. Authors: Bos, Victor; Trcka, Adam. Affiliation: AA(Space Systems Finland (SSF)), AB(Evolving ...",,adsabs.harvard.edu/abs/2015ESASP.732E..40B
,Research Management and Citation Tools at Harvard,"Jan 31, 2017 ... What is citation software? Citation and research management tools help you organize your research and keep track of your references.",, guides.library.harvard.edu/cite
The SFXC software correlator for very long baseline interferometry ...,,"The SFXC software correlator for very long baseline interferometry: algorithms and ... Keywords: VLBI, Radio astronomy, Software correlation ... Reference 0",,adsabs.harvard.edu/abs/2015ExA....39..259K
