"ERIC - Rethinking Virtual Reference, Library Journal, 2004 ...",, eric.ed.gov/?id=EJ708038,"Virtual reference services seem a natural extension of libraries digital collections and the emphasis on access to the library anytime, anywhere. ",
ERIC - A Bare Bones Reference Collection for Small and ...,,eric.ed.gov/?id=ED316265,"Southern Maine Library District, Portland. This reference list was compiled to offer Maine librarians who serve communities with the resources of ... ",
ERIC - Electronic Reference Library: Silverplatter's ...,,eric.ed.gov/?id=ED399967,Silverplatter's Electronic Reference Library (ERL) provides wide area network access to its databases using TCP/IP communications and client-server ... ,
ERIC - Official Site,,eric.ed.gov/,"ERIC is an online library of education research and information, sponsored by the Institute of Education Sciences (IES) of the U.S. Department of ... ",
Welcome to the Library Statistics Program,,nces.ed.gov/surveys/libraries/,Welcome to the Library Statistics Program. The National Center for Education Statistics (NCES) is now conducting the Academic Libraries Survey as part ... ,
ERIC - A Computerized Reference Library Using ZOG ...,,eric.ed.gov/?id=ED192342,,"Gregg, Lee W.; Hannah, Joyce E. To assist researchers, practitioners, and students in locating journal articles, books, papers, and reports relevant ... "
"ERIC - Academic Library Reference Services., 1986",, eric.ed.gov/?id=ED284556,This examination of the philosophy and objectives of academic library reference services provides an overview of the major reference approaches to ... ,
,Curriculum Development in the Postmodern Era. Garland ...,eric.ed.gov/?id=ED420550,"Curriculum Development in the Postmodern Era. Garland Reference Library of Social Science, Volume 929. Critical Education Practice, Volume 1. ",
 What Is the Role of the Public Library? - ERIC,,files.eric.ed.gov/fulltext/ED349029.pdf,"WHAT IS THE ROLE OF THE PUBLIC LIBRARY? Joseph F. Shubert State Librarian and ... Reference library . Research center . Many libraries, of course, ... ",
ERIC - Academic Reference Librarians: Under the Microscope ...,,eric.ed.gov/?id=EJ529655,"Discusses emerging organizational structures of academic libraries and identifies core competencies for academic reference librarians, including a ... ",
"ERIC - Sports Reference: A Core Collection., School ...",,eric.ed.gov/?id=EJ666576,"Discusses reasons for including sports books in school library reference collections, explains why they should not be found only in public library ... ",
 Library Fast Facts - National Center for Education Statistics ,,nces.ed.gov/fastfacts/display.asp?id=42,The NCES Fast Facts Tool provides quick answers to many education questions (National Center for Education Statistics). Get answers on Early Childhood ... ,
"ERIC - The Test of Reference., Library Journal, 1980-Apr-1",,eric.ed.gov/?id=EJ225796,"Reports the results of an unobtrusive study, from a user's viewpoint, of reference services available in the Suffolk Cooperative Library System. ",
"ERIC - I & R = Reference, Library Journal, 1976",,eric.ed.gov/?id=EJ131243,"Reference Count: N/A. ISBN: N/A. ISSN: N/A. I & R = Reference. Luck, Carolyn; Croneberger, Robert. Library Journal, 101, 2, 318-19, Jan 15 76. ",
ERIC - Lincoln Park Zoological Gardens Reference Library ...,,eric.ed.gov/?id=EJ390943,"Describes the range of services offered by the Lincoln Park Zoological Gardens reference library, and discusses the concept of zoos as societal ... ",
"ERIC - The Internet: A Ready Reference Library?, Catholic ...",,eric.ed.gov/?id=EJ566591,"An academic librarian answered 24 questions using reference books, then tried to answer the same questions using an Internet search engine ... ",
The Future of Reference Services in the Public Library. - ERIC,,eric.ed.gov/?id=ED136821,"The Future of Reference Services in the Public Library. Lerner, Ivy. The public library is often regarded as serving peripheral rather than vital ...",
,ERIC - Search Results,eric.ed.gov/?q=Web&ff1=subHigher+Education&ff2=subAcademic+Libraries,"ERIC is an online library of education research and information, ... The Role of Virtual Reference in Library Web Site Design: A Qualitative Source ... ",
,"ERIC - The Roles of Libraries in Education., 1992-Nov",eric.ed.gov/?id=ED354919,Reference Count: N/A. ISBN: N/A. ISSN: N/A. The Roles of Libraries in Education. ... State Library and Adult Education Office. Identifiers - Location: ... ,
,ERIC - So You Want to Start a Municipal Reference Library ...,eric.ed.gov/?id=EJ086378,The Detroit Municipal Reference Library's organizational structure and services are described as an example for those interested in organizing a ... ,
