ERIC - Official Site,,eric.ed.gov/,"ERIC is an online library of education research and information, sponsored by the Institute of Education Sciences (IES) of the U.S. Department of ... "
ERIC - Reference Database Use: A New Application of Online ...,,eric.ed.gov/?id=ED190054,The quick reference service can ... This type of searching is greatly facilitated by the use of database indexes such as ... A New Application of ...
ERIC - Ready Reference Database Searching at the ...,,eric.ed.gov/?id=ED314064,This guide is a preliminary tool to be used to introduce online ready reference searching of government documents. The first half includes basic ... 
Bibliography Search Tool,,nces.ed.gov/bibliography/,The Bibliography Search Tool allows you to search for individual citations from journal articles that have been published using data from several NCES ... 
ERIC - End-User Selection of Databases--Part IV: People ...,,eric.ed.gov/?id=EJ415300,"End-User Selection of Databases--Part IV: People/News/General Reference. Meyer, Daniel E.; Ruiz, Den. Database, v13 n5 p65-67 Oct 1990. "
Welcome to the Library Statistics Program,,nces.ed.gov/surveys/libraries/,Welcome to the Library Statistics Program. The National Center for Education Statistics (NCES) is now conducting the Academic Libraries Survey as part ... 
ERIC - A Survey of Database Use at the Reference Desk ...,,eric.ed.gov/?id=EJ296992,Discusses results of mail survey eliciting 180 responses from libraries concerning reference use of online databases. Reference database users ... 
PEPS Data Extracts - US Department of Education,, www2.ed.gov/offices/OSFAP/PEPS/dataextracts.html,Data Extracts. PEPS produces a weekly data extract of select school data (created on Thursday evenings and posted to this site each Friday ... ... 
Common Education Data Standards (CEDS),,ceds.ed.gov/datamodelnds.aspx,"This presentation describes the CEDS data model process, which includes an overview and examples of the domain entity schema and normalized data ... "
FSA Software & Manuals,, www.fsadownload.ed.gov/docsStudentAidGateway.htm,"References and Documentation For archived technical references and guides, click here. Customer Service Centers "
ERIC - Getting SAVVY: A Database for Reference Use ...,,eric.ed.gov/?id=EJ342863,Evaluates the database program SAVVY PC and describes its use in a public library reference department to index a local newspaper. The basic structure ... 
 EDM-Enterprise Data Dictionary Standards,,federalstudentaid.ed.gov/static/gw/docs/ciolibrary/ECONOPS_Docs/EDM-EnterpriseDataDictionaryStandard,This collection can be organized for reference into a book called a data dictionary. When ... Enterprise Data Dictionary Standards EDD Development ... 
 Data Migration Roadmap - US Department of Education,,studentaid.ed.gov/sites/default/files/fsawg/static/gw/docs/ciolibrary/ECONOPS_Docs/DataMigrationRoadma,Data Migration Roadmap List of Tables Final Draft April 2007 i List of Tables Table 1: Data Migration Project Lifecycle with high-level tasks ... 
 2016-2017 EDE Technical Reference Overview,,ifap.ed.gov/edetechref/attachments/1617EDETechnicalReferenceSection1OverviewFinal.pdf,November 2015 (2016-2017) EDE Technical Reference Overview 1-2 Preface The Electronic Data Exchange (EDE) Technical Reference is designed to meet the ... 
 50 Years of ERIC,,eric.ed.gov/pdf/ERIC_Retrospective.pdf,"50 years of service to education Research Practice Professional development ... • ERIC Processing and Reference Facility – coordination, data"
Searching Reference Databases: What Students Experience ...,,eric.ed.gov/?id=EJ906656,Searching Reference Databases: What Students Experience and What Teachers Believe that Students Experience. ... for information using a university ... 
Help - National Center for Education Statistics (NCES ...,,nces.ed.gov/help/,Find all of the help information you need to make your visit to the National Center for Education Statistics (NCES) website as easy and enjoyable as ... 
A Worldwide List of Source and Reference Databases in the ...,,eric.ed.gov/?id=EJ263468,Describes the nature and function of source and reference databases in the geosciences and discusses current trends in the development of such databas ... 
,Library Statistics Program - Academic Libraries,nces.ed.gov/surveys/libraries/academic.asp,"Academic Libraries. The National Center for Education Statistics (NCES) collects data biennially from about 3,700 degree-granting postsecondary ... "
Cohort Default Rate Guide - Federal Student Aid,,ifap.ed.gov/DefaultManagement/finalcdrg.html,3-Year Searchable Database. Contact Information. FAQs. Default Management Search: ... Cohort Default Rate Guide Quick Reference; Data Manager ... 
