time=7305ms


BODY: left=0,top=0,right=1423,bottom=7490; DOM="[object HTMLBodyElement]"

DIV: left=0,top=0,right=1423,bottom=71; DOM="[object HTMLDivElement]"
DIV: left=-9999,top=0,right=-9967,bottom=32; DOM="[object HTMLDivElement]"
DIV: left=0,top=0,right=1423,bottom=71; DOM="[object HTMLDivElement]"
DIV: left=-9999,top=0,right=-9967,bottom=32; DOM="[object HTMLDivElement]"
DIV: left=97,top=40,right=1327,bottom=158; DOM="[object HTMLDivElement]"
DIV: left=0,top=6886,right=1423,bottom=7458; DOM="[object HTMLDivElement]"
DIV: left=0,top=7458,right=1423,bottom=7474; DOM="[object HTMLDivElement]"
IMG: left=1421,top=692,right=1454,bottom=768; DOM="[object HTMLImageElement]"

DIV: left=-9999,top=0,right=-9967,bottom=32; DOM="[object HTMLDivElement]"

DIV: left=-9999,top=0,right=-9967,bottom=32; DOM="[object HTMLDivElement]"

DIV: left=97,top=40,right=1327,bottom=158; DOM="[object HTMLDivElement]"

DIV: left=112,top=40,right=1312,bottom=158; DOM="[object HTMLDivElement]"

DIV: left=112,top=40,right=1312,bottom=158; DOM="[object HTMLDivElement]"

DIV: left=112,top=40,right=1312,bottom=123; DOM="[object HTMLDivElement]"

SPAN: left=112,top=0,right=1312,bottom=40; DOM="[object HTMLSpanElement]"
BUTTON: left=1272,top=0,right=1312,bottom=40; DOM="[object HTMLButtonElement]"

SPAN: left=112,top=0,right=1312,bottom=40; DOM="[object HTMLSpanElement]"

A: left=112,top=75,right=229,bottom=123; DOM="http://www.ebay.co.uk/"
BUTTON: left=234,top=76,right=324,bottom=119; DOM="[object HTMLButtonElement]"
DIV: left=331,top=79,right=966,bottom=119; DOM="[object HTMLDivElement]"
DIV: left=966,top=79,right=1148,bottom=119; DOM="[object HTMLDivElement]"
INPUT: left=1153,top=79,right=1242,bottom=119; DOM="[object HTMLInputElement]"
A: left=1242,top=79,right=1312,bottom=119; DOM="http://www.ebay.co.uk/sch/ebayadvsearch?_odkw=world%20games&_osacat=0&_from=R40&_nkw=world%20games&_sacat=0&_odkw=world%20games&_osacat=0&_from=R40&_nkw=world%20games&_sacat=0"
LABEL: left=1154,top=129,right=1260,bottom=142; DOM="[object HTMLLabelElement]"
LABEL: left=1154,top=129,right=1260,bottom=142; DOM="[object HTMLLabelElement]"

A: left=112,top=75,right=229,bottom=123; DOM="http://www.ebay.co.uk/"

BUTTON: left=234,top=76,right=324,bottom=119; DOM="[object HTMLButtonElement]"

DIV: left=331,top=79,right=966,bottom=119; DOM="[object HTMLDivElement]"

DIV: left=966,top=79,right=1148,bottom=119; DOM="[object HTMLDivElement]"

SELECT: left=977,top=90,right=1137,bottom=108; DOM="[object HTMLSelectElement]"

