 New listing,  PS3 - Call of Duty World at War (COD WAW) **New & Sealed** Official UK Stock, £11.95, , , , ,, + £3.99 postage, , , See more like this
 , PS3-PIRATES OF THE CARIBBEAN: AT WORLDS END PS3  GAME NEW, £14.30, , , , ,,  + £3.00 postage, , , See more like this
 , WORLD OF TANKS - Microsoft Xbox 360 ~PAL~ RPG/Action Game ~ NEW & Sealed, £8.96, , , , ,, + £10.96 postage, , , See more like this
 , World of Simulators Ultimate Edition  GAME NEW, £13.57, , , , ,, + £3.00 postage, , 5 watching, See more like this
 , Lego Jurassic World Game for Xbox One Kids NEW & SEALED, £15.89, , , , ,, + £2.75 postage, , 14 watching, 
 ," Vanilla World of Warcraft Collectors Edition for PC, 2004, Code Used", £299.99, , , , ,, + £50.00 postage, , , 
 , 2 x SONY PSP Promo Games - NEW - Gran Turismo & Buzz!:Quiz World, £3.99, , , ," 18h left (Thursday, 14:20)", 0 bids, + £5.00 postage, , , 
 , The World Ends With You Game DS - Brand new!, £19.99, , , , ,, , Free Postage, , See more like this
 , PlayStation VR Worlds PS4 Game (PSVR Required) Brand New, £28.99, , , , ,, , Free Postage, , See more like this
 , 33 PlayStation 2 games *PAL* GOOD CONDITION / COMPLETE / SEALED / SOME RARE, £3.15  to £49.95, , From Russian Federation, , ,, + £3.99 postage, , , 
 New listing,  Nintendo Gamecube Pal Game with Box 2002 FIFA WORLD CUP, £0.99, , , ," 14h left (Thursday, 10:59)", 0 bids,, Free Postage, , 
 New listing,  Sega Master System Pal Game FORGOTTEN WORLDS with Box Instructions, £8.50, , , ,"  14h left (Thursday, 10:45)", 8 bids,, Free Postage, , 
 , LEGO WORLDS PS4 GAME UK PRE-ORDER RELEASED 24 FEBRUARY 2017, £22.99, , , , ,, + £12.99 postage, , 71 watching, 
 , WARIO WORLD - GameCube Game - Nintendo - PAL - CIB, £34.99, , , , ,, + £2.99 postage, , , See more like this
 , Hot Popular Kids Children Games Funny Trip World Rare Game Card, £4.69, , From China,  Was: £4.99, ,, , Free Postage, Only 1 left!, 
 , BRUTAL MARIO WORLD - PAL IN ENGLISH GAME - SUPER NINTENDO SNES - SUPER LAND, £47.90, , From Spain, , ,, + £3.50 postage, , , 
 , GameBoy game - Trip World RARE! (cartridge), £177.99, , From Germany, , ,, + £69.99 postage, , , 
 , Xbox Original Games Make Your Own Bundle/Joblot Tested And Working (1), £2.49 to £6.49, , , , ,, + £9.00 postage, , , 
 ," Nintendo Digimon World DS Game Card Working with DS, DS Lite, DSi, 3DS", £8.99, , , , ,, + £9.83 postage, , 232 sold, See more like this
 , PS2 / Sony Playstation 2 game - Dragonball Z Infinite World (boxed), £17.99, , From Germany, , ,, , Free Postage, 2 watching, 
 , The Legend Of Zelda GAME Collectors Edition A Link Between Worlds Very Rare  NEW, £199.00, , , , ,, + £40.00 postage, , , 
 , Pa2 Tetris Worlds Game, £1.49, , , ," 11h left (Thursday, 8:01)", 0 bids, + £3.90 postage, , , 
 , World Snooker Championship  pc game, £1.26," Buy 3, get 1 free", , , ,, + £3.79 postage, , , 
 ," WORLD CHAMPIONSHIP SNOOKER,INTERNATIONAL POOL MASTER PARADISE 9 game BUNDLE Ps2", £15.29," Buy 1, get 1 60% off", , , ,, + £25.00 postage, , , 
 , 9 PS3 COD GAMES BUNDLE CALL OF DUTY WORLD AT WAR MW2 MW3 MW4 B.OPS GHOST WARFARE, £46.49, , , , ,, + £18.99 postage, , , 
