time=6800ms


BODY: left=0,top=0,right=1423,bottom=1832; DOM="[object HTMLBodyElement]"

DIV: left=1156,top=675,right=1168,bottom=687; DOM="[object HTMLDivElement]"
DIV: left=1016,top=1031,right=1028,bottom=1043; DOM="[object HTMLDivElement]"
DIV: left=1028,top=687,right=1168,bottom=1043; DOM="[object HTMLDivElement]"
DIV: left=0,top=0,right=1423,bottom=96; DOM="[object HTMLDivElement]"
DIV: left=172,top=116,right=1252,bottom=1832; DOM="[object HTMLDivElement]"

DIV: left=1028,top=687,right=1168,bottom=1043; DOM="[object HTMLDivElement]"

DIV: left=1016,top=675,right=1156,bottom=1031; DOM="[object HTMLDivElement]"

DIV: left=1022,top=681,right=1161,bottom=1037; DOM="[object HTMLDivElement]"

DIV: left=1039,top=694,right=1149,bottom=1021; DOM="[object HTMLDivElement]"

DIV: left=1039,top=694,right=1149,bottom=863; DOM="[object HTMLDivElement]"

A: left=1039,top=807,right=1149,bottom=862; DOM="http://www.ikea.com/ca/en/catalog/products/60306494/"

DIV: left=1039,top=831,right=1149,bottom=844; DOM="[object HTMLDivElement]"

SPAN: left=1039,top=863,right=1149,bottom=876; DOM="[object HTMLSpanElement]"
SPAN: left=1039,top=877,right=1149,bottom=890; DOM="[object HTMLSpanElement]"
SPAN: left=1039,top=890,right=1149,bottom=903; DOM="[object HTMLSpanElement]"
SPAN: left=1039,top=903,right=1149,bottom=916; DOM="[object HTMLSpanElement]"
SPAN: left=1039,top=916,right=1149,bottom=929; DOM="[object HTMLSpanElement]"
SPAN: left=1039,top=930,right=1149,bottom=943; DOM="[object HTMLSpanElement]"
INPUT: left=1039,top=946,right=1052,bottom=959; DOM="[object HTMLInputElement]"

LABEL: left=1057,top=945,right=1110,bottom=960; DOM="[object HTMLLabelElement]"

DIV: left=1034,top=969,right=1147,bottom=1022; DOM="[object HTMLDivElement]"

DIV: left=1034,top=969,right=1147,bottom=1022; DOM="[object HTMLDivElement]"

DIV: left=0,top=0,right=1423,bottom=96; DOM="[object HTMLDivElement]"

