,,ACS Award for Creative Advances in Environmental Science ...,"... be granted regardless of race, gender, age, religion, ethnicity, nationality ... and the ACS Publications journal Environmental Science & Technology ... ", www.acs.org/.../bytopic/acs-award-for-creative-advances-in-environmental-science-and-technology.html, - 48k, - 2017-02-10, -,Cached
,,The Ahmed Zewail Award in Ultrafast Science and ...,"... in ultrafast science and technology in the areas of physics, chemistry, biology, or related fields regardless of race, gender, age, religion, ethnicity ... ", www.acs.org/.../awards/national/bytopic/the-ahmed-zewail-award-in-ultrafast-science-and-technology.html , - 43k , - 2017-02-07, -,Cached
,,ACS Award in Applied Polymer Science ...,"... be granted regardless of race, gender, age, religion, ethnicity, nationality ... The ACS Division of Polymeric Materials: Science and Engineering and ... ", www.acs.org/.../en/funding-and-awards/awards/national/bytopic/acs-award-in-applied-polymer-science.html, - 48k, - 2017-02-07, -,Cached
,,ACS Award in Separations Science and Technology ...,"... as possible, covering all fields where separation science and technology is ... be granted regardless of race, gender, age, religion, ethnicity, nationality ... ", www.acs.org/.../awards/national/bytopic/acs-award-in-separations-science-and-technology.html, - 47k, - 2017-02-10 , -,Cached
[PDF],Chemists Celebrate Earth Day Brochure ,,"... world and how scientists can help protect our planet from destruction.” His favorite subjects in school were science, religion, and philosophy. ... ", www.acs.org/content/dam/acsorg/education/outreach/cced/2015-cced-brochure-online.pdf, - 110k , - 2016-06-03, -,Text Version
,,AkzoNobel North America Science Award ...,"... fields of the chemical or materials sciences: ... an understanding of the colloid science, rheology and ... of race, gender, age, religion, ethnicity, sexual ... ", www.acs.org/content/acs/en/funding-and-awards/awards/nonacs/akzonobel-science-award.html, - 45k , - 2017-02-06, -,Cached
,ACS Award for Encouraging Disadvantaged Students into ...,,"... careers in the chemical sciences and engineering ... appreciation of chemistry as the central science. ... race, gender, age, religion, ethnicity, nationality ... ", www.acs.org/content/acs/en/funding-and-awards/awards/national/bytopic/acs-award-for-encouraging-disa..., - 46k, - 2017-02-08, -,Cached
,ACS Award for Encouraging Women into Careers in the ...,,"... careers in the chemical sciences and engineering ... appreciation of chemistry as the central science. ... race, gender, age, religion, ethnicity, nationality ... ", www.acs.org/.../bytopic/acs-award-for-encouraging-women-into-careers-in-the-chemical-sciences.html, - 46k, - 2017-02-07, -,Cached
,,AkzoNobel North America Science Award ...,"... fields of the chemical or materials sciences: ... an understanding of the colloid science, rheology and ... of race, gender, age, religion, ethnicity, sexual ... ", www.acs.org/content/acs/en/funding-and-awards/awards/nonacs/akzonobel-science-award, - 45k, - 2017-02-06, -,Cached
,ACS Award for Encouraging Disadvantaged Students into ...,,"... careers in the chemical sciences and engineering ... appreciation of chemistry as the central science. ... race, gender, age, religion, ethnicity, nationality ... ", www.acs.org/.../acs-award-for-encouraging-disadvantaged-students-into-careers-in-the-chemical-sciences, - 46k, - 2017-02-08, -,Cached
