 Beau Lotto | TED Speaker," Beau Lotto is founder of Lottolab, a hybrid art studio and science lab. With glowing, interactive sculpture -- and old-fashioned peer-reviewed research--he's illuminating the mysteries of the brain's visual system."," Neuroscientist, Artist", http://www.ted.com/speakers/beau_lotto
 Dustin Yellin | TED Speaker," Acclaimed for his monumental “sculptural paintings,” Dustin Yellin now nurtures voices in the art community with Pioneer Works, his mammoth Brooklyn art center.", Sculptor, http://www.ted.com/speakers/dustin_yellin_1
 Fabien Cousteau | TED Speaker, Fabien Cousteau spent 31 days underwater to research how climate change and pollution are affecting the oceans., Ocean explorer and environmentalist, http://www.ted.com/speakers/fabien_cousteau
 Jinha Lee | TED Speaker," Jinha Lee works at the boundary of the physical and digital world. The TED Fellow, designer and engineer is exploring ways to weave digital information into physical space."," Interface designer, engineer", http://www.ted.com/speakers/jinha_lee
 Michael Bodekaer: This virtual lab will revolutionize science class," Virtual reality is no longer part of some distant future, and it's not just for gaming and entertainment anymore. Michael Bodekaer wants to use it to make quality education more accessible. In this refreshing talk, he demos an idea that could revolutionize the way we teach science in schools.", , http://www.ted.com/talks/michael_bodekaer_this_virtual_lab_will_revolutionize_science_class
 Ellen Jorgensen | TED Speaker," Ellen Jorgensen is at the leading edge of the do-it-yourself biotechnology movement, bringing scientific exploration and understanding to the public."," Biologist, community science advocate", http://www.ted.com/speakers/ellen_jorgensen
 Ed Boyden | TED Speaker, Ed Boyden is a professor of biological engineering and brain and cognitive sciences at the MIT Media Lab and the MIT McGovern Institute., Neuroengineer, http://www.ted.com/speakers/ed_boyden
 Homaro Cantu and Ben Roche: Cooking as alchemy," Homaro Cantu and Ben Roche come from Moto, a Chicago restaurant that plays with new ways to cook and eat food. But beyond the fun and flavor-tripping, there's a serious intent: Can we use new food technology for good?", , http://www.ted.com/talks/homaro_cantu_ben_roche_cooking_as_alchemy
 Kristina Gjerde | TED Speaker, Kristina Gjerde is an expert on the law of the high seas -- the vast areas of the sea and seabed that exist beyond any national jurisdiction. These places belong to the world; Gjerde's work helps the world work together to protect them., High seas policy advisor, http://www.ted.com/speakers/kristina_gjerde
 Peter Donnelly | TED Speaker," Peter Donnelly is an expert in probability theory who applies statistical methods to genetic data -- spurring advances in disease treatment and insight on our evolution. He's also an expert on DNA analysis, and an advocate for sensible statistical analysis in the courtroom.", Mathematician; statistician, http://www.ted.com/speakers/peter_donnelly
 Scott Fraser | TED Speaker, Scott Fraser is a forensic psychologist who thinks deeply about the fallibility of human memory and encourages a more scientific approach to trial evidence.," Forensic psychologist, expert witness", http://www.ted.com/speakers/scott_fraser
 Avi Rubin | TED Speaker, Avi Rubin is a professor of computer science and director of the Health and Medical Security Lab at Johns Hopkins University. His research is focused on the security of electronic records -- including medical and voting records., Computer security expert, http://www.ted.com/speakers/avi_rubin
