Engineering Structures - Journal - Elsevier, https://www.journals.elsevier.com/engineering-structures/,Engineering Structures provides a forum for a broad blend of scientific and technical papers to reflect the evolving needs of the structural engineering and ...,Journals
Ecological Engineering - Journal - Elsevier, https://www.journals.elsevier.com/ecological-engineering/,"It is meant to serve as a bridge between ecologists and engineers, as ecotechnology is not wholly defined by either field. The journal will be... Read more.",Journals
Engineering Research & Resources | Engineering Village Database, https://www.elsevier.com/solutions/engineering-village,"Engineering research, resources, and database, including the latest journals and articles- provide access to twelve engineering databases in one location.",Webpages
Data & Knowledge Engineering - Journal - Elsevier, https://www.journals.elsevier.com/data-and-knowledge-engineering/,Data & Knowledge Engineering (DKE) stimulates the exchange of ideas and interaction between these two related fields of interest. DKE reaches a world- wide ...,Journals
Engineering Geology - Journal - Elsevier, https://www.journals.elsevier.com/engineering-geology,"Engineering Geology is an international interdisciplinary journal bridging the ... of the earth sciences and engineering, particularly geological and geotechnical ...",Journals
Ocean Engineering - Journal - Elsevier, https://www.journals.elsevier.com/ocean-engineering/,Ocean Engineering provides a medium for the publication of original research and development work in the field of ocean engineering. Ocean Engineering ...,Journals
Chemical Engineering Journal - Elsevier, https://www.journals.elsevier.com/chemical-engineering-journal,"The Chemical Engineering Journal focuses upon three aspects of chemical engineering: chemical reaction engineering, environmental chemical engineering, ...",Journals
Applied Thermal Engineering - Journal - Elsevier, https://www.journals.elsevier.com/applied-thermal-engineering,"Applied Thermal Engineering publishes original, high-quality research papers and ancillary features, spanning activities ranging from fundamental research to ...",Journals
Computers & Industrial Engineering - Journal - Elsevier, https://www.journals.elsevier.com/computers-and-industrial-engineering/,"Industrial engineering is one of the earliest fields to utilize computers in research, education, and practice. Over the years, computers and electronic ...",Journals
Chemical Engineering Science - Journal - Elsevier, https://www.journals.elsevier.com/chemical-engineering-science/,"Chemical engineering enables the transformation of natural resources and energy into useful products for society. It draws on and applies natural sciences,  ...",Journals
