,Databases and Article Searching - NOAA Central Library,, www.lib.noaa.gov/researchtools/journals/databases.html,"Databases and Article Searching: As noted below, ... Search for or browse the top researchers in the life sciences, medicine, physical sciences, ... "
,National Marine Mammal Laboratory - afsc.noaa.gov,, www.afsc.noaa.gov/nmml/education/science/mmcareers1.php,Strategies for Pursuing a Career in Marine Mammal Science. ... Veterinary Medical Association and the International Association for Aquatic Animal Med ... 
,Medicines from the Deep Sea: Discoveries to Date,, oceanexplorer.noaa.gov/explorations/03bio/background/medicines/medicines.html,"Medicines from the Deep Sea: Discoveries to Date. Amy E. Wright, PhD Co-Principal Investigator, Gulf of Mexico Expedition Director, Division of ... "
,Citizen Science at NOAA,, oceanservice.noaa.gov/news/apr15/volunteer.html,Citizen Science at NOAA ... Volunteer monitoring has contributed for many years to diverse fields ranging from astronomy to medicine and computer scie ... 
[PDF], Medicines from the Deep Sea - NOAA Ocean Explorer,,oceanexplorer.noaa.gov/explorations/03bio/background/edu/media/meds_drugstore.pdf,2 Medicines from the Deep Sea: Exploration of the Gulf of Mexico – Grades 9-12 (Life Science) Focus: Pharmacologically-active chemicals derived from ... 
,,Local Fisheries Knowledge Project - National Oceanic and ..., www.st.nmfs.noaa.gov/lfkproject/04_d.MarineRecreationTourism.htm,"Marine Recreation and Tourism. Blanchet, M. Wylie. 1993. ... The beach has been used for recreation, medicine, science, religion ... "
,What does coral have to do with medicine?,, oceanservice.noaa.gov/facts/coral_medicine.html,Home Ocean Facts What does coral have to do with medicine? What does coral have to do with medicine? Corals are the medicine cabinets of the 21st ... 
,,NOAA-wide Databases and e-Journals - NOAA Central Library, www.lib.noaa.gov/researchtools/journals/noaawide.html,"NOAA-Wide and Open Access Databases and E-Journals: AGRICOLA * ... Search for the top researchers in the life sciences, medicine, physical sciences, ... "
,,Do medicines come from the sea? - NOAA Ocean Explorer, oceanexplorer.noaa.gov/facts/medicinesfromsea.html,"While most drugs derived from natural sources currently come from terrestrial (land-based) organisms, research suggests that marine invertebrates ... "
,Databases and Article Searching by Subject - NOAA Central ...,, www.lib.noaa.gov/researchtools/journals/subjectdatabases.html,"Databases and Article Searching by Subject: ... Search for or browse the top researchers in the life sciences, medicine, physical sciences, ... "
,Passive acoustic monitoring reveals clues to Minke Whale ...,, www.nefsc.noaa.gov/press_release/pr2014/scispot/ss1402/,"Passive Acoustic Monitoring Reveals Clues to ... Medicine Hannover in Germany, and Sofie Van Parijs of the Woods Hole Laboratory of NOAA’s Northeast ... "
,Hands-on science activities | National Oceanic and ...,, www.noaa.gov/education/hands-on-science-activities,Need a quick activity for earth science education? Below are nine hands-on activities that can be done in 15-30 minutes that get students thinking ... 
,Historical Development of Fisheries science,, www.nefsc.noaa.gov/history/stories/fsh_sci_history1.html,The Historical Development of Fisheries Science and Management. Taken from a lecture given at the Fisheries Centennial Celebration (1985) by William ... 
[PDF], Do you have they key? - NOAA Ocean Explorer,,oceanexplorer.noaa.gov/explorations/07philippines/background/edu/media/key.pdf,"5-6 (Life Science/Physical Science) ... Currents and Food, Water, and Medicine from the Sea. ... Do you have they key? ... "
,NOAA Ocean Explorer: Deep Sea Medicines 2003,, oceanexplorer.noaa.gov/explorations/03bio/welcome.html,Deep Sea Medicines 2003 ... Deep Sea Medicines. Microbiology. ... scientists use SCUBA to get up close and personal with the science. 
,NEFSC: Science Spotlight: Scientists Identify Source of ...,, www.nefsc.noaa.gov/press_release/pr2014/scispot/ss1403/,"SS14.03 April 23, 2014 Contact: Shelley Dawicki. Scientists Identify Source of Mysterious Low-Frequency Sound Heard for Decades in the Southern Ocean "
,OneNOAA Science Seminars - National Oceanic and ...,, www.nodc.noaa.gov/seminars/2011/01-jan.html,January 2011 OneNOAA Science Seminars. A joint effort by several NOAA seminar partners to share science and management information. [Seminar Partner's ... 
,NOAA Paleoclimatology Global Warming - The Data,, www.ncdc.noaa.gov/paleo/globalwarming/peerreview.html,"One of the basic foundations of modern science, whether it be medicine, physics or climatology, is ""peer review."" Peer review means new scientific ... "
[PDF],CURRICULUM VITAE - NOAA CIO,, www.cio.noaa.gov/services_programs/prplans/pdfs/ID43_Burkard_CV.pdf,"CURRICULUM VITAE NAME: Robert Francis Burkard DATE OF BIRTH: 27 March 1953 ... School of Medicine and Biomedical Sciences, University at Buffalo. 2 "
,,Wiley Interscience Electronic Journal Title List, www.aoml.noaa.gov/general/lib/wiley.htm,NOAA Miami Regional Library at AOML. ... Journal of The Science of Food and Agriculture ... Lasers in Surgery and Medicine (1997-2011) 
