reviews,,Dash cam review: The Cobra CDR895D Drive HD offers affordable dual-channel video," Jan 13, 2017 5:57 PM","by Jon L. Jacobi, PCWorld ",Cobra's CDR895D Drive HD is a dual-channel dash cam with near 360-degree coverage and a surprisingly affordable price.,
news,,In defense of the channel bundles from Sling TV and PlayStation Vue ," Jul 13, 2016 3:00 AM","by Jared Newman, TechHive ",Why Sling TV and PlayStation Vue are more than just an old channel bundle with a new delivery mechanism.,
news,,Obama administration pushes for more computer science education," Jan 30, 2016 3:00 AM ","by Blair Hanley Frank, IDG News Service ","The United States may direct billions of dollars funding towards teaching America's youth computer science, if President Obama has his way. ",
news,,13 awesome science apps to express your inner nerd," Aug 8, 2013 3:30 AM","by Ian Paul, TechHive ",,
news,,"DirecTV sets up the first UltraHD TV channel in the United States, starting with the Masters golf tournament"," Mar 9, 2016 9:42 AM","by Jared Newman, TechHive ","DirecTV goes 4K on a single channel, as the era of live UltraHD broadcasts begins with a whimper.",
news,,NASA will launch a 4K TV channel later this year," Sep 8, 2015 4:39 AM","by Martyn Williams, IDG News Service","NASA plans to launch a 4K TV channel this fall and has already begun test broadcasts. The new channel, called NASA UHD, will broadcast 24 hours a day and be available free of commercials.",
opinion,,Quad-channel RAM vs. dual-channel RAM: The shocking truth about their performance ," Sep 11, 2015 3:00 AM","by Gordon Mah Ung, PCWorld ",One of the check-off features of Intel’s big Haswell-E CPU is support for quad-channel DDR4 memory. But do you really need it? We test it against dual-channel memory to find out. ,
news,,Channel Master’s entry-level TV tuner brings better guide data to over-the-air channels," Jan 7, 2016 4:30 AM","by Jared Newman, TechHive ",Channel Master makes surfing for free broadcast TV a bit more pleasant with its basic tuner box.,
news,,Computer Science Grads Fielding 'Multiple Job Offers'," Jun 1, 2011 3:25 PM","by Ann Bednarz, Network World ",It's good to be a computer science major these days.,
news,video,A look at the world's most powerful X-ray laser," Apr 16, 2014 4:00 PM","by Melissa Aparicio, IDG News Service ",Research at SLAC's Linac Coherent Light Source is used to develop future data storage systems and electronics,
,video,Nintendo Launches Wii News Channel," Jan 31, 2007 12:00 AM",by IDG News Service,,It's been helping couch-potato gamers get fitter and now Nintendo's Wii is helping them stay in touch with world news. (1:31)
,video,"Dell buys EMC, Twitter cuts staff, 4K video in space - The Wrap"," Oct 15, 2015 2:55 PM ",by Nick Barber,,"Dell buys EMC in one of the biggest tech aquisitions ever, Apple's A7 chip infringes on a patent and astronauts shoot 4K video in space. (2:55)"
