 Teaching science using the movie Apollo 13,, Download PDF, ,, Cite this Item,"James G. Goll, Amy Schiebel, Jenifer L. Ley","Science Scope, Vol. 29, No. 8, Creative Connections (SUMMER 2006), pp. 57-58 ", [Journal], ,, ,
 Using Science Fiction Movie Scenes to Support Critical Analysis of Science,, Download PDF, ,, Cite this Item,"Michael Barnett, Alan Kafka","Journal of College Science Teaching, Vol. 36, No. 4 (January/February 2007), pp. 31-35", [Journal], , , ,
" REEL TOADS AND IMAGINARY CITIES:PHILIP K. DICK, BLADE RUNNER AND THE CONTEMPORARY SCIENCE FICTION MOVIE", (pp. 43-58), Download PDF, From:, The Blade Runner Experience, Cite this Item, AARON BARLOW, , [Chapter],,Columbia University Press (2005) ,, 
" CONCLUSION:BORN TO BE WILD, AGAIN", (pp. 101-104), Download PDF, From:, The Road Movie, Cite this Item, NEIL ARCHER, , [Chapter],,Columbia University Press (2016) ,, 
 FROM PARODY TO POST-POSTMODERNITY:NEW DIRECTIONS IN THE ROAD MOVIE, (pp. 81-100), Download PDF, From:, The Road Movie, Cite this Item, NEIL ARCHER, , [Chapter],, Columbia University Press (2016) , ,
"""Star of the Second-Best Two-Headed-Transplant Movie of 1971"" ", (pp. 83-87), Download PDF, From:,Bruce Dern, Cite this Item,"BRUCE DERN, Christopher Fryer, Robert Crane",, [Chapter],,University Press of Kentucky (2007) ,,
 William Gibson Interview, (pp. 108-113), Download PDF, From:, Conversations with William Gibson, Cite this Item,"Giuseppe Salza, William Gibson", , [Chapter],, University Press of Mississippi (2014) ,,
 X-Men as J Men: The Jewish Subtext of a Comic Book Movie,, Download PDF, ,, Cite this Item, Lawrence Baron,"Shofar, Vol. 22, No. 1, Special Issue: Jewish Film (FALL 2003), pp. 44-52 ", [Journal], , , ,
" Dynamic Effects among Movie Ratings, Movie Revenues, and Viewer Satisfaction",, Download PDF, ,, Cite this Item,"Sangkil Moon, Paul K. Bergey, Dawn Iacobucci","Journal of Marketing, Vol. 74, No. 1 (Jan., 2010), pp. 108-121 ", [Journal], ,, ,
 UNDEAD AVATARSThe Zombie in Horror Video Games, (pp. 229-245), Download PDF, From:, Vampires and Zombies, Cite this Item, EWAN KIRKLAND, , [Chapter],, University Press of Mississippi (2016) , ,
 A Comparison of the Movie and Non-Movie Goers of the Elementary School,, Download PDF, ,, Cite this Item, Florence Heisler,"The Journal of Educational Research, Vol. 41, No. 7 (Mar., 1948), pp. 541-546", [Journal], , , ,
" National Radio Astronomy Observatory Very Large ArraySocorro, New Mexico", (pp. 93-109), Download PDF, From:, Observatories of the Southwest, Cite this Item,"Douglas Isbell, Stephen E. Strom", , [Chapter], ,University of Arizona Press (2009) ,, 
"""Octavia Butlerís Kindred:ìMy Face Too Was Wet with Tearsî"" ",(pp. 127-146), Download PDF, From:,Twentieth-Century Sentimentalism, Cite this Item,JENNIFER A. WILLIAMSON,, [Chapter],,Rutgers University Press (2014) ,,
 [FOUR Introduction], (pp. 113-115), Download PDF, From:, Liquid Metal, Cite this Item, , , [Chapter],Editor: SEAN REDMOND,Columbia University Press (2007) ,,
"""1950s CINEMA, TELEVISION, AND COMICS:Screen to Page"" ",(pp. 201-242) , Download PDF, From:,Movie Comics, Cite this Item,BLAIR DAVIS,, [Chapter],,Rutgers University Press (2017) ,,
 From Gojira to Goemul:‚ÄúHost‚Äù Cities and ‚ÄúPost‚Äù Histories in East Asian Monster Movies, (pp. 148-176), Download PDF, From:, Movie Migrations, Cite this Item,"HYE SEUNG CHUNG, DAVID SCOTT DIFFRIENT", , [Chapter],, Rutgers University Press (2015) ,,
 The Movie Menace, (pp. 154-179), Download PDF, From:," Go West, Young Women!", Cite this Item, Hilary A. Hallett, , Edition: 1,, University of California Press (2013) , [Chapter],
 Sense-Making: A Case Study Using the Movie Jurassic Park,, Download PDF, ,, Cite this Item, Tony P. Murphy,"Journal of Science Education and Technology, Vol. 5, No. 1 (Mar., 1996), pp. 77-86 ", [Journal], , , ,
 1940s CINEMA AND COMICS:Screen to Page, (pp. 123-164), Download PDF, From:, Movie Comics, Cite this Item, BLAIR DAVIS, , [Chapter],, Rutgers University Press (2017) , ,
 1930s CINEMA AND COMICS:Screen to Page, (pp. 53-87), Download PDF, From:, Movie Comics, Cite this Item, BLAIR DAVIS, , [Chapter],, Rutgers University Press (2017) , ,
" Greenpoint, New York:Giant Oil Spill Spreads beneath Brooklyn Neighborhood", (pp. 247-264), Download PDF, From:, Sacrifice Zones, Cite this Item, Steve Lerner, , [Chapter],,MIT Press (2010) ,, 
 1930s COMICS-TO-FILM ADAPTATIONS, (pp. 13-52), Download PDF, From:, Movie Comics, Cite this Item, BLAIR DAVIS, , [Chapter],, Rutgers University Press (2017) , ,
"""Genesis:From Short Film Visions to Low-Budget Monster Movie"" ",(pp. 29-34) , Download PDF, From:,The Cinema of James Cameron, Cite this Item,James Clarke,, [Chapter],,Columbia University Press (2014) ,,
 LOOKING FOR AMERICA ‚Äì PART TWO:THE LATIN AMERICAN ROAD MOVIE, (pp. 41-58), Download PDF, From:, The Road Movie, Cite this Item, NEIL ARCHER, , [Chapter],, Columbia University Press (2016) , ,
 Road to Autopia:Les Valseuses and Le Plein de super, (pp. 25-38), Download PDF, From:, The French Road Movie, Cite this Item, Neil Archer, , Edition: 1,, Berghahn Books (2013) , [Chapter],
