 Galaxy by Harvic Men's Slim-Fit Cotton Stretch Chinos, C$21.99, , , C$78
 Men's Slim Fit Joggers with Zipper Pockets, C$19.99, , , C$65
 Lyss Loo In Good Company Women's Cold-Shoulder Long-Sleeve Top, C$26.99, , , C$39.37
 Angelina High-Waist Lace-Decorated Briefs (6-Pack), C$28.99, , , C$118
 Men's Checkered Slim-Fit Shirts with Contrasting Trim, C$19.99, , , C$105
 Men's Slim-Fit Short-Sleeve Button-Down Shirts, C$15.99, , , C$48
 Men's Marled French Terry Pullover, C$19.99, , , C$39.50
 Men's Fleece-Lined Zip-Up Hooded Sweatshirt, , Sale Ends 2/10, C$19.99, C$79.99
 Angelina Cotton-Blend One-Size or Queen-Size Mini Skirt Leggings, C$19.99, , , C$53
 Men's Long Sleeve Button-Down Shirts, C$19.99, , , C$48
 Galaxy by Harvic Men's Fleece Zip-Up Hoodies, C$19.99, , , C$34.50
 Form+Focus Women's Seamless Shorts (2-Pack), C$12.99, , , C$50
 Galaxy by Harvic Men's Slim-Fit French Terry Joggers, C$19.99, , , C$60
 Men's Galaxy by Harvic Raglan 3/4 Sleeve Henley Tee, C$14.99, , , C$24
 Wire-Free Seamless Bras with Crisscross Back (6-Pack), C$39.99, , , C$160
 Unisex Bluetooth Beanie with Earphones Speaker and Hands-Free Mic, C$19.99, , , C$39.99
 Women's Zippered High-Waisted Fleece Leggings (4- or 6-Pack), C$29.99, , , C$69.99
 Men's Long Sleeve Crew Neck Waffle Knit Thermal Shirt, C$14.99, , , C$26
 Men's Henley Shirt with Raglan Sleeves, C$16.99, , , C$51
 Men's 100% Egyptian Cotton V-Neck Undershirts (3-Pack), C$19.99, , , C$42
 Men's Striped Training Joggers, C$21.99, , , C$52
 Angelina Women's Fleece-Lined Long Sleeved Thermal Top (3-Pack), , Sale Ends 2/10, C$28.99, C$115
 Men's Oxford Long-Sleeve Dress Shirts, C$19.99, , , C$91
 Women's Fleece-Lined Leggings (2-Pack), C$21.99, , , 
 Lyss Loo Sun-Kissed Shoulders Dress, C$31.99, , , C$56.74
 Women's Compression Stomach Wrap, C$29.99, , , C$49.95
 BUM Women's No-Show Socks (30-Pack), C$29.99, , , C$59
 Angelina Women's Winter Plush-Lined Leggings (6-Pack), C$42.99, , , C$158
 Men's Slim-Fit Button-Down Shirts, C$19.99, , , C$91
 AQS Women's Bikini Panties (3-Pack), C$24.99, , , C$50
 Lyss Loo Women's Truly Madly V-Neck Tunic Top, C$19.99, , , C$41.19
 Galaxy By Harvic Men's Soft Knit Tagless Boxer Briefs (3-Pack), C$16.99, , , C$28.50
 Women's Cotton Padded Sports Bras in Regular and Plus Sizes (6-Pack), C$39.99, , , C$112
 Bally Total Fitness Women's Tummy-Control Leggings, C$29.99, , , C$70
 Galaxy by Harvic Men's Mesh Shorts Mystery Deal, C$13.99, , , C$39.50
 Men's Cotton Twill Cargo Joggers, C$24.99, , , C$78
