 , Diamond Orbital Ring (1/4 ct. t.w.) in Sterling Silver or 18k Rose or Yellow Gold-Plated Sterling Silver, Limited-Time Special, Reg. CAD 275.51,, , , Sale CAD 68.86, BONUS VALUE CAD 344.39,-67, , , 
 , TruMiracle® Diamond Stud Earrings (3/4 ct. t.w.) in 14K White Gold 14K Gold or 14K Rose Gold, BONUS VALUE CAD 344.39," Reg. CAD 1,377.54",, , , Sale CAD 757.65, ,-208, , , 
 , Diamond Stud Earrings in 14k White Gold (1 ct. t.w.), BONUS VALUE CAD 344.39," Reg. CAD 4,132.62",, , ," Sale CAD 2,272.94", ,-2, , , 
 , Diamond Stud Earrings in 14k White Gold (3 ct. t.w.), BONUS VALUE CAD 344.39," Will Be CAD 21,489.62",, , ," Sale CAD 11,819.29", ,-2, , , 
 , Diamond 3-Stone Ring (3 ct. t.w.) in 14k White Gold, Deal of the Day," Orig. CAD 19,541.64",," Was CAD 17,585.54", ," Sale CAD 5,274.59", BONUS VALUE CAD 344.39,-2, , , 
 , Diamond Bracelet in 10k Gold (5 ct. t.w.), Deal of the Day," Orig. CAD 6,887.70",," Was CAD 6,473.06", ," Sale CAD 1,940.94", BONUS VALUE CAD 344.39,-31, , , 
 , Diamond Stud Earrings (3/4 ct. t.w.) in 14k Gold or White Gold, Deal of the Day," Orig. CAD 1,377.54",," Was CAD 1,260.45", , Sale CAD 377.43, BONUS VALUE CAD 344.39,-135, , ,
 ," Diamond Halo Stud Earrings (1/3 ct. t.w.) in 14k White, Yellow or Rose Gold", Limited-Time Special," Reg. CAD 1,377.54",, Was CAD 964.28, , Sale CAD 411.88, FREE GIFT WITH PURCHASE,-85, , , 
 , Diamond Pavé Stud Earrings in Sterling Silver (1/5 ct. t.w.), BONUS VALUE CAD 344.39, Reg. CAD 344.39,, , , Sale CAD 137.75, ,-43, , , 
 , Michael Kors Pavé Disc Bangle Bracelet and Matching Stud Earrings, , Reg. CAD 158.42,, , , Sale CAD 79.21, ,-9, , , 
 , Diamond Swirl Stud Earrings (1/10 ct. t.w.) in 14k Gold and Sterling Silver, BONUS VALUE CAD 344.39, Reg. CAD 344.39,, , , Sale CAD 137.75, ,-24, , , 
 , Diamond Pendant Necklace (1/2 ct. t.w.) in Sterling Silver, Limited-Time Special, Reg. CAD 964.28,, , , Sale CAD 274.13, FREE GIFT WITH PURCHASE,-14, , , 
 Extended Sizes, Diamond Wave Right Hand Ring (1/2 ct. t.w.) in Sterling Silver, Limited-Time Special, Reg. CAD 964.28,, Was CAD 826.52, , Sale CAD 274.13, FREE GIFT WITH PURCHASE,-16, , , 
 , Diamond Stud Earrings (3/8 ct. t.w.) in 14k White Gold or Gold, Deal of the Day, Orig. CAD 860.96,, Was CAD 723.21, , Sale CAD 216.26, BONUS VALUE CAD 344.39,-97, , , 
 ," Men's 14k Gold Ring, Diamond Three Stone (1 ct. t.w.)", BONUS VALUE CAD 344.39," Orig. CAD 3,581.60",, , ," Now CAD 3,166.96", ,-14, , , 
 , 100 Cultured Freshwater Pearl Endless Strand Necklace (7-8mm), BONUS VALUE CAD 344.39, Reg. CAD 688.77,, , , Sale CAD 275.51, ,-190, , , 
 , Diamond Three Stone Engagement Ring (3/4 ct. t.w.) in 14k White Gold, Deal of the Day," Reg. CAD 2,755.08",, , , Sale CAD 825.15, BONUS VALUE CAD 344.39,-5, , , 
