Genesis 5:1,[ From Adam to Noah ],In Context | Full Chapter | Other Translations ,"This is the written account of Adam’s family line. When God created mankind, he made them in the likeness of God."
Genesis 6:9,[ Noah and the Flood ],In Context | Full Chapter | Other Translations ,"This is the account of Noah and his family. Noah was a righteous man, blameless among the people of his time, and he walked faithfully with God."
Genesis 7:1,,In Context | Full Chapter | Other Translations ,"The Lord then said to Noah, “Go into the ark, you and your whole family, because I have found you righteous in this generation."
Genesis 11:10,[ From Shem to Abram ],In Context | Full Chapter | Other Translations ,"This is the account of Shem’s family line. Two years after the flood, when Shem was 100 years old, he became the father of Arphaxad."
Genesis 11:27,[ Abram’s Family ],In Context | Full Chapter | Other Translations ,"This is the account of Terah’s family line. Terah became the father of Abram, Nahor and Haran. And Haran became the father of Lot."
Genesis 16:2,,In Context | Full Chapter | Other Translations ,"so she said to Abram, “The Lord has kept me from having children. Go, sleep with my slave; perhaps I can build a family through her.” Abram agreed to what Sarai said."
Genesis 19:32,,In Context | Full Chapter | Other Translations ,Let’s get our father to drink wine and then sleep with him and preserve our family line through our father.”
Genesis 19:34,,In Context | Full Chapter | Other Translations ,"The next day the older daughter said to the younger, “Last night I slept with my father. Let’s get him to drink wine again tonight, and you go in and sleep with him so we can preserve our family line through our father.”"
Genesis 24:38,,In Context | Full Chapter | Other Translations ,"but go to my father’s family and to my own clan, and get a wife for my son.’"
Genesis 24:40,,In Context | Full Chapter | Other Translations ,"“He replied, ‘The Lord, before whom I have walked faithfully, will send his angel with you and make your journey a success, so that you can get a wife for my son from my own clan and from my father’s family."
Genesis 25:12,[ Ishmael’s Sons ],In Context | Full Chapter | Other Translations ,"This is the account of the family line of Abraham’s son Ishmael, whom Sarah’s slave, Hagar the Egyptian, bore to Abraham."
Genesis 25:19,[ Jacob and Esau ],In Context | Full Chapter | Other Translations ,"This is the account of the family line of Abraham’s son Isaac. Abraham became the father of Isaac,"
Genesis 30:3,,In Context | Full Chapter | Other Translations ,"Then she said, “Here is Bilhah, my servant. Sleep with her so that she can bear children for me and I too can build a family through her.”"
Genesis 34:19,,In Context | Full Chapter | Other Translations ,"The young man, who was the most honored of all his father’s family, lost no time in doing what they said, because he was delighted with Jacob’s daughter."
Genesis 36:1,[ Esau’s Descendants ],In Context | Full Chapter | Other Translations ,"This is the account of the family line of Esau (that is, Edom)."
Genesis 36:9,,In Context | Full Chapter | Other Translations ,This is the account of the family line of Esau the father of the Edomites in the hill country of Seir.
Genesis 36:43,,In Context | Full Chapter | Other Translations ,"Magdiel and Iram. These were the chiefs of Edom, according to their settlements in the land they occupied. This is the family line of Esau, the father of the Edomites."
Genesis 37:2,,In Context | Full Chapter | Other Translations ,"This is the account of Jacob’s family line. Joseph, a young man of seventeen, was tending the flocks with his brothers, the sons of Bilhah and the sons of Zilpah, his father’s wives, and he brought their father a bad report about them."
Genesis 43:7,,In Context | Full Chapter | Other Translations ,"They replied, “The man questioned us closely about ourselves and our family. ‘Is your father still living?’ he asked us. ‘Do you have another brother?’ We simply answered his questions. How were we to know he would say, ‘Bring your brother down here’?”"
Genesis 46:27,,In Context | Full Chapter | Other Translations ,"With the two sons who had been born to Joseph in Egypt, the members of Jacob’s family, which went to Egypt, were seventy in all."
Genesis 50:22,[ The Death of Joseph ],In Context | Full Chapter | Other Translations ,"Joseph stayed in Egypt, along with all his father’s family. He lived a hundred and ten years"
Exodus 1:1,[ The Israelites Oppressed ],In Context | Full Chapter | Other Translations ,"These are the names of the sons of Israel who went to Egypt with Jacob, each with his family:"
Exodus 6:13,[ Family Record of Moses and Aaron ],In Context | Full Chapter | Other Translations ,"Now the Lord spoke to Moses and Aaron about the Israelites and Pharaoh king of Egypt, and he commanded them to bring the Israelites out of Egypt."
Exodus 12:3,,In Context | Full Chapter | Other Translations ,"Tell the whole community of Israel that on the tenth day of this month each man is to take a lamb for his family, one for each household."
Leviticus 6:29,,In Context | Full Chapter | Other Translations ,Any male in a priest’s family may eat it; it is most holy.
