, Iran - state.gov ,, www.state.gov/r/pa/ei/bgn/5314.htm,"Traditionally an agricultural society, by the 1970s, Iran had achieved significant industrialization and economic modernization. However, ... "
, Iran - state.gov ,, www.state.gov/j/drl/rls/irf/2001/5691.htm,"Iranian Society is accustomed to the presence of Iran's pre-Islamic, non-Muslim communities. However, government actions create a threatening ... "
[PDF],IRAN Executive Summary - state.gov,, www.state.gov/documents/organization/193095.pdf,IRAN . Executive Summary . ... State Department also engaged with NGOs and civil society to gain a greater understanding of the status of religious ... 
,,Report on International Religious Freedom, www.state.gov/j/drl/rls/irf/2014/nea/238454.htm,Iran has been a CPC under the International Religious Freedom Act since 1999 for having engaged in or tolerated particularly severe violations of ... 
,Iran (12/01),, www.state.gov/outofdate/bgn/iran/21901.htm,"Iran (12/01) Share. For the most current version of this Note, see Background Notes A-Z. PROFILE. OFFICIAL NAME: Islamic Republic of Iran. Geography "
, Iran (06/07) - state.gov ,, www.state.gov/outofdate/bgn/iran/88394.htm,"Iran is a pluralistic society. Persians are the largest predominant ethnic and cultural group in this country, though many are actually of mixed ..."
,Iran (07/94),, www.state.gov/outofdate/bgn/iran/6673.htm,"Islamic Republic of Iran Geography Area: 1.6 million sq ... Traditionally an agricultural society, by the 1970s, Iran had achieved significant ... "
,Iran (03/08),, www.state.gov/outofdate/bgn/iran/102970.htm,"Iran (03/08) Share. For the most current version of this Note, see Background Notes A-Z. PROFILE. OFFICIAL NAME: Islamic Republic of Iran. Geography "
, Iran - state.gov ,, www.state.gov/j/drl/rls/irf/2013/nea/222289.htm,... the United States has designated Iran as a “Country of ... The U.S. government also engaged with NGOs and civil society to gain a greater ...
,"Twitter Briefing - January 13, 2012",, www.state.gov/r/pa/ode/releases/180708.htm,"Welcome to our second State Department Twitter briefing, ... continue to stand with the Iranian people in their search for a freer, more just Iranian ... "
,Remarks to the Press - state.gov,, www.state.gov/r/pa/prs/ps/2010/02/137308.htm,"QUESTION: With (inaudible) the way forward on Iran, I mean, ... which we think is playing an increasing role in Iranian society. So it’s -- ... "
, Iran - state.gov ,, www.state.gov/j/drl/rls/irf/2010_5/168264.htm,The United States has designated Iran a CPC since ... several religious and human rights groups about the resurgence of the once banned Hojjatiyeh Soc ... 
,,2010 International Narcotics Control Strategy Report (INCSR), www.state.gov/j/inl/rls/nrcrpt/2010/vol1/137197.htm,Iranian DTOs smuggle large amounts of ... plus increased efforts to reintegrate addicts into Iranian society after treatment are a relatively new ... 
,,Country Reports on Terrorism 2010 Chapter 6. Foreign ..., www.state.gov/j/ct/rls/crt/2010/170264.htm,aka MEK; MKO; Mujahadin-e Khalq; Muslim Iranian Students’ Society; National Council of Resistance; NCR; Organization of the People’s Holy Warriors of ... 
,"Middle East Digest - December 22, 2009",, www.state.gov/r/pa/ei/mideastdigest/133958.htm,"Middle East Digest - December 22, 2009. Share. ... as part of their regular consultation on developments related to Iran. Their last meeting was in ... "
,Answering the Iranian People's Call for Human Rights,, www.state.gov/p/io/rls/othr/160655.htm,"MS. FATHI: Well, Iranian society is a very dynamic society. Even when people get very depressed, they still have their indoor circle of friends. "
,,Chapter 6 -- Terrorist Organizations, www.state.gov/j/ct/rls/crt/2006/82738.htm,Iran has exploited Al-Aqsa's lack of leadership and funds by providing aid and exerting influence ... Muslim Iranian Students' Society; National ... 
, Iran - state.gov ,, www.state.gov/j/drl/rls/irf/2003/24449.htm,"The Constitution declares the ""official religion of Iran is Islam and the doctrine ... has accustomed the population to the participation of ... "
, Iran - state.gov ,, www.state.gov/j/drl/rls/hrrpt/2007/100595.htm,"In March the revolutionary court reportedly shut down the offices of three prominent civil society and women's rights NGOs, the Iran Civil Society ... "
[PDF] ,IRAN - state.gov,, www.state.gov/documents/organization/171734.pdf,"IRAN The constitution states that Islam is the official state religion, ... discrimination, and government actions continued to support elements of so ... "
