Remarks by Vice President Mike Pence to the Federalist Society,, www.whitehouse.gov/the-press-office/2017/02/04/remarks-vice-president-mike-pence-federalist-society,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals That...President Mike Pence to the Federalist Society Congress Hall ... 
,Lyndon B. Johnson | whitehouse.gov, www.whitehouse.gov/1600/presidents/lyndonbjohnson,"LBJ's vision was to create a ""Great Society"" for the American people. "
,White House Fellows | whitehouse.gov, www.whitehouse.gov/participate/fellows,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...personal involvement in the leadership of society. It is ... 
,Gerald R. Ford | whitehouse.gov, www.whitehouse.gov/1600/presidents/geraldford,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...of solving the problems of American society and the economy. ... 
,John F. Kennedy | whitehouse.gov, www.whitehouse.gov/1600/presidents/johnfkennedy,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...central role of the arts in a vital society. He wished ... 
,"Bipartisan Praise For The ""Impossible To Oppose"" Judge Neil Gorsuch", www.whitehouse.gov/the-press-office/2017/01/31/bipartisan-praise-impossible-oppose-judge-neil-gorsuch,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals That...… “An Exceptional Jurist” Above The Law’s David Lat On Judge ... 
,President Donald J. Trump Proclaims February As National African American History Month, www.whitehouse.gov/the-press-office/2017/02/02/president-donald-j-trump-proclaims-february-nationa,"Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals That...to make are an integral part of our society, and the history of ... "
,Remarks by President Trump in Meeting with SCOTUS Groups, www.whitehouse.gov/the-press-office/2017/02/01/remarks-president-trump-meeting-scotus-groups,"Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals That...education. Columbia with honors, Harvard Law School with ... "
,Dolley Payne Todd Madison | whitehouse.gov, www.whitehouse.gov/1600/first-ladies/dolleymadison,"Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...New Garden Monthly Meeting of the Society of Friends, in ... "
,March for Life Remarks of Vice President Pence - As Prepared for Delivery, www.whitehouse.gov/the-press-office/2017/01/27/march-life-remarks-vice-president-pence-prepared-,"Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...know, I have long believed that a society can be judged by ... "
,President Trump's Second Week of Action, www.whitehouse.gov/the-press-office/2017/02/04/president-trumps-second-week-action,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals That...Cabinet sworn in. 1: Bill signed into law 1: Meeting with cyber ... 
,"Memorandum: Interim Guidance Implementing Section 2 of the Executive Order of January 30, 2017, Titled “Reducing Regulation and Controlling Regulatory Costs”", www.whitehouse.gov/the-press-office/2017/02/02/interim-guidance-implementing-section-2-executive-or,"Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals That...requirements: ”Unless prohibited by law, whenever an executive ... "
,Abigail Smith Adams | whitehouse.gov, www.whitehouse.gov/1600/first-ladies/abigailadams,"Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...Congregational ministers, leaders in a society that held its ... "
,Caroline Lavinia Scott Harrison | whitehouse.gov, www.whitehouse.gov/1600/first-ladies/carolineharrison,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...1890 she helped found the National Society of the Daughters ... 
,Abigail Powers Fillmore | whitehouse.gov, www.whitehouse.gov/1600/first-ladies/abigailfillmore,"Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...luxury, Abigail learned the ways of society as the wife of a ... "
,Claudia Taylor (Lady Bird) Johnson | whitehouse.gov, www.whitehouse.gov/1600/first-ladies/ladybirdjohnson,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...contributions to the President's Great Society ... 
,"Evening Communications Briefing - January 27, 2017", www.whitehouse.gov/the-press-office/2017/01/28/evening-communications-briefing-january-27-2017,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...head of state. 1: Reception to honor law enforcement and ... 
,EXECUTIVE ORDER: PROTECTING THE NATION FROM FOREIGN TERRORIST ENTRY INTO THE UNITED STATES, www.whitehouse.gov/the-press-office/2017/01/27/executive-order-protecting-nation-foreign-terrorist-entr,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...as President by the Constitution and laws of the United ... 
,Remarks by President Trump at National Prayer Breakfast, www.whitehouse.gov/the-press-office/2017/02/02/remarks-president-trump-national-prayer-breakfast,Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals That...America must forever remain a tolerant society where all faiths ... 
,Hillary Rodham Clinton | whitehouse.gov, www.whitehouse.gov/1600/first-ladies/hillaryclinton,"Military Strong Again Standing Up For Our Law Enforcement Community Trade Deals Working...was a member of the National Honor Society, and a student ... "
