 Montreal Canadiens - Edmonton Oilers, 05/02/2017 19:00,Ice Hockey - NHL
 Carolina Hurricanes - Edmonton Oilers,04/02/2017 01:30,Ice Hockey - NHL
 Swiss NUSF President elected in EC of Swiss Olympic, 28/11/2016 11:08,University Sports
 National Hockey League roundup, 12/02/2017 23:54,Ice Hockey
 Highlights of Sunday's NHL games, 06/02/2017 00:41,Ice Hockey
" ""Canada takes deep breath, steps into World Cup spotlight", 05/06/2015 01:05,Football
 Durban and Edmonton to bid for 2022, 31/03/2014 23:12,All Sports
 Highlights of Thursday's NHL games, 27/01/2017 07:39, Ice Hockey
 FEATURE-Krueger talks hockey but thinks soccer, 22/09/2016 20:02,Football
 Highlights of Wednesday's NHL games, 26/01/2017 07:38,Ice Hockey
 Highlights of Friday's NHL games, 04/02/2017 07:18,Ice Hockey
 Highlights of Tuesday's NHL games, 01/02/2017 08:05,Ice Hockey
 National Hockey League roundup, 05/02/2017 02:30,Ice Hockey
 Highlights of Saturday's NHL games,22/01/2017 07:52,Ice Hockey
 Highlights of Sunday's NHL games,12/12/2016 07:22,Ice Hockey
 The Spin with Anne Gripper, 26/09/2014 02:35,Cycling
 Highlights from Thursday's NHL games, 30/12/2016 06:16,Ice Hockey
 Highlights of Wednesday's NHL games, 22/12/2016 09:21,Ice Hockey
 Highlights from Saturday's NHL games,14/01/2017 06:53,Ice Hockey
 National Hockey League roundup,25/01/2017 02:36,Ice Hockey
 National Hockey League roundup,31/12/2016 00:26,Ice Hockey
 Highlights of Friday's NHL games,10/12/2016 07:10,Ice Hockey
 Highlights from Saturday's NHL games, 01/01/2017 07:47,Ice Hockey
 Highlights of Wednesday's NHL games, 13/10/2016 07:48,Ice Hockey
 RPT-Highlights from Friday's NHL games, 14/01/2017 07:43,Ice Hockey
 Highlights of Monday's NHL games, 20/12/2016 06:50,Ice Hockey
 Highlights of Saturday's NHL games, 18/12/2016 07:18,Ice Hockey
 Gwangju given green light ahead of 2015 event,09/04/2015 19:47,University Sports - Summer Universiade 
 Highlights from Sunday's NHL games, 09/11/2015 05:09,Ice Hockey
" ""Red Wings beat Rangers in overtime, Sabres edge Hurricanes", 13/03/2016 08:51,Ice Hockey - NHL
 National Hockey League roundup,08/12/2016 00:57,Ice Hockey
 Highlights of Tuesday's NHL games,07/12/2016 06:37,Ice Hockey
 Highlights of Sunday's NHL games,05/12/2016 09:05,Ice Hockey
 Highlights of Thursday's National Hockey League games,04/11/2016 06:51,Ice Hockey
 Highlights from Friday's NHL games,24/12/2016 08:13,Ice Hockey
 Highlights of Thursday's National Hockey League games,01/01/2016 07:09,Ice Hockey
 Highlights of Tuesday's National Hockey League games,02/11/2016 06:59,Ice Hockey
 Highlights of Thursday's NHL games,02/12/2016 07:22,Ice Hockey
 National Hockey League roundup,02/12/2016 02:22,Ice Hockey
 National Hockey League roundup,01/12/2016 02:11,Ice Hockey
