 West Ham accused of sexism by their own ladies' club chairman,03/10/2016 16:05,Football - Premier League
 Former cycling coach appointed as British Ski and Snowboard performance director,12/10/2016 10:50,Alpine Skiing
 Football Association reviewing complaint from West Ham ladies team,03/10/2016 19:07,Football
 Tyson Fury's trainer claims 'it's a witch-hunt' against controversial boxer,26/09/2016 12:08,Boxing
 Wayne Rooney 'keeps getting picked only because United want to sell him',19/09/2016 12:17,Football - Premier League
 Referees need help but video technology brings its own problems,04/01/2017 18:37,Football - Premier League
 Chelsea unchanged as they hunt 12-point cushion,12/02/2017 13:42,Football - Premier League
 Australia's centre shortage is Hunt's opportunity,27/05/2016 08:41,Rugby
" ""Higuain fires Juventus past Cagliari, Roma beat Crotone",13/02/2017 00:07,Football - Serie A
 Trump's golf buddy Norman pitches Australia to head of diplomatic queue,17/11/2016 06:32,Golf
 Mallya: 'Witch hunt' no threat to Force India,20/07/2016 13:56,Formula 1
 Cyprien strike lifts Nice level with PSG,08/02/2017 23:30,Football
 Cup exit may be blessing in disguise for title-chasing Real,30/01/2017 15:13,Football
" ""Fox hunt has begun, City skipper Kompany warns Leicester",02/03/2016 08:33,Football
 Southend manager Phil Brown heaps praise on striker Noel Hunt,19/12/2015 00:13,Football
 Brighton hit Burton for four,11/02/2017 21:31,Football - Championship
 Sheffield Wednesday strengthen position in Championship top six,19/03/2016 18:29,Football
 Noel Hunt at the double in Southend win,18/12/2015 23:33,Football
 Soccer-Barca to get foretaste of King's Cup final at Alaves,09/02/2017 16:30,Football
 Owls end Hunt for defender,04/07/2015 16:44,Football
