time=58293ms


BODY: left=0,top=0,right=1423,bottom=8621; DOM="[object HTMLBodyElement]"

DIV: left=0,top=0,right=1423,bottom=8621; DOM="[object HTMLDivElement]"
DIV: left=1131,top=789,right=1423,bottom=849; DOM="[object HTMLDivElement]"

DIV: left=0,top=0,right=1423,bottom=8621; DOM="[object HTMLDivElement]"

DIV: left=0,top=0,right=1423,bottom=131; DOM="[object HTMLDivElement]"

HEADER: left=0,top=0,right=1423,bottom=131; DOM="[object HTMLElement]"

DIV: left=32,top=12,right=243,bottom=50; DOM="[object HTMLDivElement]"
DIV: left=243,top=12,right=749,bottom=42; DOM="[object HTMLDivElement]"

DIV: left=32,top=12,right=243,bottom=50; DOM="[object HTMLDivElement]"

DIV: left=243,top=12,right=749,bottom=42; DOM="[object HTMLDivElement]"

LI: left=243,top=12,right=393,bottom=42; DOM="[object HTMLLIElement]"

LI: left=403,top=12,right=582,bottom=42; DOM="[object HTMLLIElement]"

LI: left=592,top=12,right=740,bottom=42; DOM="[object HTMLLIElement]"

DIV: left=1108,top=10,right=1391,bottom=35; DOM="[object HTMLDivElement]"

DIV: left=1108,top=10,right=1391,bottom=35; DOM="[object HTMLDivElement]"

UL: left=1108,top=20,right=1391,bottom=35; DOM="[object HTMLUListElement]"

LI: left=1108,top=20,right=1173,bottom=35; DOM="[object HTMLLIElement]"

LI: left=1188,top=20,right=1300,bottom=35; DOM="[object HTMLLIElement]"

LI: left=1315,top=20,right=1391,bottom=35; DOM="[object HTMLLIElement]"

DIV: left=32,top=50,right=1391,bottom=131; DOM="[object HTMLDivElement]"

DIV: left=32,top=50,right=262,bottom=59; DOM="[object HTMLDivElement]"

H3: left=32,top=59,right=228,bottom=101; DOM="[object HTMLHeadingElement]"

DIV: left=32,top=50,right=1391,bottom=123; DOM="[object HTMLDivElement]"

DIV: left=248,top=59,right=992,bottom=123; DOM="[object HTMLDivElement]"

DIV: left=248,top=59,right=872,bottom=99; DOM="[object HTMLDivElement]"

SPAN: left=268,top=70,right=321,bottom=85; DOM="[object HTMLSpanElement]"

DIV: left=362,top=59,right=868,bottom=95; DOM="[object HTMLDivElement]"
INPUT: left=867,top=57,right=987,bottom=97; DOM="[object HTMLInputElement]"

DIV: left=362,top=59,right=868,bottom=95; DOM="[object HTMLDivElement]"

DIV: left=248,top=99,right=992,bottom=123; DOM="[object HTMLDivElement]"

DL: left=240,top=99,right=1000,bottom=123; DOM="[object HTMLDListElement]"

DD: left=346,top=107,right=1001,bottom=139; DOM="[object HTMLElement]"

DIV: left=1009,top=50,right=1391,bottom=84; DOM="[object HTMLDivElement]"

DIV: left=1009,top=56,right=1162,bottom=109; DOM="[object HTMLDivElement]"

DIV: left=1009,top=56,right=1158,bottom=103; DOM="[object HTMLDivElement]"

DIV: left=1009,top=62,right=1148,bottom=81; DOM="[object HTMLDivElement]"

SPAN: left=1052,top=66,right=1092,bottom=79; DOM="[object HTMLSpanElement]"

SPAN: left=1098,top=66,right=1148,bottom=79; DOM="[object HTMLSpanElement]"

