High quality cr80 id business plastic card variable data," Shenzhen ZDCARD Tech Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,US $0.1-1 / Piece,"Place of Origin: CN;GUA,Guangdong China (Mainland","Brand Name: ZDcard,zdcard plastic card",54 Transactions(6 months),Response Rate,500 Pieces (Min. Order) ,Model Number: plastic card,"100,000+",83.70%,Thickness: 0.76 or costom,"Application: Club, visiting, promotion, advertising",Size: CR80 85.5*54mm/customized,6 Photos,Add to Compare,Contact Supplier,Leave Messages,Sponsored Listing,
"2D bar code data collector windows pos system with built-in bluetooth printer ,lottery pos terminal for business",Shenzhen Hao Dexin Electronic Technolo,China (Mainland),,,US $199.99-299.99 / Set ,Model Number: Gc026C,Brand Name: HAODEXIN,,Response Rate,1 Set (Min. Order),"Place of Origin: Guangdong,China (Mainland)",,78.70%,SDK: Microsoft windows CE 6.0 R3,2D code recognition software embedding: Based on ,CPU basic frequency: 667MHz (Samsung ARM11) S3,,Add to Compare,Contact Supplier,Leave Messages,Sponsored Listing,
Business Partner Wanted Data Entry Work Home Mid Back Mesh Desk Chair Old Fashioned Office Chairs," Foshan Aoda Furniture Co., Ltd.",China (Mainland), Trade Assurance,,US $19.9-45 / Piece,Specific Use: Office Chair,General Use: Commercial Furniture,,Response Rate,5 Pieces (Min. Order),"Place of Origin: Guangdong,China (Mainland)",,86.70%,Model Number: SK-6002H,Material: Mesh,Brand Name: AODA,3 Photos,Add to Compare,Contact Supplier,Chat Now!,Sponsored Listing,
Business Card Scanner Bluetooth RFID Data Collection Android Tablet PDA,"Shenzhen Rakinda Technologies Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,US $220.0-230.0 / Piece | Buy Now,"Place of Origin: Guangdong,China (Mainland)",Model Number: LVB01A,,Response Rate,1 Piece (Min. Order),Products Status: Stock,,90.00%,Brand Name: Rakinda,Scan Speed: 300 Scans/sec,Optical Resolution: 2592x1944,6 Photos,Add to Compare,Contact Supplier,Chat Now!,Sponsored Listing,
"High technology coffee roaster with omron data logger used in coffee roasting lab ,cafe and coffee roasting business",Zhengzhou Haoran Machinery Equipme,China (Mainland), Trade Assurance,Transaction Level: ,US $869-6251 / Set,"Certification: CE,UL,UR",Model Number: HR-3A,10 Transactions(6 months),Response Rate,1 Set (Min. Order) ,Housing Material: Stainless Steel,"40,000+",87.50%,Brand Name: HR,Power (W): 790,"Place of Origin: Henan,China (Mainland)",3 Photos,Add to Compare,Contact Supplier,Chat Now!,Sponsored Listing,
business industrial mobile data terminal android PDA IP65 for Logistics & inventory,Shanghai Lanbern International Trade ,China (Mainland), Trade Assurance,Transaction Level: ,US $350.0-455.0 / Set,"Color: Black,White","Place of Origin: Zhejiang,China (Mainland)",1 Transaction(6 months),Response Rate,1 Set (Min. Order) ,Weight: 286g,100+,52.60%,Memory Capacity: 256MB,Brand Name: lanbern,Model Number: m80,3 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
"High quality small business mobile data terminal 3501,inventory handheld PDA gprs pos terminal,wifi data", Shenzhen Banana Electronics Limited,China (Mainland), Trade Assurance,Transaction Level: ,US $0-555 / Piece ,Color: Black,"Place of Origin: Guangdong,China (Mainland)",1 Transaction(6 months),Response Rate,1 Piece (Min. Order) ,Memory Capacity: 512MB,900+,88.20%,Screen Size: 5 inch,Brand Name: ANBANANA,Model Number: AN920,2 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
"High quality small business mobile data terminal 3501,inventory handheld PDA gprs pos terminal,wifi data"," Shenzhen Qunsuo Technology Co., Ltd.",China (Mainland),,Transaction Level: ,US $145-280 / Piece,Color: Black,Processor Type: MTK,11 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,"Place of Origin: Guangdong,China (Mainland)","310,000+",88.00%,"Memory Capacity: RAM512MB,ROM4GB,512MB (RA",Screen Size: 3.5inch,Brand Name: QS,6 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
Changzhou data center high density laminate or vinyl business projection screen,Changzhou Majet Decorative Materials C,China (Mainland), Trade Assurance,Transaction Level: ,US $12.9-19.9 / Square ,Metal Type: Steel,Type: Anti-Static Flooring,1 Transaction(6 months),Response Rate,100 Pieces (Min. Order) ,"Material: Metal,SPCC, Light Cement, ST14",200+,90.90%,Model Number: MJT,"Place of Origin: Jiangsu,China (Mainland)",Brand Name: MAJET,,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
business industrial mobile data terminal android PDA IP65 for Logistics & inventory management," China Cilico Microelectronics Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,US $435-600 / Set,Color: Black,Style: Handheld Computer,6 Transactions(6 months),Response Rate,1 Set (Min. Order) ,"Place of Origin: Guangdong,China (Mainland)","3,000+",40.60%,Operating System: Android 4.2.2,Weight: 410 g,Brand Name: CILICO,6 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
High-performance 10GbE L2/L3 data center switch for Juniper QFX3500-48S4Q-ACR, Shenzhen Union Server Technology Lim,China (Mainland), Trade Assurance,,,Communication Mode: Full-Duplex,Model Number: QFX3500-48S4Q-ACR,,Response Rate,1 Piece (Min. Order) ,Products Status: Stock,,85.10%,Place of Origin: CN,Certification: UL CE,,2 Photos,Add to Compare,Contact Supplier,I'm Away,,
