New hybrid car for rental business,"Shandong Zhufeng Vehicle Co., Ltd.",China (Mainland),,,US $0-2550 / Unit ,Year: 2015,Condition: New,,Response Rate,1 Unit (Min. Order) ,Type: PickUp,,51.60%,Month: 11,Brand Name: ZF1360,Made In: China,,Add to Compare,Contact Supplier,Leave Messages,,
MZ59 small rental business battery bike ride-sharing petting zoo horse toy for kids, Foshan Shunde Mingze Hardware Electro ,China (Mainland), Trade Assurance,Transaction Level: ,US $1-380 / Piece ,Material: Plush +steel,Type: Car,,Response Rate,1 Piece (Min. Order) ,Power: Battery,,93.10%,Model Number: MZ59,"Place of Origin: Guangdong,China (Mainland)",Brand Name: MINGZE,,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
Hot rental business amusement rides shopping mall swing car for sale, Zhengzhou Jinshan Amusement Equipme,China (Mainland), Trade Assurance,Transaction Level: ,US $1000-1300 / Set ,Model Number: JS-LAW,Brand Name: JINSHAN,8 Transactions(6 months),Response Rate,1 Set (Min. Order),Type: Swing,"50,000+",90.60%,"Place of Origin: Henan,China (Mainland)",Material: stainless steel mainly,Color: customized,6 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
Vehicle tracking solution fleet tracking device gps locator device for car rental business,Guangzhou Zhuo Kai Electronic Technolog,China (Mainland),Transaction Level: ,,US $0.1-1 / Piece ,Warranty: 12 Months,Screen Size: No Screen,,Response Rate,1 Piece (Min. Order) ,Use: Automotive,,68.40%,Type: Gps Tracker,Function: gps tracker,"Place of Origin: Guangdong,China (Mainland)",6 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
SP125-DL Shipao Rental business atv car,Chongqing Shipao ATV Company Limite,China (Mainland), Trade Assurance,Transaction Level: ,US $649.0-749.0 / Unit ,Transmission Type: Semi-Automatic,Engine Type: 4 Stroke,1 Transaction(6 months),Response Rate,1 Unit (Min. Order) ,Fuel: Gas / Diesel,900+,87.90%,Transmission System: Chain Drive,Model Number: SP125-DL,Brand Name: SHIPAO,5 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
GM59 SiBo start a party rental business battery animal toy car for kids amusement, Guangzhou Sibo Electronic Technology C,China (Mainland),Transaction Level: ,,US $1-600 / Piece,Model Number: GM59 kids racing go kart,Type: Coin Pusher,16 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Brand Name: sibo animal scooters,"360,000+",88.20%,"Place of Origin: Guangdong,China (Mainland)",material: plush,Certificate: CE certificate,5 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
2017 hot model kids fun rental business modern amusement electric amusement park bumper cars for sale new christmas," Shanghai Qiqu Fun Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,US $1400-1600 / Piece ,"Model Number: QQIBC,QQBC001","Brand Name: QQB-Bumper Car,QIQUFUN for sale",40 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,"Place of Origin: Shanghai,China (Mainland)","110,000+",90.40%,Material: Fiber Reinforce Plastic,Size: Dia 1.8m for one adult & one kid,Color: red blue pink yellow green and etc for amusemen,6 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
Commercial rental business 8 years life amusement park drift car," Zhengzhou Limeiqi Play Equipment Co., L",China (Mainland),Transaction Level: ,,US $9988-18956 / Set,Model Number: F21-7,Brand Name: Limeiqi,10 Transactions(6 months),Response Rate,1 Set (Min. Order) ,Type: Meniscus drift car,"920,000+",83.30%,"Place of Origin: Henan,China (Mainland)","Material: Fiber reinforce plastic, stainless steel",Color: Up to you,,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
 Car Rental Business ,kenschoolfield Car rental,China (Mainland),,,,Place of Origin: GH,,,,,,,,,,,,Add to Compare,Contact Supplier,Leave Messages,,
Mobile Truck/Trailer/Car Moving Advertising Led Display For Sale,"Fujian Hoozoe Optoelectronic Co., Ltd.",China (Mainland),,,US $875.0 / Square Meters ,Screen Dimension: Customized Size,Model Number: PH5,,Response Rate,10 Square Meters (Min. Order) ,Pixels: 5mm,,78.60%,Display Function: Video,Brand Name: OEM ODM,Usage: Outdoor rental business,6 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
"bumper car inflatable arena,spin bumper cars, colorful new bumper boat for adults",Zhengzhou Winsun Amusement Equipmen,China (Mainland), Trade Assurance,Transaction Level: ,US $100-289 / Piece ,Plastic Type: PVC,Material: Plastic,11 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Style: Inflatable Toy,"30,000+",87.70%,Brand Name: WINSUN,Type: water roller ball,"Place of Origin: Henan,China (Mainland)",2 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
2015 yellow hot sale inflatable toy car model," Guangzhou Sayok Outdoor Product Co., Lt",China (Mainland), Trade Assurance,Transaction Level: ,,"Type: inflatable model,Inflatable modle",Size: H2m-10m or customized,54 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Model Number: FF-4356,"300,000+",94.40%,"Brand Name: Sayok,SAYOK","Place of Origin: Guangdong,China (Mainland)","Usage: advertising,commercial,rental business",,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
inflatable colorful car show dry bouncy slide soft road play equipment for sale,Guangzhou Channal Inflatable Carnie Fac,China (Mainland), Trade Assurance,Transaction Level: ,US $500-2500 / Piece ,"Material: PVC,0.55mm PVC tarpaulin","Type: Slide,inflatable car racing cheering slide for sale",23 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Model Number: CHSL153,"180,000+",89.10%,Brand Name: Channal or OEM,"Place of Origin: Guangdong,China (Mainland)",Size: customized,4 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
Car tracking device canada, Shenzhen Eelink Communication Techno,China (Mainland),,,,Screen Size: no screen,Use: Automotive,,Response Rate,100 Pieces (Min. Order) ,Model Number: TK116,,23.50%,Brand Name: eelink,Type: Gps Tracker,"Function: tracking position, tracking history, cut off fuel, cut ",,Add to Compare,Contact Supplier,Leave Messages,,
2013 new product jack inflatable advertising car," Guangzhou QO Trade Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,,Type: inflatable cartoon,Size: 1-15 M,1 Transaction(6 months),Response Rate,1 Piece (Min. Order) ,Model Number: FC-31,"2,000+",58.20%,Brand Name: QO,"Place of Origin: Guangdong,China (Mainland)",Color: as the pic or as you like,,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
"Durable and car track,inflatable track ,track for bumper cars"," Zhengzhou Broad Inflatables Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,US $400-1200 / Piece,"Material: PVC,Best 0.55mm thickness PLOTO PVC tarpa",Type: inflatable car track,5 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Model Number: BC-inflatable track,"4,000+",89.70%,Brand Name: CBI,"Place of Origin: Henan,China (Mainland)","Style: Different themes: pirate ship, jungle, animal, Car",,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
competitive price large inflatable car,"Luoyang Gute Amusement Equipment Co., Ltd",China (Mainland),Transaction Level: ,,US $200-800 / Set ,"Material: PVC,0.55mm PVC tarpaulin",Type: Castle,,Response Rate,1 Set (Min. Order),Model Number: GTIB001,,77.40%,Brand Name: Gutefun,"Place of Origin: Henan,China (Mainland)",Size: 4.5m Lx4.5m Wx4.5mH & Customerized size,,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
4 passenger electric fuel car for rental business,"Shandong Zhufeng Vehicle Co., Ltd.",China (Mainland),,,US $0-2550 / Unit,Steering: Left,Condition: New,,Response Rate,1 Unit (Min. Order) ,Model: pick up,,51.60%,Month: 11,Made In: China,Fuel: Electric,2 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
New smart electric hybrid car for rental business," Shandong Zhufeng Vehicle Co., Ltd.",China (Mainland),,,US $0-2550 / Unit ,Year: 2015,"Place of Origin: Shandong,China (Mainland)",,Response Rate,1 Unit (Min. Order) ,Gear Box: Automatic,,51.60%,Drive: RWD,Brand Name: ZF1360,Fuel: Electric,2 Photos,Add to Compare,Contact Supplier,Leave Messages,,
long running distance electrical car for rental business,"Shandong Zhufeng Vehicle Co., Ltd.",China (Mainland),,,US $0-2550 / Unit,"Place of Origin: Shandong,China (Mainland)",Type: PickUp,,Response Rate,1 Unit (Min. Order) ,Model: pick up,,51.60%,Drive: RWD,Brand Name: ZF1360,Fuel: Electric,,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
