Online Access Agreement – Wells Fargo,(Personal),https://www.wellsfargo.com/online-banking/online-access-agreement/,"This online access agreement governs your use of Wells Fargo Online, Wells Fargo Business Online, and Wells Fargo Advisors online services. "
Xero Accounting Software – Wells Fargo,(Personal),https://www.wellsfargo.com/biz/xero/,"Use Xero accounting software to manage invoicing, bank reconciliation, bookkeeping and more. "
Quicken and QuickBooks Online Banking Fees - Wells Fargo,(Personal),https://www.wellsfargo.com/online-banking/software/fees,Learn about fees for Online Banking & Bill Pay with Quicken or Quickbooks by logging into your Wells Fargo Online&reg; Banking account. 
Financial Management Software,(Small Business),https://www.wellsfargo.com/biz/online-banking/software/,Integrate your business banking through your financial software. 
Quicken,(Small Business),https://www.wellsfargo.com/biz/online-banking/software/quicken/,Want to directly reconcile your accounts and transactions with Quicken? Do your online business banking and bill pay quickly and easily through Quicken at Wells Fargo. 
Online Banking Fees - Internet Banking Fees - Wells Fargo,(Personal),https://www.wellsfargo.com/online-banking/schedule,"Wells Fargo customers can access Wells Fargo Online® for free. However, some online services have additional fees. "
QuickBooks - Small Business Accounting Software - Wells Fargo,(Small Business),https://www.wellsfargo.com/exit/quickbooks,"Organize small business finances with QuickBooks and Wells Fargo Small Business online banking. Manage expenses, create invoices and more. Save up to 35% "
Business Services –Wells Fargo Business Online Tour,(Small Business),https://www.wellsfargo.com/biz/online-banking/tour/business-services,Wells Fargo Small Business Solutions help you make and receive payments and manage your books. 
Using technology to boost productivity – Wells Fargo , (Financial Education),https://www.wellsfargo.com/financial-education/small-business/technology,Learn how these tools can boost your business' productivity. 
Wells Fargo Capital Finance – Wells Fargo Commercial,(Commercial),https://www.wellsfargo.com/com/financing/capital-finance/,"We offer asset-based lending, junior and senior secured financing, factoring, and financing for domestic and international trade."
