pypa/virtualenv,Virtual Python Environment builder ,Python ,"1,979",507,Updated 13 days ago
Matt-Esch/virtual-dom,A Virtual DOM and diffing algorithm,JavaScript,"7,272",459,"Updated on Dec 16, 2016"
asLody/VirtualApp,An open source implementation of MultiAccount.(Support 4.0 - N). ,Java ,"1,537",429,Updated a day ago
RoverWire/virtualhost,Bash Script to easy create or delete apache virtual hosts on ubuntu ,Shell ,422,187,"Updated on Dec 25, 2016"
virtualagc/virtualagc,Virtual Apollo Guidance Computer (AGC) software , Assembly ,384,93,Updated 2 hours ago
adambrenecki/virtualfish,"A Fish wrapper for Ian Bicking's virtualenv, based loosely on Doug Hellman's virtualenvwrapper for Bash. ",Shell ,425,75,Updated 10 days ago
mitchellh/virtualbox,[ABANDONED] Create and modify virtual machines in VirtualBox using pure ruby. ,Ruby ,230,52,"Updated on Dec 22, 2011"
bvaughn/react-virtualized,React components for efficiently rendering large lists and tabular data ,JavaScript ,"4,464",376,Updated 2 hours ago
VirtualGL/virtualgl,Main VirtualGL repository ,C++ ,108,19,Updated 3 days ago
chaoshxxu/virtual-judge,Holding contests using problems from other OJs!!,,96,43,"Updated on Aug 15, 2016"
