Anthony Watts,on,Watts Up With That?,wattsupwiththat.com,/2017/01/03/2016-edges-1998-as-warmest-year-in-satellite-record-by-0-02c/,,,2016 edges 1998 as warmest year in satellite record - by 0.02°C,"Global Temperature Report: December 2016 Global climate trend since Nov. 16, 1978: +0.12 C per decade December temperatures (preliminary) Global composite temp.: +0.24 C (about 0.43 degrees Fahrenheit) above 30-year average for December. Northern … ",climate data,Climate News,,,,3-Jan-17,Report spam
Maja (Business in Rhyme),,,businessinrhyme.com,/2016/10/17/6-tips-to-make-the-most-of-your-poetry-practice/,,,6 tips to make the most of your poetry practice,…  of having them in separate poetry collections or computer files in this way I can refer to them in one place whenever I like. Writing … ,"Write, create, innovate!",Business in Rhyme,Poetry,writing,Creative Writing,17-Oct-16,Report spam
Captivated~By~Fantasy,on,Captivated~by~Fantasy,shannonpaigewaters.com,/2016/12/23/oops-more-books/,Oops (more books),,,"I Was Here by Gayle Forman When her best friend Meg drinks a bottle of industrial-strength cleaner alone in a motel room, Cody is understandably shocked and devastated. She and Meg shared everything—so how was there no warning? But when Cody tr …",Books,Gayle Forman,Reading,writing,Blogging,23-Dec-16,Report spam
Timothy Price,on,Off Center & Not Even,photoofthedayetc,.wordpress.com/2017/01/25/its-alive/,It's Alive,,,"After painting the office, and between sewer sleuthing, we have been going through 40 years of old file boxes that we've had stored offsite for the past 30 years. The file boxes include 25 plus years of old computer components and archiving techno … ",Photography,Art,lighting,Photography (2),light,26-Jan-17,Report spam
Pure Glory,on,Pure Glory,pureglory.net,/2016/10/02/the-devil-has-been-hacked/,The Devil Has Been Hacked,,,"by Apostle Gabriel Cross Hacked - to circumvent security and break into (a network, computer, file, etc.), usually with malicious intent: to damage or injure by crude, harsh, or insensitive treatment; mutilate; mangle: to reduce or cut ruthlessly; trim:  … ",HOPE,Faith,Christianity,God,Encouragement,2-Oct-16,Report spam
Jacqui Murray ,on,WordDreams...,worddreams,.wordpress.com/2016/12/14/end-of-year-tips-19-ways-to-speed-up-your-computer/,,,End-of-Year Maintenance: 22 Ways To Speed Up Your Computer,"…  are two 'speed' problems that arise when using computers: the computer itself is slow, for lots of reasons you are …  computer must finger through those unused and worthless files. It doesn’t understand the difference between ‘unused’ and …  an 'Old' file and put them all in there. Backup files to an external drive or cloud storage. If you don't have an … ",blogs,Writers Resources,Blog Maintenance,new year,,14-Dec-16,Report spam
philosophermouseofthehedge,on,Philosopher Mouse of the Hedge,philosophermouseofthehedge,.wordpress.com/2017/01/11/back-of-closet/,Back of closet,,,"…  guest room. To be kind. No need to be cruel. Computers have memories, too, you know. Long ones. Even if they are wiped with …  computer ready to take the stage. Settings to be made. Files and documents to transfer. Slowly. All without stripping this lovely … ",technology,writing,Blogging,Humor,Environment,11-Jan-17,Report spam
Amy,on,The World Is a Book…,shareandconnect,.wordpress.com/2017/01/09/mobile-photo-challenge-macro-and-more/,,,Mobile Photo Challenge: Macro (Small Sculptures) And More…,…  time of the day and/or night without clicking your photo files on your computer and iPhone. This is what the device can do: Pros:  … ,museum,Arts,mobile photography,,,9-Jan-17,Report spam
A. L. Luttrell,on,Arlin Report,arlinreport.com,/2016/11/02/investigator-weiner-computer-files-connect-clinton-gang-to-espionag,,"Investigator: Weiner computer files connect Clinton gang to espionage, Epstein and Lolita Express! — ShofarBlast.org",," https://youtu.be/ZxTAXg1JI50 “There’s much more to this than is being told to the media right now.” via Investigator: Weiner computer files connect Clinton gang to espionage, Epstein and Lolita Express! — ShofarBlast.org ",Politics,Politics 2,Clinton,The Clinton Crime Cartel,weiner,3-Nov-16,Report spam
Kayla,on,Millionaire's Digest,millionairesdigest,.wordpress.com/2017/01/20/how-to-live-stress-free/,How to Live Stress-Free! (2 min read),,,"…  infected it. I suggested backing up all of the important files and photos on your computer to Dropbox, Google Drive, OneDrive, etc. And … ",writing,Beauty,Makeup,book,Books,20-Jan-17,Report spam
