Akhila,on,Words and Notion,wordsandnotion,.wordpress.com/2016/10/18/consciousness-an-illussion/,"Consciousness, an illusion",,,…  us with the outside world? Who feeds the program into the hardware? How can a physical brain help us to experience the … ,brain,universe,World,Physical,Illusion,18-Oct-16,Report spam
lorigreer,on,Lori Greer in Portland,readlorigreer.com,/2017/01/07/my-bad-boy/,My Bad Boy!,,,"…  picture of this  bad boy grill! The folks at Ace Hardware were fantastic. Ryan, the operations manager with the patience of …  that I could do it. It was a short drive from Ace Hardware to my house. I hoped I could remember everything. I did not want to … ",~My Journey~,Widow,Humor,Weber Grill,Ace Hardware,7-Jan-17,Report spam
sundance ,on,The Last Refuge,theconservativetreehouse.com,/2017/01/10/the-mysterious-fbi-sunday-document-dump-5-and-t,,"The Mysterious FBI Sunday Document Dump #5 and The ""Missing"" Clinton Seagate Hard Drive…",,"…  not to prosecute, was released there was a section about hardware retrieved by the FBI only AFTER they initially gained access to the …  the server in August 2015 - and not any additional data hardware until the FBI forensic investigation discovered there was additional … ",Dem Hypocrisy,Clintons,White House Coverup,Conspiracy,Secretary of State,10-Jan-17,Report spam
Audrey Kletscher Helbling,on,Minnesota Prairie Roots,mnprairieroots.com,/2017/01/13/my-appreciation-for-small-town-hardware-stores/,,,My appreciation for small town hardware stores,"…  like I did, you likely hold fond memories of the local hardware store. Two hardware stores once served my hometown of Vesta, a farming community on the … ",,,,,,13-Jan-17,Report spam
alternativedressing,on,Alternative Dressing,alternativedressing,.wordpress.com/2016/11/17/boots-leather/,Boots & Leather,,,"…  that is fitted and some people like there to be metal hardware while others do not. For me personally, I like leather jackets that …  jacket is made of pebbled leather and has a lot of metal hardware to it, giving it a more grungy look. To me, this is the perfect biker … ",,,,,,17-Nov-16,Report spam
Don Massenzio,on,Don Massenzio's Blog,donmassenzio,.wordpress.com/2017/01/05/thursday-funny-seniors-2/,Thursday Funny - Seniors,,,"…  the past to give you a laugh on this Thursday. In the hardware store, a ?clerk asked, “Can I help you find … ",Don Massenzio,Funny,,,,5-Jan-17,Report spam
Jeff Branch,on,Jeff Branch Woodworking,jeffbranchww.com,/2016/12/15/new-tool-cabinet-eleven-drawers-completed/,,,New Tool Cabinet: Eleven Drawers Completed!,"…  drawer faces are added using the process below... The hardware I am using is from House of Antique Hardware and I selected three items: bronze knobs, bronze label holders and …  time I've ordered from this supplier and I found the hardware to be good quality. The tiny screws used to secure the label holders …",Woodworking,Tool Cabinet and Surround,Workshop,Workshop 2,,16-Dec-16,Report spam
didyoumakethat,on,Did You Make That?,didyoumakethat.com,/2017/01/05/as-i-walked-out-one-midwinter-morning/,As I Walked Out One Midwinter Morning…,,,"…  from Saeed Fabrics and took apart the original bag for its hardware and internal pockets. On the suggestion of an Instagram friend, I even … ",Sewing and knitting,Sewing,Saeed Fabrics,House of Hackney,Edwyn UK,5-Jan-17,Report spam
Brian Benchoff,on,Hackaday,hackaday.com,/2017/01/05/hands-on-with-the-first-open-source-microcontroller/,,,Hands On With The First Open Source Microcontroller,"…  was a great year for Open Hardware. The Open Source Hardware Association released their certification program, and late in the …  1, so here it is, the first hands-on with the first Open Hardware microcontroller. Before I dig into this, I must discuss the …",Arduino,Reviews,microcontrollers,open hardware,hands on,5-Jan-17,Report spam
sickr,on,My Nintendo News,mynintendonews.com,/2017/01/22/capcom-says-it-has-no-plans-to-bring-resident-evil-7-to-ninte,,,Capcom Says It Has No Plans To Bring Resident Evil 7 To Nintendo Switch,"…  they do say that it is a ""very unique piece of hardware."" ""I think it's a very unique piece of hardware."" ""I'm looking forward to the possibilities of the … ",Nintendo,Capcom,resident evil 7,Nintendo Switch,Switch,22-Jan-17,Report spam
