 Follow, legogradstudent, , , , , , , , , ,,,,, , , ," ""Wanting to feel productive, the grad student prints multiple articles with reckless abandon.",, lego, phd, phd life, grad school, grad school problems, grad student, grad student problems, grad life, graduate school, printer, printing, print, article, articles, scholarship, knowledge, productive, productivity, work, gotta keep running, reckless, indiscriminate, toner, probably will never read, , , , , , 470 notes
 Follow, legogradstudent, , , , , , , , , ,,,,, , , ," ""Locking eyes with the administrative manager, the grad student braces himself for a severe lecture on wasting paper.",, lego, phd, phd life, grad school, grad school problems, grad student, grad student problems, grad life, graduate school, print, printing, printer, paper, green, renew, reuse, recycle, toner, admin, administrative, manager, not going green, killing the trees, destroying the planet, but warm paper feels so good, , , , , 150 notes
 Follow, sizvideos,7," ""Discover Cetus3D, the minimalist 3D printer for everyone. Get more information here", , , , , , , ,,,,, , , , ,, gif, siz, gifs, cetus3d, 3Dprinter, printer, cheap, technology, creation, creativity, , , , , , , , , , , , , , , , , , , , 241 notes
 Follow, gay-laurd, , , , , , , , , ,,,,, , , ,"So at my school there is a printer in the library and everyone can print  off anything they want from any computer anywhere in the school, and me and my friend went to go print stuff off for a class right, we go down  to the library and someone printed off a bunch of photos at once and I look and I’m like what is this??? ",It was 20+ different photos of Patrick Stump, fallout boy, fall out boy, patrick stump, school, library, libraries, patrick, stump, stories, story, funny, funny story, funny stories, print, printer, photo, photos, band, bands, emo, punk, rock, punk rock, alternative rock, music, lol, lmao, rofl, , 472 notes
 Follow, college-survivalguide, , , , , , , , , ,,,,, , , , When your printer has a panic attackâ€¦,, panic attack, printer, college, university, illuminati confirmed, schedule, what happened, college blog, , , , , , , , , , , , , , , , , , , , , , 20 notes
 Follow, legogradstudent, , , , , , , , , ,,,,, , , ," ""Perusing the latest journal issue, the grad student comes across an article that is uncomfortably similar to his dissertation.",, lego, phd, phd life, grad school, grad school problems, grad student, grad student problems, grad life, graduate school, journal, issue, article, uncomfortable, close, scooped, printer, lab, lose motor control, eyes glaze over, , , , , , , , , , , 343 notes
 Follow, gif87a-com, , , , , , , , , ,,,,, , , , ,, printer, canon, office, gif, , , , , , , , , , , , , , , , , , , , , , , , , , 284 notes
 Follow, dream-house-inspiration, , , , , , , , , ,,,,, , ,Request by significantpercentage & anonymous, ,, bed, bedroom, room, desk, office, house, home, flat, apartment, white, brown, wood, timber, the paper bag, paper organized, room organization, desk organization, organization, printer, laptop, pc, apple, pillow, plant, interior, interior design, , , , 544 notes
 Follow, ellyjstahl,8, , , , , , , , ,,,,, , , , Hacked printer error messages,, funny, printer, error, insert sandwich, mana, cat, robots, rainforest, only zuul, squirrel, technology, , , , , , , , , , , , , , , , , , ," ""46,182 notes"
 Follow, pogphotoarchives, , , , , , , , , ,,,,, , Expand, ," ""Raton Range newspaper building, Raton, New MexicoDate: circa 1915-1920?From the Raton Museum collection, Negative Number HP.2015.26.449",, raton range, newspaper, printer, news, raton, new mexico,1919, raton museum, , , , , , , , , , , , , , , , , , , , , , 244 notes
 Follow, animeismywhore, , , , , , , , , ,,,,,Roujin Z (1991), , , ,, my gif, Roujin Z, Katsuhiro Otomo, Printer, , , , , , , , , , , , , , , , , , , , , , , , , ," ""4,577 notes"
 Follow, bleedgfx, , , , , , , , , ,,,,, , , , print1n,, dos, gif, animation, art, printer, vintage, graphics, bleedgfx, loop, , , , , , , , , , , , , , , , , , , , , 153 notes
 Follow, alexatsmith, , , 10 Skills That Will Make You Popular in College,Baking,Nail Art,Hair color and styling,Makeup,Proofreading,Driving with a car! (or Zipcar!),Computer troubleshooting,Henna (or other forms of temporary tattoos),Fortune-telling,Owning a functional printer (bonus points if its color), , , , ,, college life, college, college hacks, Smith College, smif, baking, nail art, hair, makeup, proofreading, driving, zipcar, computer skills, fortune telling, printer, , , , , , , , , , , , , , , 182 notes
 Follow, vaporwaveworld ,,,,,,,,,,,,,,,,,,, Vaporwave,Wave, Pizza ,PizzaWave,Food,Vaporwave Food,Paint,Printer,Fax,1990,2000,Pepperoni,Phone,Buttons,Dreams,Dream,Factory,Future,Blue,,,,,,,,,,,354 notes
 Follow, gifovea ,,,,,,,,,,,,,,,,,,,photocopier ,gif ,copy ,imitation,levi's,commercial,chris cunningham,advert,xerox,printer,photocopy,,,,,,,,,,,,,,,,,,,111 notes
 Follow, littleblueipod ,,,,,,,,,,,,,,,,,Shirts & Vinyls,,onedirection ,bastille ,maroon5,edsheeran,kodaline,the1975,halsey,oscarandthewolf,taylor swift,walkthemoon,years & years,tourshirt,recordplayer,printer,dorm,collection,room,vinyl,music,concerts,bands,,,,,,,,,173 notes
 Follow, jimneilson ,,,,,,,,,,,,,,,,,ink cartridge error,, gif ,animation, squid, ink , printer,error                    ,,,,,,,,,,,,,,,,,,,,,,,,417 notes
 Follow, electronicitems ,,,,,,,,,,,,,,,,,matrix printer,,GIF,isometric,3d,animation,printer,vray,C4D,retro,,,,,,,,,,,,,,,,,,,,,,"1,251 notes"
 Follow, animanga-and-stuff,,,,,,,,,,,,,,,,,,,u kyou machiko,manga , manga cap,mangacap,manga-cap,printer,photo copy,copies,,,,,,,,,,,,,,,,,,,,,,272 notes
 Follow, artisinspiration, , , , , , , , , ,,,,, , , , ,, art, artsy, grunge, hipster, indie, culture, decor, life, lifestyle, print, printer, metal, masterpiece, stencil, flowers, flower, amazing, beautiful, chinese, frog, painting, paint, chinese ink, silver, artists on tumblr, sharing art, sharingart, art piece, art pieces, 132 notes
