" ""Refurbished iPhone, Apple Watch, iPad, Mac and Apple TV - Apple", warranty. Refurbished Mac Get a great deal on an Apple-certified Mac desktop or notebook computer. Discover the special pricing available when you shop for an Apple-certified iPad. Take home an App…, http://www.apple.com/shop/browse/home/specialdeals
 Refurbished Mac - Apple Certified - Apple, Shop refurbished Mac notebooks and computers. Refurbished computers and notebooks are certified and tested by Apple with a 1-year warranty...., http://www.apple.com/shop/browse/home/specialdeals/mac
 Find Your School in the Apple Education Store - Apple," ""Find your school to start shopping the Apple Education Store and receive special education pricing on Apple computers, software and accessories....", http://www.apple.com/shop/browse/home/findyourschool
 AppleCare Protection Plan - Apple," ""Buy the AppleCare Protection Plan for extended service coverage and support for Apple displays, Mac computers, iPod, Apple TV, and iPhone. Learn more about AppleCare Protection Plans and purchase…", http://www.apple.com/shop/browse/home/applecare
 Search Ads - Apple," ""the market by bringing indies quality users at an affordable cost. Search Ads is giving us a fighting chance for our piece of the hardcore mobile gaming market.” Mike Schmid, Ember Entertainment…", http://searchads.apple.com/
 Gaming & Toys - iPhone Accessories - Apple," ""Double the fun with drones, educational toys and gaming controls compatible with iPhone. Buy online with fast, free shipping....", http://www.apple.com/shop/iphone/iphone-accessories/toys-games
 Gaming & Toys - iPad Accessories - Apple," ""Double the fun with drones, educational toys and gaming controls compatible with iPad. Buy online with fast, free shipping....", http://www.apple.com/shop/ipad/ipad-accessories/toys-games
 Apple Recycling Program - Shopping Help - Apple," ""lifecycle. Apple's free recycling program makes it easy for you to safely and affordably recycle your used computer, iPod, or mobile phone. For more information about Apple's recycling programs and…", http://www.apple.com/shop/help/recycle
 Mac - Apple," ""of today’s creative editors, Final Cut Pro offers revolutionary video editing, powerful media organization, and incredible performance optimized for Mac computers and macOS Sierra. Logic Pro X Logi…", http://www.apple.com/mac/
 iPhone Upgrade Program - Apple," ""Upgrade Program for the first time, remember to back up your data to your computer or iCloud, and take note of your Apple ID . If you're upgrading, you’ll need to bring your current iPhone with you…", http://www.apple.com/shop/iphone/iphone-upgrade-program
 Apple Store for Government - Apple, The Apple Store for Government offers powerful desktop and portable computer solutions at special prices for government agencies and employees...., http://www.apple.com/r/store/government/
 macOS - Apple," ""of files related to your big project, and more, right in Notification Center. Everything stays up to date — so you always know where to find game times, trending topics, or important documents. Rep…", http://www.apple.com/macos/sierra/
 Mac mini - Design - Apple," "". Mac mini features a 1.4-inch-thin seamless unibody enclosure carved from a single, solid block of aluminum. It’s created using computer numerical control, or CNC, machines — the same kind used...", http://www.apple.com/mac-mini/design/
 iTunes - Apple," ""Gift Card or Apple Music Gift Card from your iOS device or computer.4 You can buy gift cards in a range of denominations, and recipients can choose whatever they want, including an Apple Music memb…", http://www.apple.com/itunes/
 iTunes Gift Cards - Apple," ""recipients can get exactly what they want. How to Redeem iTunes Gift Cards From your computer, iPad, iPhone, or iPod touch, just follow the instructions on the back of the card. You can even redeem…", http://www.apple.com/itunes/gifts/
 Apple TV - Apple, menus. “I want to watch the next episode of Homeland” “Put on the Chicago Cubs game” “Turn on CBS News” “Search podcasts for comedy” “Increase the brightness in the living room” Complete TV Package…, http://www.apple.com/apple-tv/
 iPhone - Compare Models - Apple, Up to 1 hour longer battery life than iPhone 6s Plus       Built-in rechargeable lithium-ion battery Built-in rechargeable lithium-ion battery Charging via USB to computer system or power adapter…, http://www.apple.com/iphone/compare/
 tvOS - Apple, rights reserved. Blackout and other restrictions apply. Game video is in HD quality when available. NHL and the NHL shield are registered trademarks of the National Hockey League. NHL and NHL team…, http://www.apple.com/tvos/
 iPad Pro - Apple," ""creates a rich, wide, and detailed soundstage. It automatically adjusts the orientation of the high frequencies to the topmost speakers, no matter how you’re holding it. So whether you’re playing a…", http://www.apple.com/ipad-pro/
 Privacy - Our Privacy Policy - Apple," "", your school − helps us provide a customized and more useful shopping experience. Knowing someone using your computer or device has shopped for a certain product or used a particular service helps…", http://www.apple.com/privacy/privacy-policy/
 iPhone 7 - Apple, iPhone 7 - Apple This is 7. iPhone 7 dramatically improves the most important aspects of the iPhone experience. It introduces advanced new camera systems. The best performance and battery life ever…, http://www.apple.com/iphone-7/
 iPad Air 2 - Apple," ""computers. It’s power efficient, too, with a 10-hour battery life that lets you work, play, surf, and shop all day long.1 Advanced security. Right at your fingertip. iPad Air 2 comes with our break…", http://www.apple.com/ipad-air-2/
 Final Cut Pro X - In Action - Full Sail - Apple," ""Florida’s Full Sail University uses Final Cut Pro X to train students for careers in digital media, including film, broadcast, and game development....", http://www.apple.com/final-cut-pro/in-action/full-sail/
 Mac Pro - Apple," ""Mac Pro - Apple Scroll to continue When we began work on the new Mac Pro, we considered every element that defines a pro computer — graphics, storage, expansion, processing power, and memory. And w…", http://www.apple.com/mac-pro/
 MacBook Pro - Apple," ""model.4 So you’re free to keep watching, gaming, and editing from wherever you are. 13-inchMacBook Pro 10 hrsUp to 10 hours iTunes movie playback and web surfing 15-inchMacBook Pro 10 hrsUp to 10 h…", http://www.apple.com/macbook-pro/
 Apple Watch Series 2 - Apple, watch for the next step. NBA Never miss a moment with customizable alerts like game start reminders and real‑time scores. Watch Faces Beautifully useful. Put information from your favorite apps on…, http://www.apple.com/apple-watch-series-2/
 Mac mini - Apple," ""functionality. And it’s still the world’s most energy-efficient desktop computer — it doesn’t just meet ENERGY STAR requirements, it exceeds them up to seven times over. With a computer this compac…", http://www.apple.com/mac-mini/
 Inclusion & Diversity - Apple," ""of trials in our exercise lab, and build computer simulations to design the best, most robust algorithms. As a result, they were able to determine the precise combination of Apple Watch sensors and…", http://www.apple.com/diversity/
 macOS - Safari - Apple, show while you catch up on email. Or watch the big game while playing a game yourself. Mute a tab. Want to stop the music without hunting for the tab it’s coming from? You can mute it right from..., http://www.apple.com/safari/
 Apple Recycling Program, Learn how you can get free recycling of your old computer system with the purchase of any new Mac., http://www.apple.com/recycling/computer/
