 Sniper Rifle, 3D Models/Props/Weapons/Guns, T-bull, , Not enough ratings,$5 
 Sniper Crosshair Sprites, Textures & Materials/Icons & UI, Creepy Cat, , Not enough ratings,$5 
 Sniper SVD, 3D Models/Props/Weapons/Guns, GunShop3d, , Not enough ratings,$10 
 Sniper Rifle, 3D Models/Props/Weapons/Guns, Hardworker Studio (Rachan N.), , Not enough ratings,$10 
 Advanced Sniper Starter Kit, Complete Projects/Systems, Hardworker Studio (Rachan N.),-103, ,$30 
 SVD Sniper Rhifle, 3D Models/Props/Weapons/Guns, Beatheart Creative Studio, , Not enough ratings,$20 
 Lowpoly Sniper Rifle (Stylized), 3D Models/Props/Weapons/Guns, Aki 3d Studios, , Not enough ratings,$1.99 
 AWP Sniper Rifle, 3D Models/Props/Weapons/Ranged, abovee,-3, ,$10 
 Scifi Weapon Series: Sniper Rifles, 3D Models/Props/Weapons/Guns, MSGDI, , Not enough ratings,$35 
 Optical Sight Sniper, 3D Models, tmaks, , Not enough ratings,$1 
 [Affordable Assets] Sniper Rifle, 3D Models, Creation Wasteland, , Not enough ratings,$3.99 
 American Large-Caliber Sniper Rifle, 3D Models/Props/Weapons/Guns, Valga Games, , Not enough ratings,$5 
 3D Games Effects MegaPack 1, Particle Systems, Creepy Cat,-4, ,$60 
 Futuristic Sniper Rifle [ PBR Ready ], 3D Models/Props/Weapons/Guns, Aki 3d Studios, , Not enough ratings,$2 
 3D Games Effects Bundle 2, Particle Systems, Creepy Cat, , Not enough ratings,$30 
 3D Games Effects Bundle 1, Particle Systems, Creepy Cat, , Not enough ratings,$30 
 3D Games Explosions Bundle 1, Particle Systems, Creepy Cat, , Not enough ratings,$30 
 3D Games HUD Pack Vol 1, Particle Systems, Creepy Cat,-4, ,$10 
 3D Games Effects Pack Vol 3, Particle Systems, Creepy Cat,-5, ,$10 
 3D Games Effects Pack Vol 1, Particle Systems, Creepy Cat,-7, ,$10 
 3D Games Effects Pack Vol 4, Particle Systems, Creepy Cat,-5, ,$10 
 3D Games Explosions Pack Vol 1, Particle Systems/Fire, Creepy Cat,-4, ,$10 
 3D Games Target Pack Vol 1, Particle Systems, Creepy Cat,-4, ,$10 
 3D Games Effects Pack Vol 2, Particle Systems, Creepy Cat,-4, ,$10 
 Russian Snipers Rifle, 3D Models/Props/Weapons/Guns, Valga Games, , Not enough ratings,$5 
 3D Games Loader Pack Vol 1, Particle Systems, Creepy Cat, , Not enough ratings,$10 
 3D Games Effects Pack Vol 5, Particle Systems, Creepy Cat,-6, ,$10 
 3D Games Effects Pack Vol 6, Particle Systems, Creepy Cat,-3,,$10 
 3D Games Magic Pack Vol 1, Particle Systems/Magic, Creepy Cat,-5,,$10 
 Mauser 98k, 3D Models/Props/Weapons/Guns, MyNameIsVoo, , Not enough ratings,$3.50 
"Animated Modern Weapons + Arms (Pistols, Shotguns and Snipers)+ SFX", 3D Models/Props, Indiegamemodels,-3, ,$60 
 SniperScope v1.0, Scripting/GUI, Anders Gustavsson, , Not enough ratings,$6 
 LowPoly 4x10 Gun Pack, 3D Models/Props/Weapons, NextVertex, , Not enough ratings,$15 
 Advanced Battle AI, Scripting/AI, AIBotSystem.com,-32, ,$19 
 Full game template - Zombie Street Trigger, Complete Projects/Templates, Pony game,-4,,$20 
 Toon Soldiers, 3D Models/Characters/Humanoids, Polygon Blacksmith,-39, ,$20 
