 Mario & Sonic at the Olympic Games,"First Released Nov 6, 2007"," Mario & Sonic at the Olympic Games features the two famous characters together for the first time, competing with a large supporting cast.", Latest:," E3 2011: Sega's Pritchard talks Aliens: Colonial Marines, used sales (Jun 09, 2011)"
 Mario & Sonic at the Olympic Winter Games,"First Released Oct 13, 2009", Mario and the Nintendo gang take on Sonic and the Sega crew in Olympic competition for up to four players., , 
 Mario & Sonic at the Sochi 2014 Olympic Winter Games,"First Released Nov 1, 2013", Join Mario and Sonic and the rest of your favorite characters as they team up and compete in events at the Sochi 2014 Olympic Winter Games., , 
 Mario & Sonic at the Rio 2016 Olympic Games,"First Released Mar 18, 2016"," All of your favorite Mario and Sonic characters are ready to join the fun in Rio, host of the Olympic Games in August 2016.", , 
 Mario & Sonic at the London 2012 Olympic Games,"First Released Nov 15, 2011", Mario & Sonic at the London 2012 Olympic Games contains over 50 original Olympic-themed events playable in both single-player and multiplayer modes., , 
 Mario & Sonic at the London 2012 Olympic Games: Virtual Card Album,"First Released Jul 5, 2012", , , 
 Mario Golf,"First Released Jun 30, 1999"," Although Mario Golf is a little on the cutesy side, anyone who wants a great golf game need look no further.", , 
 Mario Tennis,"First Released Aug 28, 2000"," Mario Tennis is a quality tennis presentation that strikes gold on the three points that matter most: value, gameplay, and fun.", , 
 Mario Party,"First Released Feb 8, 1999"," Mario Party is intended to be played with a group of friends, and for those people who can really take advantage of that, this game is a must-buy.", , 
 Unfair Mario,First Released 2011," In Unfair Mario, nothing is as it seems. Try to avoid hidden traps and get to the final flag.", , 
 Mario,, , , 
 Mario Sports,, , , 
 Mario & Sonic,, , , 
 Mario Party,, , , 
 Mario Kart,, , , 
