Nutrition in Cancer Care (PDQ®)—Health Professional …, www.cancer.gov/about-cancer/treatment/side-effects/appetite-loss/nutrition-hp-pdq,Nutrition plays major (but not always fully understood) roles in many aspects of cancer development and treatment. Malnutrition is a common problem in ... 
Health Information | NIDDK, www.niddk.nih.gov/health-information/,"Health Information. The health information provided here is informed by NIDDK research, reviewed by doctors, and provided to help you understand more ... "
Diet & Nutrition | NIDDK, www.niddk.nih.gov/health-information/diet-nutrition,"Resources on nutrition for helping with decisions about eating and drinking. Diet tips to manage health conditions such as diabetes, obesity, kidney …"
"Nutrition and Healthy Eating, Tools & Resources, NHLBI, NIH", www.nhlbi.nih.gov/health/educational/wecan/tools-resources/nutrition.htm,Tools and resources to help families and communities better understand nutrition and the important role healthy eating plays in maintaining a healthy ... 
A-Z Health Topics Index | National Institute on Aging, www.nia.nih.gov/health/topics/nutrition,"Good nutrition is part of healthy aging! Read about healthy eating and meal plans, ... Get tips to maintain health and weight and keep a cooking ... "
" Nutrition, health and human rights. - ncbi.nlm.nih.gov ", www.ncbi.nlm.nih.gov/pubmed/12290435,"The existence of structural poverty and ill health eventually leads to poor development, which includes poor nutrition, poor health, and poor human ... "
 Nutrition - U.S. National Library of Medicine , www.nlm.nih.gov/services/Subject_Guides/healthstatistics/nutrition/index.html,"Nutrition. Academy of Nutrition and Dietetics. Organization of registered dieticians and other food and nutritional professionals. Formerly, the ... "
"Prostate Cancer, Nutrition, and Dietary Supplements (PDQ …", www.cancer.gov/about-cancer/treatment/cam/hp/prostate-supplements-pdq,Expert-reviewed information summary about the use of nutrition and dietary supplements for reducing the risk of developing prostate cancer or for ... 
Health Information | National Institutes of Health (NIH), www.nih.gov/health-information,"Find science-based health information on symptoms, diagnosis, treatments, research, clinical trials and more from NIH, the nation’s medical research ... "
Office of Nutrition Research - niddk.nih.gov, www.niddk.nih.gov/about-niddk/offices-divisions/office-nutrition-research/Pages/default.aspx,"Office of Nutrition Research performs strategic planning, portfolio analysis, and assessment of nutrition research needs and opportunities "
 [PDF] q Nutrition and Health - profiles.nlm.nih.gov , profiles.nlm.nih.gov/ps/access/NNBCRN.pdf,"q Nutrition and Health -. 1984. Nutrient intakes: individuals in 48 states, year 1977-78. Report no. I-2. Hyatts- ville, MD: Consumer Nutrition ... "
Nutrition for Advanced Chronic Kidney Disease in Adults …, www.niddk.nih.gov/health-information/kidney-disease/chronic-kidney-disease-ckd/eating-nutrition/nutrition-advan,Why is nutrition important for someone with advanced chronic kidney disease (CKD)? A person may prevent or delay some health problems from CKD by ... 
National Institutes of Health - Official Site, www.nih.gov/,Official website of the National Institutes of Health (NIH). NIH is one of the world's foremost medical research centers. An agency of the U.S. ... 
Dietary Supplements: What You Need to Know, ods.od.nih.gov/HealthInformation/DS_WhatYouNeedToKnow.aspx,ODS strengthens the knowledge & understanding of dietary supplements to enhance the quality of life & health for the US population. 
Office of Dietary Supplements (ODS), dietary-supplements.info.nih.gov/,ODS strengthens the knowledge & understanding of dietary supplements to enhance the quality of life & health for the US population. 
Vitamin D — Health Professional Fact Sheet, ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,"Information for health professionals about Vitamin D, recommended intakes, sources, intake status, risks of inadequacy or excess, current research on ... "
"The Journal of Nutrition, Health & Aging - Journals - NCBI", www.ncbi.nlm.nih.gov/labs/journals/j-nutr-health-aging/,"The Journal of Nutrition, Health & Aging journal page at PubMed Journals. Published by Serdi Publisher ; "
The Surgeon General's Report on Nutrition and Health (1988), profiles.nlm.nih.gov/NN/B/C/Q/G/,"Description: From the Summary and Recommendations: ""This first 'Surgeon General's Report on Nutrition and Health' offers comprehensive documentation ... "
 [PDF] The Surgeon General’ s Report on NUTRITION AND HEALTH , profiles.nlm.nih.gov/ps/access/NNBCQH.pdf,This first Surgeon General’ s Report on Nutrition and Health marks a key event in the history of public health in the United States.
 HEALTH TOPICS - EATING HEALTHY AND NUTRITION , americanindianhealth.nlm.nih.gov/eating.html,HEALTH TOPICS - EATING HEALTHY AND NUTRITION Our Health. American Indian Health and Diet Project. A Website devoted to recovering the health of ... 
