HIPAA Privacy Rule and Its Impacts on Research, privacyruleandresearch.nih.gov/pr_07.asp,"... or the provision or payment of health care to an individual that is created or received by a health care provider, health plan, employer, ... "
Individual Fellowships | Research Training and Career …, researchtraining.nih.gov/programs/fellowships,To provide predoctoral individuals with supervised research training in specified health and health-related areas leading toward the research doctoral ... 
Letter from the Director | National Institute on Drug …, www.drugabuse.gov/publications/research-reports/methamphetamine/letter-director,"According to data from the 2012 National Survey on Drug Use and Health (NSDUH), ... The consequences of methamphetamine abuse are terrible for the ind ... "
 [PDF] Access to Health Information of Individuals - nlm.nih.gov , www.nlm.nih.gov/hmd/manuscripts/phi.pdf,"Access to Health Information of Individuals Scope This policy establishes rules for access to health information of individuals found in archival,"
Chapter 6: Effects on Well-being and Quality of Life, www.nidcr.nih.gov/DataStatistics/SurgeonGeneral/sgr/chap6.htm,In its definition the WHO acknowledged that an individual who is ... Researchers use two ways to assess how individuals rate their oral health: ... 
Chapter 1: The Meaning of Oral Health, www.nidcr.nih.gov/DataStatistics/SurgeonGeneral/sgr/chap1.htm,"The next three chapters review how individuals, health care practitioners, communities, and the nation as a whole contribute to oral health. "
Making a Powerful Connection: The Health of the Public and …, www.nlm.nih.gov/pubs/staffpubs/lo/makingpd.html,Making a Powerful Connection: The Health of the Public and the National Information Infrastructure Report of the U.S. Public Health Service Public Hea ... 
ncbi.nlm.nih.gov, ncbi.nlm.nih.gov/mesh/?term=individual+health,Moved Permanently. The document has moved here. 
Individual Fellowships | Research Training and Career …, researchtraining.nih.gov/programs/fellowships/F31,Ruth L. Kirschstein National Research Service Award Individual Predoctoral Fellowship to Promote Diversity in Health-Related Research (Parent F31 - ... 
Best Way To Lose Weight - nhlbi.nih.gov, www.nhlbi.nih.gov/health/educational/lose_wt/behavior.htm,Guide to Behavior Change Your Weight Is Important. Over the past few years it has become clear that weight is an important health issue. Some people …
DrugFacts: Understanding Drug Use and Addiction | National …, www.drugabuse.gov/publications/drugfacts/understanding-drug-use-addiction,"Teachers, parents, and health care providers have crucial roles in educating young people and preventing drug use and addiction. Points to Remember. "
What Are the Health Risks of Overweight and Obesity …, www.nhlbi.nih.gov/health/health-topics/topics/obe/risks,"This video—presented by the National Heart, Lung, and Blood Institute, part of the National Institutes of Health—shows that even a few extra pounds ... "
Exposure to Greenness and Mortality in a Nationwide …, ehp.niehs.nih.gov/15-10363/,"1 Department of Epidemiology, and 2 Department of Environmental Health, Harvard T.H. Chan School of Public Health, Boston, Massachusetts, USA; 3 ... "
Community Benefit / Community Health Needs Assessment, www.nlm.nih.gov/hsrinfo/community_benefit.html,"From the Minnesota Hospital Association, this community needs assessment reflects the partnership of individual hospitals, health systems, ... "
 [PDF] Department of Health and Human Services , www.nidcr.nih.gov/DataStatistics/SurgeonGeneral/Documents/hck1ocv.@www.surgeon.fullrpt.pdf,"As a nation, we hope to address the determinants of health—individual and environ-mental factors—in order to improve access to quality care, ... "
[A systemic concept of individual health status from the …, www.ncbi.nlm.nih.gov/pubmed/15141636,1. Gig Sanit. 2004 Mar-Apr;(2):61-8. [A systemic concept of individual health status from the standpoint of practical medicine. Part I. Theoretical ... 
"Health Care Reform, Health Economics, and Health Policy", www.nlm.nih.gov/hsrinfo/health_economics.html,"Resources to help publicize the C2C initiative, aimed at connecting individuals with health coverage and to primary care and the preventive services. "
Individual and Neighborhood Socioeconomic Status and the …, ehp.niehs.nih.gov/ehp199/,"For instance, individual poor health status (e.g., diabetes and obesity) may act in synergy with air pollution exposure to promote CVD (O’Neill et al. ... "
Cancer Genetics Overview (PDQ®)—Health Professional …, www.cancer.gov/about-cancer/causes-prevention/genetics/overview-pdq,The information derived from risk assessment and/or genetic testing allows the health care provider to tailor an individual approach to health ... 
Individual Fellowships | Research Training and Career …, researchtraining.nih.gov/programs/fellowships/F32,"U.S. Department of Health & Human Services National Institutes of Health. OER HOME; ... Institutional Career Development Awards, and Individual ... "
