Kids and Kidney Disease: Know the Risks,/health-information/health-communication-programs/nkdep/get-involved/featured-articles/pages/kids-kidney-disease.aspx,"Don’t wait until the next time you see your family to show them you care about their health! August 6, 2014??…"
Tips for Kids: Be Active,/health-information/health-communication-programs/ndep/living-with-diabetes/youth-teens/tips-be-active/pages/publicationdetail.aspx,"includes a list of resources where you can get more information for children. Tips for Kids: Be Active (PDF, 104 KB) The U.S. Department of Health and Human…"
Tips for Kids: What is Diabetes?,/health-information/health-communication-programs/ndep/living-with-diabetes/youth-teens/tips-diabetes/pages/publicationdetail.aspx,includes a list of resources where you can get more information for children. The U.S. Department of Health and Human Services’ National Diabetes Education…
Symptoms & Causes of Constipation in Children,/health-information/digestive-diseases/constipation-children/symptoms-causes,something health care professionals call a fecal impaction. Some of this stool may leak and soil a child’s underwear. Parents or caretakers often mistake this…
Tips for Kids: Eating Healthy Foods,/health-information/health-communication-programs/ndep/living-with-diabetes/youth-teens/tips-eat-healthy/pages/publicationdetail.aspx,includes a list of resources where you can get more information for children. The U.S. Department of Health and Human Services’ National Diabetes Education…
Tips for Kids: Stay at a Healthy Weight,/health-information/health-communication-programs/ndep/living-with-diabetes/youth-teens/tips-healthy-weight/pages/publicationdetail.aspx,includes a list of resources where you can get more information for children. The U.S. Department of Health and Human Services’ National Diabetes Education…
Did You Have Gestational Diabetes When You Were Pregnant?,/health-information/health-communication-programs/ndep/am-i-at-risk/gdm/gestational-diabetes-pregnancy/pages/publicationdetail.aspx,to a healthy weight. Talk to your health care team about a plan to help you lose weight slowly. Being at a healthy weight can help reduce your chances of getting…
Health Information,/health-information,"Health Information The health information provided here is informed by NIDDK research, reviewed by doctors, and provided to help you understand more…"
Definition & Facts for Constipation in Children,/health-information/digestive-diseases/constipation-children/definition-facts,of the children who visit gastroenterologists are constipated.1 What are the complications of constipation in children? Constipation can lead to health problems…
"Eating, Diet, & Nutrition for GER & GERD in Children & Teens ",/health-information/digestive-diseases/acid-reflux-ger-gerd-children-teens/eating-diet-nutrition,a child or teen eat if they have GERD? Eating healthy and balanced amounts of different types of foods is good for your child or teen’s overall health. For…
