Chia Seeds , (Alive and Aware Natural Health) ,"Serving Size: 15 g (1 Heaping Tbsp), Calories: 63, Fat: 5g, Carbs: 5.7g, Protein: 2.7g"
Clear Vegetarian Herbal Blend for Gi Health,(Awareness Life),"Serving Size: 2 capsules, Calories: 0, Fat: 0g, Carbs: 0g, Protein: 0g"
Raw Organic Cacao Nibs , (Alive and Aware Natural Health),"Serving Size: 1 oz., Calories: 171, Fat: 0g, Carbs: 0g, Protein: 0g"
Rice Bran Solubles With Tocotrienols, (Alive & Aware Natural Health),"Serving Size: 3 tbsp., Calories: 82, Fat: 4.5g, Carbs: 9.2g, Protein: 0.2g"
Certified Organic Chia Seeds,(Alive and Aware Natural Health),"Serving Size: 1 g (heaping Tablespoon), Calories: 4.2, Fat: 0.3g, Carbs: 0.4g, Protein: 0.2g"
Kakao,(Aware),"Serving Size: 100 g, Calories: 390, Fat: 21g, Carbs: 12.5g, Protein: 22g"
Aware Green Tea, (Tetley),"Serving Size: 1 teabag, Calories: 0, Fat: 0g, Carbs: 0g, Protein: 0g"
proteinpulver,(aware),"Serving Size: 30 Gramm, Calories: 405.9, Fat: 11.9g, Carbs: 20g, Protein: 47.7g"
Cocoa Powder (Kakao), (Aware) ,"Serving Size: 100 g, Calories: 330, Fat: 21g, Carbs: 12g, Protein: 22g"
Chocolate Bar,(the Awareness Bar),"Serving Size: 1 bar, Calories: 208, Fat: 12g, Carbs: 22g, Protein: 2.6g"
Slim Balance Tea, (Lifestyle Awareness),"Serving Size: 1.5 g Tea Bag, Calories: 0, Fat: 0g, Carbs: 0g, Protein: 0g"
Organic Green Tea,(Lifestyle Awareness),"Serving Size: 1 tea bag, Calories: 0, Fat: 0g, Carbs: 0g, Protein: 0g"
Dark Chocolate 70% ,(Aware),"Serving Size: 100 g, Calories: 540, Fat: 41g, Carbs: 36g, Protein: 7.5g"
Autism Awareness Shortbread Cookie,(Panera),"Serving Size: 2.5 oz, Calories: 350, Fat: 21g, Carbs: 36g, Protein: 3g"
Breast Cancer Awareness Juice ,(Meagen's),"Serving Size: 16 oz, Calories: 138, Fat: 0.9g, Carbs: 37.9g, Protein: 3.9g"
Hibiscus cleanse,(Lifestyle. Awareness),"Serving Size: 1 tea bag, Calories: 0, Fat: 0g, Carbs: 0g, Protein: 0g"
Stress Balance Tea,(Lifestyle Awareness) ,"Serving Size: 1 tea bag, Calories: 0, Fat: 0g, Carbs: 0g, Protein: 0g"
Strawberry Passion Awareness,(Fruitopia (Canada)),"Serving Size: 250 mL, Calories: 90, Fat: 0g, Carbs: 24g, Protein: 0.1g"
Aware Burgers ,(Redbook),"Serving Size: 1 burger & Bun, Calories: 324, Fat: 12g, Carbs: 25g, Protein: 27g"
"Chia Seeds, Raw", (Alive and Aware),"Serving Size: 15 g (1 TBSP), Calories: 63, Fat: 5g, Carbs: 5.7g, Protein: 2.7g"
