 Stay sane by joining Google+ and adopting a pet speaker, by, Rich McCormick," Feb  2, 2017,  7:30am EST",7 comments
" Whistle 3 is a smaller, smarter GPS tracker and fitness monitor for your pet", by, Thomas Ricker," Jan  4, 2017,  4:04pm EST",2 comments
 This smart cat feeder lets your pet remove the last vestige of human interaction, by, Nick Statt," Jan  4, 2017,  1:20pm EST",17 comments
 HBO Go now supports Apple’s TV app and single sign-on feature, by, Nick Statt," Jan 26, 2017,  7:04pm EST",11 comments
 Trump’s immigration ban stranded a scientist with no job and no home, by, Rachel Becker," Jan 29, 2017,  9:50am EST",74 comments
 Google Home Top 10 Most Wanted Features, by, Milan07," Jan 31, 2017,  4:43pm EST",5 comments
" Bowser is a bad guy, but a very good dad", by, Megan Farokhmanesh," Jan 13, 2017, 12:07pm EST",13 comments
 Hyperloop One wants to help your self-driving car go the speed of sound, by, Andrew J . Hawkins," Jan 23, 2017,  3:22pm EST",2 comments
 This iPhone 8 concept video imagines a touchscreen in the home button, by, Paul Miller," Feb  2, 2017,  2:02pm EST",30 comments
 The ‘I Voted’ pets are cute and filthy liars, by, Megan Farokhmanesh," Nov  8, 2016,  4:33pm EST", 
