 Are Halloween costumes for friends or the faves?, by, Kaitlyn Tiffany," Oct 31, 2016,  2:15pm EDT",4 comments
 This very good boy's Halloween costumes raise shelter awareness, by, Dami Lee," Oct 31, 2016, 10:57am EDT",1 comments
" 7 easy Halloween costumes: Jurassic Park, Stranger Things, The Martian, and more", by, Andrew Liptak," Oct 30, 2016,  6:58pm EDT",4 comments
" Boy tries on Halloween costume for the first time, is overtaken by the spirit of dance", by, Dami Lee," Oct 14, 2016, 11:16am EDT",13 comments
 How to turn a Stormtrooper toy into a kid-sized Halloween costume, by, Andrew Liptak," Oct 26, 2016,  9:32am EDT",10 comments
 iPad 2 Halloween costume uses FaceTime to carve a painless hole in its wearer (video), by, Vlad Savov," Oct 31, 2011,  7:10am EDT",6 comments
 Princess Vader (and other awesome tech Halloween costumes), by, Thomas Houston," Oct 30, 2011,  5:24pm EDT",1 comments
 The scariest costume of all this Halloween is the Galaxy Note 7 recall, by, James Vincent," Oct 19, 2016,  4:51am EDT",14 comments
 Hunted is a reality show about surveillance and human error, by, Lizzie Plaugic," Jan 23, 2017,  3:29pm EST",15 comments
 Arduino-powered electronic demon costume is perfect for Halloween, by, Ben Kersey," Oct 25, 2012,  7:22am EDT",10 comments
