Your Home Page 1 of 23 14:37 - 17-Jan-2017, https://www.irs.gov/pub/irs-pdf/p523.pdf,"Selling Your Home For use in preparing 2016 Returns ... mobile home, or houseboat can all count as a home. How your sale qualifies. Your sale qualifies for exclu-"
"Publication 946 (2015), How To Depreciate Property", https://www.irs.gov/publications/p946/ix01.html,"Index A Addition to property, Additions and Improvements Adjusted basis, ... Mobile home (see Residential rental property) Modified ACRS (MACRS)"
Tax Topics - Topic 701 Sale of Your Home, https://www.irs.gov/taxtopics/tc701.html,"Topic 701 - Sale of Your Home. If you have a capital gain from the sale of your main home, you may qualify to exclude up to $250,000 of that gain from …"
"Publication 523 (2015), Selling Your Home", https://www.irs.gov/publications/p523/ar02.html,"Publication 523 - Main Content Table of Contents. Additional Resources ... The process is the same for single family homes, condominiums, mobile homes, …"
"Publication 17 (2016), Your Federal Income Tax", https://www.irs.gov/publications/p17/ch15.html,"Mobile home, Cooperative apartment, or. Condominium. To exclude gain under the rules of this chapter, you in most cases must have owned and lived in the property as …"
First-Time Homebuyer Credit Questions and Answers …, https://www.irs.gov/uac/first-time-homebuyer-credit-questions-and-answers-claiming-the-credit-on-your-tax-return,"If you purchased a mobile home and do not have a settlement statement, ... Q.Can I still amend my 2008 tax return for a home purchased in 2009? A."
"Publication 936 (2016), Home Mortgage Interest Deduction", https://www.irs.gov/publications/p936/ar02.html,"A home includes a house, condominium, cooperative, mobile home, house trailer, ... this publication (936). deductible home mortgage interest not reported on Form 1098:"
2016 Publication 530, https://www.irs.gov/pub/irs-pdf/p530.pdf,"dominium, cooperative apartment, mobile home, houseboat, or house trailer that contains sleeping space and toilet and cooking facilities."
"Publication 527 (2016), Residential Rental Property", https://www.irs.gov/publications/p527/ch02.html,Gain you postponed from the sale of your main home before ... This class includes any real property that is a rental building or structure (including a mobile home) …
Exceptions from FIRPTA Withholding, https://www.irs.gov/individuals/international-taxpayers/exceptions-from-firpta-withholding,"Exceptions from FIRPTA Withholding. Generally you do not have to withhold in the following situations; however, notification requirements must be met:"
