Hosting a Game Website,"Hello Dear Friends, I have a game packaged in HTML5 format Could anyone please tell me how to host my game package through my weebly site so that the public can review it With Regards, Brian GC. ", briangeechacko,835,Views, 2016-05-28 23:52:25,2,Replies, https://community.weebly.com/t5/Getting-Started/Hosting-a-Game-Website/m-p/9477#M665 
Be able to play game in the website,I think weely should be able to play online game This idea could help people creating a gamming website were people could play games . ,RodrigoGenis35,448,Views, 2016-08-26 13:44:41,,, https://community.weebly.com/t5/Vote-on-Features/Be-able-to-play-game-in-the-website/idi-p/24773 
Games if you want to make a game website,"weebly community, i want you to add games cause what if your making a game site on weebly this would help my site i want games on my site and maybe other people so please add it thank you.", As1,178,Views, 2016-09-24 15:51:16,1,Reply, https://community.weebly.com/t5/Vote-on-Features/Games-if-you-want-to-make-a-game-website/idi-p/30057
Developing a website for game developers - need help,"...website for game developers and content creators, so I want memebers to create a profile and when they upload their files to their profile, it shows up on the public gallery Also could they upload 3d model files - dae o... ",hh3000,243,Views, 2016-08-10 04:47:00,1,Reply, https://community.weebly.com/t5/Getting-Started/Developing-a-website-for-game-developers-need-help/m-p/21898#M1585 
I'm unable to see my calendar events on google calendar on my website,"Okay so this is my first time making a website on weebly and I had just used google calendar on my website I have put every event on google calendar, but when I went onto the website not on editer the events ar…",kalebswank,564,Views, 2016-07-17 08:11:40,1,Reply, https://community.weebly.com/t5/Site-Editor/I-m-unable-to-see-my-calendar-events-on-google-calendar-on-my/m-p/17683#M2635
games,i think there should be more games for are websites like 2048 mabye or games like that .,camdab,658,Views, 2016-10-13 06:11:24,1,Reply, https://community.weebly.com/t5/Vote-on-Features/games/idi-p/33763 
Game Installing apps,...types of games to somebody's weebly website so that any person that is on that person's weebly website can play some of the games that might be on the website.,AssassinsCreed4,580,Views, 2016-08-22 13:38:36,,, https://community.weebly.com/t5/Vote-on-Features/Game-Installing-apps/idi-p/24017 
Choose Your Own Adventure Game,"...wanted a game We decided on a choose your own adventure But there isn't an app for one, and I have no idea how to make one If there is an easy way, please let me know I have no idea how to create an app if there i... ",QuinnC,94,Views, 2016-12-19 09:21:11,1,Kudo, https://community.weebly.com/t5/Vote-on-Features/Choose-Your-Own-Adventure-Game/idi-p/41480
Minor bug fix - cursor position stability,I know its a minor thing really but would be so appreciative if it could be fixed., Izzychu,801,Views, 2016-06-06 07:53:42,,, https://community.weebly.com/t5/Vote-on-Features/Minor-bug-fix-cursor-position-stability/idi-p/10678
Add collapsing and expanding of children pages to parent pages,"For very large sites, the page count can get very high Copying and reordering pages can get very challenging with hundreds or thousands of pages, especially with the way the page list scrolls extremely fast righ…",thesharpdave,9554,Views,  2016-06-15 12:00:09,2,Replies, https://community.weebly.com/t5/Vote-on-Features/Add-collapsing-and-expanding-of-children-pages-to-parent-pages/idi-p/12226
