 Piano for Kids,Rating: 93%,"32,085        plays"
 Sonicare for kids,Rating: 84%,"155,658        plays"
 Animal Matching For Kids,Rating: 82%,"2,123        plays"
 Coloring Book for Kids,Rating: 85%,"42,068        plays"
 Bird Saver for Kids,Rating: 80%,"1,640        plays"
 Run for Kiss,Rating: 84%,"92,073        plays"
 Bike Parking for Kiss,Rating: 82%,"85,482        plays"
 Go For Ride Kiss,Rating: 86%,"70,174        plays"
 Kids Alphabet Fix and Learn,Rating: 87%,"13,872        plays"
 High School Teen Kiss,Rating: 88%,"104,044        plays"
 Kids in the Garden,Rating: 84%,"2,672        plays"
 Teen Lovers Kiss,Rating: 86%,"92,129        plays"
 Kids on Ferris Wheel,Rating: 84%,"11,410        plays"
 Baby Bathing Games For Little Kids,Rating: 89%,"1,125,083        plays"
 Fun Kids Sliding Puzzle,Rating: 69%,"11,769        plays"
 Dora Kids Room Cleanup,Rating: 66%,"25,117        plays"
 Cute Kids on the Beach,Rating: 80%, 695        plays
 Kids Kiss,Rating: 85%,"57,419        plays"
 Kids Red Bedroom Hidden Alphabets,Rating: 86%,"30,610        plays"
 Catwalk Challenge for Teen,Rating: 63%,"15,026        plays"
 Kids Kiss 2,Rating: 79%,"25,231        plays"
 Mix and Match for Beach,Rating: 85%,"4,278        plays"
 Toys For Boys And Girls,Rating: 85%,"63,806        plays"
 Toys For Girls and Boys,Rating: 86%,"96,348        plays"
 Scarf and Hat for Winter,Rating: 50%,"1,680        plays"
 Hans Coldy and Emma Quadly,Rating: 76%,"11,407        plays"
 Flirt and Kiss,Rating: 77%,"281,240        plays"
 Kissing Teens,Rating: 86%,"101,572        plays"
 Cindy And Ellie Teen Rivalry,Rating: 82%, 858        plays
 Rock and Kiss,Rating: 79%,"28,162        plays"
 Dress Up Teen for a Day,Rating: 81%,"94,969        plays"
 Happy Kids,Rating: 86%,"518,348        plays"
 Diner Kids,Rating: 92%,"12,985        plays"
 Kids Painting,Rating: 79%,"24,764        plays"
 Turbo Kids,Rating: 84%,"8,564        plays"
 Kids Workshop,Rating: 87%,"23,310        plays"
 Kissing Kids,Rating: 63%,"28,536        plays"
 Kids Playroom,Rating: 63%,"61,549        plays"
 Kids Burger,Rating: 86%,"70,405        plays"
 Kids Adventure,Rating: 83%,"243,343        plays"
 Kids R'Us,Rating: 87%,"13,599        plays"
 Pins And Zippers,Rating: 85%,"2,762        plays"
"Beach, Surf and Kiss",Rating: 84%,"90,609        plays"
 Ride and Kill,Rating: 91%,"86,470        plays"
 Matching Sets for Girl and Her Pet,Rating: 82%,"8,192        plays"
 Bride and Groom Season Kiss,Rating: 85%,"154,300        plays"
 The Divine Comedy,Rating: 46%,"6,984        plays"
 Cody and the Chocolate Factory,Rating: 45%,"4,860        plays"
 Hide and Seek,Rating: 84%,"133,148        plays"
 Ransom for his Sister,Rating: 87%,"84,554        plays"
 Tips and Tap,Rating: 81%,"410,534        plays"
 The Avenger Kids,Rating: 86%,"12,739        plays"
 Hide and Squeak,Rating: 80%,"2,064        plays"
 Amanda Kids Dressup,Rating: 70%,"10,043        plays"
 Thanksgiving Kids Treat,Rating: 84%,"18,143        plays"
 Kids Room Decor,Rating: 85%,"478,128        plays"
 X-Mas Kids Dressup,Rating: 81%, 738        plays
 Kids Coloring Books,Rating: 71%,"29,267        plays"
 Kids Cartoon Decoration,Rating: 80%, 659        plays
 Kids Apple Pancake,Rating: 87%,"276,298        plays"
 Guner Kids Dressup,Rating: 66%,"18,024        plays"
 Kids Sweet Colorful Cupcake,Rating: 92%,"22,594        plays"
 Hero Kids Dress Up,Rating: 83%,"10,274        plays"
 Pinky Kids Room Decor,Rating: 86%,"19,389        plays"
