" Afghan national held for raping, duping US citizen","Written by Abhishek Angad | New Delhi | Updated: February 6, 2017 at 2:41 am"," Police believe the accused, who created several profiles on social media, may have cheated and exploited other women as well.", , 
" Afghan national arrested on charges of raping, duping US woman","By: PTI | New Delhi | Updated: February 5, 2017 at 9:26 pm", The victim discovered his real identity and found that the accused has been mentioned as a scammer on a website ‘who scammed you.com’., , 
" ED slaps PMLA case in Rs 3700 crore Noida ponzi scam, conducts raids in UP","By: Express Web Desk | New Delhi | Updated: February 5, 2017 at 7:15 pm"," The UP STF had arrested the owner of the company Anubhav Mittal, its CEO Sridhar and the technical head Mahesh on February 2.", , 
" Anurag Basu hires Katrina Kaif as his hair-dresser, and we are so jealous. Watch video","Written by A. Kameshwari | New Delhi | Updated: February 5, 2017 at 4:30 pm", Jagga Jasoos director Anurag Basu regrets being styled by Katrina Kaif in this funny video., , 
" Nazi symbol, hate messages on New York subway train; what happened next will give you hope","By: Trends Desk | New Delhi | Updated: February 5, 2017 at 3:02 pm", This is devastating and incredibly heartening at the same time., , 
" Ryan student’s death: A year on, little closure for kin","Written by Aranya Shankar | New Delhi | Updated: February 5, 2017 at 5:40 am"," With the loss of their son weighing heavy, they shifted out of their Sultanpur residence and now live in Chhattarpur.", , 
 Fake online ponzi scheme: ‘Key accused made Rs 5 lakh a month’,"Written by Aditi Vatsa | Noida | Updated: February 5, 2017 at 4:49 am"," Police said as per the company’s account details, Mittal earned a monthly salary of Rs 5 lakh while the COO, Sridhar Prasad, earned Rs 2.5 lakh.", , 
 Malayalam film ‘Sexy Durga’ wins Hivos Tiger Award,"Written by Pooja Pillai | Mumbai | Updated: February 5, 2017 at 4:25 am"," ‘Sexy Durga’ is an unscripted, improvisational story of a man and woman, who hitch a ride late one night with horrifying consequences.", , 
 Pune: Fear looms large in dark shadows of IT heartland,"Written by Partha Sarathi Biswas , Sushant Kulkarni | Pune | Updated: February 5, 2017 at 2:24 am"," The murder of Infosys employee Rasila Raju OP (23) last week, has once again highlighted the security concerns at IT Park.", , 
" Kejriwal thanks people of Punjab, Goa, exudes confidence about victory","By: PTI | New Delhi/chandigarh | Updated: February 5, 2017 at 1:35 am", Kejriwal congratulated the electorates for “magnificent” elections and said blessings of crores of people are with AAP., , 
" Aakash Chopra, S Sreesanth banter on Twitter","By: Express Web Desk | Updated: February 4, 2017 at 3:02 pm", Former Test batsman Aakash Chopra believes S Sreesanth will not be making a comeback to Indian team – a reply that disappointed the pacer., , 
 Signed immigration order to keep terrorists out: Donald Trump,"By: PTI | Washington | Updated: February 4, 2017 at 1:46 pm", The executive order establishes a process to develop new vetting and mechanisms to ensure those coming into America love and support our people., , 
" Facebook celebrates its 13th birthday with ‘Friends Day’ videos: Here’s how to edit, share","By: Tech Desk | Updated: February 4, 2017 at 11:18 am"," Facebook is celebrating its 13th birthday with Friends Day videos, with Mark Zuckerberg sending a special message to all users", Read more:, Facebook
" BMC elections: Swaraj India won’t contest in city, will back 6 candidates","By: Mumbai Written by Arita Sarkar | Updated: February 4, 2017 at 3:58 am"," Though the party is not fielding any candidate in Mumbai, 22 candidates will contest polls in the neighbouring Thane Municipal Corporation under the Swaraj India banner.", , 
" As Goa votes today, teddies for first-time female voters in model booths","Written by Smita Nair | Panaji | Updated: February 4, 2017 at 3:19 am"," One booth in every constituency, attended by women staffers, has been marked as “model booth” and it will hand out a pink teddy bear to every first-time female voter who votes there.", , 
