 Friends for Life," Folk,"," Indie Pop,", Pop/Rock," 2:20		                     / 165 bpm",, by, Yan Perchuk," Confident,"," Inspiring,"," Mellow,"," Optimistic,", Uplifting, , , , , , , , , 
 Tea With Friends," Corporate,"," Indie Pop,", Pop/Rock," 2:31		                     / 100 bpm",, by, Yan Perchuk," Bright,"," Carefree,"," Cheerful,"," Confident,"," Fun,"," Happy,"," Inspiring,"," Merry,"," Optimistic,"," Playful,", Uplifting, , , 
 Sunset With Friends," Indie Pop,", Pop/Rock, Crescent Music," 3:03		                     / 112 bpm",, by," Bright,"," Carefree,"," Cheerful,"," Fun,"," Happy,"," Merry,", Playful, , , , , , , , 
 Going Out With Friends, Corporate, Good News Tunes," Confident,"," 2:22		                     / 100 bpm",, by," Inspiring,"," Mellow,"," Optimistic,", Uplifting, , , , , , , , , , , 
 Radio Friendly, Rock, RJ Wilx," Carefree,"," 2:41		                     / 85 bpm",, by," Cheerful,"," Happy,", Merry, , , , , , , , , , , , 
 Hiking With Friends, Dance/Electronic, Good News Tunes," Confident,"," 2:17		                     / 145 bpm",, by," Dreamy,"," Ethereal,"," Inspiring,"," Optimistic,", Uplifting, , , , , , , , , , 
 Friends and Neighbors," Corporate,"," Indie Pop,", Pop/Rock," 2:27		                     / 160 bpm",, by, Zac Nelson," Confident,"," Inspiring,"," Mellow,"," Optimistic,", Uplifting, , , , , , , , , 
 Farewell My Friend," Folk,", Pop/Rock, ," 2:31		                     / 105 bpm",, by, Espresso Music," Bright,"," Calm,"," Carefree,"," Cheerful,"," Confident,"," Fragile,"," Fun,"," Happy,"," Inspiring,"," Mellow,"," Merry,"," Optimistic,"," Playful,", Uplifting
 Letter to A Friend," Punk/Metal,", Rock, Fin Productions," 2:22		                     / 130 bpm",, by," Aggressive,"," Angry,"," Bright,"," Fiery,"," Fun,"," Happy,", Playful, , , , , , , , 
 New Friends," Punk/Metal,", Rock,, 2:23                       / 150 bpm,, by, Fin Productions," Aggressive,"," Angry,"," Arousing,"," Confident,"," Energetic,", Fiery, , , , , , , , 
 Let's Be Friends," Children,"," Folk,"," Indie Pop,"," 2:35		                     / 160 bpm", Vocals, by, Pop/Rock, Jacques Marquette," Bright,"," Confident,"," Fun,"," Happy,"," Inspiring,"," Optimistic,"," Playful,", Uplifting, , , , , 
 Old Friends, Rock,," Bright,", 2:35                       / 105 bpm,, by, Randomonium Studios," Confident,"," Fun,"," Happy,"," Inspiring,"," Optimistic,"," Playful,", Uplifting, , , , , , , 
 Among Friends," Folk,", Rock, Tom Deis," 2:48		                     / 143 bpm",, by," Bright,"," Calm,"," Fragile,"," Fun,"," Happy,"," Mellow,", Playful, , , , , , , , 
 Once Friends, Rock, Deer Room,, 2:34                       / 155 bpm,, by," Bright,"," Carefree,"," Cheerful,"," Fun,"," Happy,"," Merry,", Playful, , , , , , , , 
 With My Friends, Folk,,,  2:40                       / 90 bpm,, by," Country,"," Carefree,", Krisztian Vass," Bright,"," Cheerful,"," Confident,"," Fun,"," Happy,"," Inspiring,"," Merry,"," Optimistic,"," Playful,", Uplifting, , 
 Friends Will Last Forever," Pop/Rock,", Rock, ArtMaks," 2:28		                     / 110 bpm",, by," Arousing,"," Bright,"," Confident,"," Energetic,"," Fun,"," Happy,"," Inspiring,"," Optimistic,"," Playful,", Uplifting, , , , , 
 Old Friends Again," Bluegrass,"," Country,", Folk," 2:23		                     / 94 bpm",, by, Deer Room," Bright,"," Carefree,"," Cheerful,"," Fun,"," Happy,"," Merry,", Playful, , , , , , , 
 We Are Friends, Pop/Rock,,,  2:45                       / 80 bpm,, by," Folk,"," Calm,", Dr. Hollywood," Bright,"," Confident,"," Fragile,"," Fun,"," Happy,"," Inspiring,"," Mellow,"," Optimistic,"," Playful,", Uplifting, , 
 Between Friends," Children,"," Corporate,", Folk," 2:43		                     / 128 bpm",, by, Robert Meunier," Bright,"," Carefree,"," Cheerful,"," Fun,"," Happy,"," Merry,", Playful, , , , , , , 
 You're My Friend," Folk,"," Indie Pop,", Pop/Rock," 2:26		                     / 115 bpm",, by, Dynamite Music," Bright,"," Calm,"," Carefree,"," Cheerful,"," Confident,"," Fragile,"," Fun,"," Happy,"," Inspiring,"," Mellow,"," Merry,"," Optimistic,"," Playful,", Uplifting
 Friends Forever," Folk,"," Indie Pop,", Pop/Rock," 2:32		                     / 99 bpm",, by, Dynamite Music," Bright,"," Calm,"," Carefree,"," Cheerful,"," Confident,"," Fragile,"," Fun,"," Happy,"," Inspiring,"," Mellow,"," Merry,"," Optimistic,"," Playful,", Uplifting
 Sun Shower," Folk,"," Indie Pop,", Pop/Rock," 2:33		                     / 85 bpm",, by, Yan Perchuk," Bright,"," Fun,"," Happy,"," Mellow,", Playful, , , , , , , , , 
 Keep Smiling," Children,"," Folk,"," Indie Pop,", 2:34                       / 103 bpm,, by, Pop/Rock, Yan Perchuk," Confident,"," Inspiring,"," Mellow,"," Optimistic,", Uplifting, , , , , , , , 
 Happy Vibes," Children,"," Indie Pop,", Pop/Rock, 2:38                       / 165 bpm,, by, Yan Perchuk," Bright,"," Confident,"," Fun,"," Happy,"," Inspiring,"," Mellow,"," Optimistic,"," Playful,", Uplifting, , , , , 
 Morning People, Folk, Yan Perchuk,, 2:18                       / 125 bpm,, by," Bright,"," Carefree,"," Cheerful,"," Fun,"," Happy,"," Merry,", Playful, , , , , , , , 
