UPDATE 3-Brazil's Fibria drops controversial covenant language,"...(Adds comments from the company) By Paul Kilby NEW YORK, Jan 11 (IFR...) - Brazilian pulp and paper company Fibria dropped controversial…","January 11, 2017 05:07pm EST"
Bankers brace for LatAm supply surge,"...By Paul Kilby NEW YORK, Jan 13 (IFR) - Latin America primary markets... around the middle of February, with Chile, Argentina, Santiago Metro…","January 13, 2017 12:40pm EST"
Goldman to resume talks on sale of metals warehouse unit: source,"...NEW YORK/LONDON (Reuters) - Goldman Sachs <GS.N> plans... business now that new exchange rules have been released, a source familiar…","November 18, 2013 01:12pm EST"
LATAM CLOSE-One issuer raises US$1bn in LatAm primary market,"... this year By Mike Gambale NEW YORK, Jan 10 (IFR) - Below is a recap... PIPELINE Metro de Santiago is marketing a 30-year bond issue through Bank…","January 10, 2017 05:43pm EST"
Goldman to resume talks on sale of metals warehouse unit -source,"...NEW YORK/LONDON Nov 18 (Reuters) - Goldman Sachs plans to resume... now that new exchange rules have been released, a source familiar…","November 18, 2013 01:08pm EST"
LATAM CLOSE-One issuer raises US$ in LatAm primary market,"... rig notes to CC from CCC By Mike Gambale NEW YORK, Jan 9 (IFR) - Below... PETROBRAS Brazilian state-owned oil company Petrobras announced a new…","January 09, 2017 06:40pm EST"
UPDATE 1-LATAM CLOSE-One issuer raises US$4bn in LatAm primary market,"... Gambale NEW YORK, Jan 9 (IFR) - Below is a recap of primary issuance... company Petrobras announced a new bond sale on Monday as it seeks…","January 09, 2017 06:48pm EST"
Karstadt owner makes new bid for Germany's Kaufhof: source,"... chain Karstadt has made a new takeover offer for rival Kaufhof, owned... by retail group Metro <MEOG.DE>, a source familiar…","May 19, 2015 02:46pm EDT"
UPDATE 1-Karstadt owner makes new bid for Germany's Kaufhof - source,"... has made a new takeover offer for rival Kaufhof, owned by retail group... Metro, a source familiar with the matter told Reuters on Tuesday…","May 19, 2015 02:44pm EDT"
UPDATE 2-Metro confirms talks to sell Kaufhof department stores,"... - source * Handelsblatt says Benko offers 2.9 bln euros * Metro shares up 0.9... pct (Recasts with Metro comment, adds analyst) By Matthias…","May 20, 2015 07:05am EDT"
