 Hearst Recreation Center, Show properties," Washington,District of Columbia,USA(98 properties)"
 Brentwood Recreation Center, Show properties," Washington,District of Columbia,USA(67 properties)"
 Anacostia Recreation Center, Show properties," Washington,District of Columbia,USA(85 properties)"
 Brightwood Recreation Area, Show properties," Washington,District of Columbia,USA(115 properties)"
 Banneker Recreation Center, Show properties," Washington,District of Columbia,USA(120 properties)"
 Capper Recreation Center, Show properties," Washington,District of Columbia,USA(105 properties)"
 Lafayette Recreation Center, Show properties," Washington,District of Columbia,USA(64 properties)"
 Upshur Recreation Center, Show properties," Washington,District of Columbia,USA(132 properties)"
 Hardy Recreation Center, Show properties," Arlington,Virginia,USA(83 properties)"
 Arboretum Recreation Center, Show properties," Washington,District of Columbia,USA(69 properties)"
 Edgewood Recreation Center, Show properties," Washington,District of Columbia,USA(147 properties)"
 Backus Recreation Center, Show properties," Washington,District of Columbia,USA(179 properties)"
 Barry Farms Recreation Center, Show properties," Washington,District of Columbia,USA(158 properties)"
 Bruce-Monroe Recreation Center, Show properties," Washington,District of Columbia,USA(59 properties)"
 Chevy Chase Recreation Center, Show properties," Washington,District of Columbia,USA(65 properties)"
 Twin Oaks Garden Recreation Center, Show properties," Washington,District of Columbia,USA(59 properties)"
 William I Jacobs Recreational Complex, Show properties," Washington,District of Columbia,USA(110 properties)"
 Druskininkai Recreation and  Health Centre AQUA, Show properties," Druskininkai,Alytus county,Lithuania(149 properties)"
 Sun Link Sea Forest Recreation Area, Show properties," Lugu,Nantou County,Taiwan(54 properties)"
 Jhiben National Forest Recreation Area, Show properties," Beinan,Taitung County,Taiwan(78 properties)"
 Lakeside Recreation Center, Show properties," Shreveport,Louisiana,USA(52 properties)"
 Palatlakaha Recreation Area, Show properties," Clermont,Florida,USA(66 properties)"
 Northwest Recreation Center, Show properties," Austin,Texas,USA(64 properties)"
 Sawgrass Recreation Park, Show properties," Weston,Florida,USA(57 properties)"
 Ballou Recreation Center, Show properties," Oxon Hill,Maryland,USA(83 properties)"
 Parkview Recreation Center, Show properties," Athens,Georgia,USA(22 properties)"
 Gulfport Recreation Center, Show properties," Gulfport,Mississippi,USA(131 properties)"
 Sawgrass Recreation Park, Show properties," Weston,Florida,USA(53 properties)"
 Guanyinting Recreation Area, Show properties," Magong,Penghu County,Taiwan(58 properties)"
 Dunbar Recreation Center, Show properties," Atlanta,Georgia,USA(55 properties)"
 Alpine Recreation Area, Show properties," Burnside,Kentucky,USA(15 properties)"
 Thompson Recreation Center, Show properties," Savannah,Georgia,USA(71 properties)"
 Tlogomas Recreation Park, Show properties," Malang,East Java,Indonesia(67 properties)"
 Hancock Recreation Area, Show properties," Clermont,Florida,USA(55 properties)"
 Hilton Recreation Center, Show properties," Baltimore,Maryland,USA(61 properties)"
 Westlake Recreation Center, Show properties," Lake Charles,Louisiana,USA(50 properties)"
 Coastal Recreation Trail, Show properties," Monterey,California,USA(74 properties)"
 Brooklyn Recreation Park, Show properties," Brooklyn,Connecticut,USA(17 properties)"
 Kuantan Recreational Parks, Show properties," Kuantan,Pahang,Malaysia(53 properties)"
 Buckley Recreational Field, Show properties," Philadelphia,Pennsylvania,USA(55 properties)"
 Benning Park Recreation Center, Show properties," Temple Hills,Maryland,USA(117 properties)"
 Ten Mile Recreation Pathway, Show properties," Frisco,Colorado,USA(99 properties)"
 Children's Recreation Centre, Show properties," Taipei,Taipei Municipality,Taiwan(105 properties)"
 Noua Lake - Recreation Area, Show properties," Braşov,Brasov,Romania(73 properties)"
 Stone Valley Recreation Area, Show properties," State College,Pennsylvania,USA(28 properties)"
 Basianshan Forest Recreation Area, Show properties," Heping,Taichung Municipality,Taiwan(64 properties)"
 Mt. McSauba Recreation Area, Show properties," Petoskey,Michigan,USA(17 properties)"
 Clam Pass Recreation Area, Show properties," Naples,Florida,USA(52 properties)"
 Juniper Springs Recreation Area, Show properties," Seville,Florida,USA(1 property)"
 Grout Bay Recreation Area, Show properties," Big Bear Lake,California,USA(184 properties)"
 Kenting Forest Recreation Area, Show properties," Hengchun Old Town,Pingtung County,Taiwan(170 properties)"
 Salt Springs Recreation Area, Show properties," Seville,Florida,USA(1 property)"
 Lake Mohegan Recreation Area, Show properties," Fairfield,Connecticut,USA(52 properties)"
 Bald Eagle Recreation Center, Show properties," Oxon Hill,Maryland,USA(86 properties)"
 Fisher Meadows Recreation Area, Show properties," Avon,Connecticut,USA(53 properties)"
 Big Deer Recreation Area, Show properties," Barre,Vermont,USA(17 properties)"
 Pitt Spring Recreation Area, Show properties," Panama City,Florida,USA(13 properties)"
 The Savannahs Recreation Area, Show properties," Fort Pierce,Florida,USA(90 properties)"
 Hiller Park Recreation Area, Show properties," Biloxi,Mississippi,USA(98 properties)"
 Texas Falls Recreation Area, Show properties," Rochester,Vermont,USA(47 properties)"
 North Charleston Recreation Center, Show properties," South Charleston,West Virginia,USA(32 properties)"
 Sigmund Stern Recreation Grove, Show properties," San Francisco,California,USA(53 properties)"
 Waterfront Trail Recreation Path, Show properties," Cornwall,Ontario,Canada(21 properties)"
 North Shore Recreation Area, Show properties," Big Bear Lake,California,USA(97 properties)"
 North Lowndes Recreation Complex, Show properties," Valdosta,Georgia,USA(31 properties)"
 Barton Flats Recreation Area, Show properties," Big Bear Lake,California,USA(277 properties)"
 Judson Baptist Recreation Park, Show properties," Baton Rouge,Louisiana,USA(56 properties)"
 Mallard Run Recreation Center, Show properties," Ocean City,Maryland,USA(82 properties)"
 Rock Ridge Recreation Park, Show properties," Huntsville,Ontario,Canada(39 properties)"
 Center Circle Recreation Center, Show properties," Sulphur,Louisiana,USA(50 properties)"
 Sycamore Hills Recreation Area, Show properties," Avon,Connecticut,USA(56 properties)"
 Emerald Falls Family Recreation Center, Show properties," Panama City Beach,Florida,USA(50 properties)"
