 Americas Best Value Inn, Exceptional,10, ,1, review," Petoskey, Petoskey (MI)", (1.61 km from Bear River Valley Recreation Area),1 traveler is considering this property right now, , , , Nightly rates as low as, CA$,72, Free cancellation," Book now, pay later", Our last 4 rooms
 Bay Inn of Petoskey, Exceptional,9.3, ,1, review," Bay Harbor, Petoskey (MI)", (3.24 km from Bear River Valley Recreation Area), , FREE, Wi-Fi, , Nightly rates as low as, CA$,90, Free cancellation, Pay at the hotel, Our last 3 rooms
 Best Western of Harbor Springs, , , , , ," Harbor Springs, Harbor Springs (MI)", (7.2 km from Bear River Valley Recreation Area), , , , , Nightly rates as low as, CA$,116, Free cancellation," Book now, pay later", Our last room!
 @ Michigan Inn & Lodge, , , , , ," Spring, Petoskey (MI)", (2.15 km from Bear River Valley Recreation Area), , FREE, Wi-Fi, , Nightly rates as low as, CA$,103, Free cancellation, Pay at the hotel, 
 Comfort Inn Petoskey, , , , , ," Bay View, Petoskey (MI)", (4.22 km from Bear River Valley Recreation Area), , , , , Nightly rates as low as, CA$,98, , , Our last 3 rooms
 Econo Lodge South, Acceptable,4.3, Breakfast included,2, reviews," Spring, Petoskey (MI)", (2.73 km from Bear River Valley Recreation Area), , FREE, Wi-Fi, Breakfast, Nightly rates as low as, CA$,51, Free cancellation," Book now, pay later", Our last 3 rooms
 Apple Tree Inn, Exceptional,10, Breakfast included,1, review," Petoskey City Center, Petoskey (MI)", (1.27 km from Bear River Valley Recreation Area), , FREE, Wi-Fi, Breakfast, Nightly rates as low as, CA$,116, Free cancellation, Pay at the hotel, Our last 2 rooms
 Birchwood Inn, , , Breakfast included, , ," Harbor Springs, Harbor Springs (MI)", (10.69 km from Bear River Valley Recreation Area), , FREE, Wi-Fi, Breakfast, Nightly rates as low as, CA$,116, Free cancellation, , Our last 4 rooms
 Inn at Bay Harbor Golf Resort, , , , , ," Bay Harbor, Petoskey (MI)", (4.49 km from Bear River Valley Recreation Area), , , , , Nightly rates as low as, CA$,202, , , 
 Holiday Inn Express Hotel & Suites Petoskey, , , Breakfast included, , ," Spring, Petoskey (MI)", (2.51 km from Bear River Valley Recreation Area), , FREE, Wi-Fi, Breakfast, Nightly rates as low as, CA$,151, , , 
 Cottages at Bay Harbor, Exceptional,9.7, ,8, reviews," Bay Harbor, Petoskey (MI)", (4.33 km from Bear River Valley Recreation Area), , FREE, Wi-Fi, , Nightly rates as low as, CA$,246, , , 
 Crooked River Lodge, Exceptional,9.4, Breakfast included,94, reviews," Alanson, Alanson (MI)", (9.17 km from Bear River Valley Recreation Area), , FREE, Wi-Fi, Breakfast, Nightly rates as low as, CA$,155, Free cancellation, Pay at the hotel, 
 Terrace Inn and 1911 Restaurant, Exceptional,9.1, Breakfast included,61, reviews," Bay View, Petoskey (MI)", (2.07 km from Bear River Valley Recreation Area), , FREE, Wi-Fi, Breakfast, Nightly rates as low as, CA$,103, , , Our last room!
 Americinn Petoskey, , , , , ," Petoskey City Center, Petoskey (MI)", (1.13 km from Bear River Valley Recreation Area), , , , , Nightly rates as low as, CA$,91, , , 
